
[00:00:00.000 --> 00:00:03.480]   It's time for Mac Break Weekly. Oh boy. Oh boy. Oh boy. Oh boy
[00:03:16.920 --> 00:03:19.320]   At least partially said i'll be at andy status
[00:03:19.320 --> 00:03:25.640]   By the yeah, when that time comes we will acknowledge your new studio. I promise. Thank you. Thank you. We're working on it leo
[00:03:25.640 --> 00:03:28.680]   Meltdown inspector
[00:03:28.680 --> 00:03:35.240]   Uh, what about mac break one week ago? Uh, we kind of actually it's funny right after mac break weekly steve talked about both
[00:03:36.120 --> 00:03:38.120]   Problems but in such a
[00:03:38.120 --> 00:03:40.600]   Even tone that I didn't
[00:03:40.600 --> 00:03:42.600]   I didn't really get the consequences
[00:03:42.600 --> 00:03:45.480]   But now we know of course the next day
[00:03:45.480 --> 00:03:52.280]   The researchers revealed the story. We only knew that something was going on at least right at least a week before the embargo
[00:03:52.280 --> 00:03:58.040]   Right right well and at least because the linux folks were working on it in public as as open source projects do
[00:03:58.040 --> 00:04:01.960]   They redacted commons and stuff but people but smart people were able to look at and go
[00:04:02.280 --> 00:04:10.360]   They're fixing something pretty significant here. Yeah, yeah, uh, the significance is of course it affects every modern processor
[00:04:10.360 --> 00:04:15.960]   In you know all intel processors since 1995 amd 2
[00:04:15.960 --> 00:04:20.520]   For about a minute amd got to skate but no it turns out amd 2
[00:04:20.520 --> 00:04:23.320]   They were all so busy trying to make it sound like it wasn't
[00:04:23.320 --> 00:04:29.080]   No, like intel was saying everybody it's not just us and amd you saying it's not us and the
[00:04:29.640 --> 00:04:32.680]   Just I think arm was a little honest so they manufactured
[00:04:32.680 --> 00:04:38.520]   The only as far as I know the only computers doesn't affect is your apple watch apple was a great pain to say does not affect the apple watch
[00:04:38.520 --> 00:04:45.160]   Yeah, and the razberry pie because they're so dumb neither one does speculative execution. Yes
[00:04:45.160 --> 00:04:49.320]   It's not dumbly. We don't make them feel bad
[00:04:49.320 --> 00:04:56.680]   Slow this this is this is like that dystopian future in which the resistance has to does everything with play and written notes and typewriters
[00:04:56.680 --> 00:05:02.920]   That'll start the only way that the system. Yeah, it's the galactica the apple watches the galactica of the tech world
[00:05:02.920 --> 00:05:05.560]   so um
[00:05:05.560 --> 00:05:12.440]   And we've covered it. I think by now I think on every show except this one because we're making full circle and steve's gonna do a full breakdown on
[00:05:12.440 --> 00:05:14.680]   Security now today, but just in brief
[00:05:14.680 --> 00:05:18.680]   Uh, it takes advantage of a flaw in um all modern processors
[00:05:18.680 --> 00:05:19.880]   They look ahead
[00:05:19.880 --> 00:05:24.200]   They say is andi gonna take a left turn or right turn at the next intersection the processor guesses
[00:05:24.200 --> 00:05:31.080]   I think it's the left turn and then and this is critical loads the level one cache with data that it will need if it
[00:05:31.080 --> 00:05:36.760]   Andi takes a left turn and that data is not invisible to other processes running on the processor
[00:05:36.760 --> 00:05:40.120]   So the processor can snoop into the future a little bit
[00:05:40.120 --> 00:05:46.200]   And if that clump of data and the cache happens to contain a password credit card or something of value
[00:05:46.200 --> 00:05:48.760]   It can be extracted
[00:05:48.760 --> 00:05:50.360]   Uh, it is not analogy
[00:05:50.360 --> 00:05:55.320]   That reality I heard was imagine like leo every day at midnight goes and makes a snack puts together a sandwich
[00:05:55.320 --> 00:05:57.880]   So his computer decides i'm gonna make the sandwich for leo
[00:05:57.880 --> 00:06:02.120]   It's faster, but then leo just sleeps through the night like oh, we have to quickly put everything back in the fridge
[00:06:02.120 --> 00:06:05.880]   But you can see that someone has potted through all the cold drinks and cheese. Yes. Yeah, yeah
[00:06:05.880 --> 00:06:07.400]   I was
[00:06:07.400 --> 00:06:10.680]   Last week I was using the devil doubles where where's prada?
[00:06:10.680 --> 00:06:13.080]   I think where you have a really demanding boss
[00:06:13.080 --> 00:06:15.720]   You know that when she comes in at 8 15 in the morning
[00:06:15.720 --> 00:06:18.120]   She's got to either want coffee or tea
[00:06:18.120 --> 00:06:21.480]   But you're really good assistant so you decide to make you don't know which one it's going to be
[00:06:21.480 --> 00:06:26.200]   But you know it's going to be one of these two so you make both and then you get rid of the one you don't have to use
[00:06:26.200 --> 00:06:29.320]   Then you know it's I think I think that it's it's
[00:06:29.320 --> 00:06:33.960]   There should be like a compilation of analogies made to
[00:06:33.960 --> 00:06:40.360]   Explain one of the most complicated things about system architecture so that it's actually reachable and relevant
[00:06:40.360 --> 00:06:46.840]   In any event it's well actually maybe maybe randal gets the the nod for his xk cd column
[00:06:47.400 --> 00:06:50.680]   It which which actually boils it down to the most important advice
[00:06:50.680 --> 00:06:57.480]   So it's a kind of a normal guy and a smart woman the the meltdown spectra exploits use
[00:06:57.480 --> 00:06:59.880]   Speculative execution. What's that?
[00:06:59.880 --> 00:07:02.120]   Well, you know the trolley problem
[00:07:02.120 --> 00:07:08.120]   Well for a while now cpu has basically been sending trolleys down both paths quantum style while awaiting your choice
[00:07:08.120 --> 00:07:10.520]   Then the unneeded phantom trolley disappears
[00:07:10.520 --> 00:07:15.640]   The phantom trolley isn't supposed to touch anyone but it turns out you could still use it to do stuff
[00:07:16.200 --> 00:07:18.200]   And it can drive through walls
[00:07:18.200 --> 00:07:20.280]   That sounds bad
[00:07:20.280 --> 00:07:23.720]   Honestly, I've been assuming we were doomed ever since I learned about ro hammer
[00:07:23.720 --> 00:07:25.320]   What's that?
[00:07:25.320 --> 00:07:30.440]   If you toggle a row of memory cells on and off really fast you can use electrical interference to flip nearby bits and
[00:07:30.440 --> 00:07:33.560]   Do we just suck at computers?
[00:07:33.560 --> 00:07:39.800]   Yep, especially shared ones. So you're saying the cloud is full of fenn trolleys armed with hammers
[00:07:39.800 --> 00:07:43.000]   Yes, that's exactly right
[00:07:44.520 --> 00:07:48.360]   Okay, I'll um install updates good idea
[00:07:48.360 --> 00:07:55.400]   Update the good news is in the apple ecosystem. It's a kind of homogenous ecosystem
[00:07:55.400 --> 00:07:57.960]   So apple has been able to patch
[00:07:57.960 --> 00:08:04.440]   Everything right they've begun to mitigate so back in december they pushed out ios
[00:08:04.440 --> 00:08:10.280]   And macos updates and they pushed out new ones already so meltdown is part is mitigae
[00:08:10.280 --> 00:08:12.200]   These things we don't I think we don't know for sure
[00:08:12.200 --> 00:08:19.320]   They're going to keep doing mitigations for these things but they've at least begun to mitigate meltdown and now yesterday in safari for ios
[00:08:19.320 --> 00:08:25.880]   And macos and going back three versions of macos they've done mitigations for specter apple tv doesn't have web kit surface
[00:08:25.880 --> 00:08:28.600]   So it doesn't need those they pointed out and this was a little scary that
[00:08:28.600 --> 00:08:33.080]   Specter is can be done through a browser and javascript
[00:08:33.080 --> 00:08:36.600]   So browsers have to be patched to prevent that
[00:08:36.600 --> 00:08:39.400]   And the reason that's scary
[00:08:39.640 --> 00:08:46.520]   Is think about the attack surface here you you either have to get somebody to get some program on your some rogue program on your system
[00:08:46.520 --> 00:08:49.720]   That's running at the same time as you're doing other stuff to do the snooping
[00:08:49.720 --> 00:08:53.560]   If you're on a shared system like on a web server or
[00:08:53.560 --> 00:08:57.640]   You know, um, I cloud and you've got one
[00:08:57.640 --> 00:09:02.280]   Services amazon web services azure azure you've got multiple
[00:09:02.280 --> 00:09:08.360]   People using the same processor then and one of those people could be rogue and see all and look at the cash
[00:09:08.840 --> 00:09:13.000]   As it's loaded for all the other processes that's really the most risky attack
[00:09:13.000 --> 00:09:17.800]   Vector but if so if you think about that's really how this happens
[00:09:17.800 --> 00:09:22.680]   But it's scary to think that it could be done in a browser because that means you could go to a website with some malicious
[00:09:22.680 --> 00:09:26.040]   JavaScript whether it's a malicious site or not this happens all the time
[00:09:26.040 --> 00:09:31.240]   Injecting an ad fund. Yeah, well, I just saw a really interesting article
[00:09:31.240 --> 00:09:34.840]   Where I think this is on the mediums back channel
[00:09:35.480 --> 00:09:42.280]   Was one of the how no was hacker noon where he says, I'm I'm not saying I did this. Yeah, yo god
[00:09:42.280 --> 00:09:48.280]   That was really interesting. He's basically basically. Yo, sorry. You do it. You do it
[00:09:48.280 --> 00:09:57.400]   No, but just basically he's he he initiated a hypothetical scenario under the term sounding is oh, he'd actually done it
[00:09:57.400 --> 00:10:05.400]   But where you have an open source project and he basically wrote a simple like little javascript tool for adjusting the color of text
[00:10:05.960 --> 00:10:14.120]   And it also has a payload that does something malicious and rather than you know writing this as a malicious piece of software and putting in an app store
[00:10:14.120 --> 00:10:18.680]   He just simply added it to a very malicious code to what would be a very popular?
[00:10:18.680 --> 00:10:27.640]   Course the tool of suites that developers might use to deliver ads for to deliver web pages for and so once people start subscribing and using this
[00:10:27.640 --> 00:10:31.960]   This this code code package. They're essentially unbeknownst to them
[00:10:33.560 --> 00:10:38.760]   It was helping spread this malignancy on his behalf. So essentially, that's how you could get
[00:10:38.760 --> 00:10:46.040]   a simple javascript exploit in the field to uh to deploy through amazingly
[00:10:46.040 --> 00:10:49.320]   Diverse ray of channels without having the hey, just
[00:10:49.320 --> 00:10:54.360]   Hey guys, don't there's an app called pokemon harvester don't download this one app
[00:10:54.360 --> 00:11:00.840]   Because it's this code that is being downloaded by ad servers and used in the background of so many sites you might be using
[00:11:01.240 --> 00:11:04.760]   So that's a good example of how you know a really legitimate site
[00:11:04.760 --> 00:11:07.800]   Using node for instance might
[00:11:07.800 --> 00:11:13.320]   By loading a package that decided to use colored syntax coding
[00:11:13.320 --> 00:11:18.760]   Yeah, uh, you know third hand load in this little and it doesn't take much
[00:11:18.760 --> 00:11:23.400]   Malicious javascript that would then take advantage of specter. That shows how fast this was changing
[00:11:23.400 --> 00:11:27.000]   It's like the initially they were like meltdown is bad, but we can mitigate it
[00:11:27.400 --> 00:11:32.680]   Uh, potentially specter is worse, but it's also much harder to exploit and oh no javascript proof of concept
[00:11:32.680 --> 00:11:38.600]   Yeah, the next day bad news and it's just it's moving so quickly and it's one of the reasons that the mitigations are continuing
[00:11:38.600 --> 00:11:45.560]   Uh, because what I think happens initially the first mitigation you do is you say well stop speculative execution or stop
[00:11:45.560 --> 00:11:49.480]   Yeah, allowing one process to see the l one cache of another process
[00:11:49.480 --> 00:11:53.240]   But in every case it has a severe impact on performance
[00:11:53.800 --> 00:11:59.640]   I think also an xte can say this much better than i but uh, they are they can't fix meltdown and specter because they're
[00:11:59.640 --> 00:12:02.840]   Their chip architectures all they can do is try to prevent known
[00:12:02.840 --> 00:12:08.360]   Exploits for them, but they can't prevent unknown exploits for them and so now they're stopping the javascript stuff
[00:12:08.360 --> 00:12:14.360]   But someone could have been something else. So they have to it's like forward forward moving security and protection
[00:12:14.360 --> 00:12:20.840]   Well, I mean ultimately you fix it by uh by changing how processes perform, but you don't want to you don't want to impact performance
[00:12:21.400 --> 00:12:28.040]   As the register predicted 5 to 30 apple pointed out that it's fixed for safari which pushed out yesterday on ios
[00:12:28.040 --> 00:12:34.040]   Uh and macos, uh is at worst 1 to 2 percent nothing you'd notice on two of the benchmarks
[00:12:34.040 --> 00:12:40.600]   It was 0 percent on one it was 2.5 percent the worst i've seen is epic games put out a thing on one of their games saying that it was being impacted
[00:12:40.600 --> 00:12:46.760]   For close to 20. Yeah, fortnight. Yeah, it's being you're you're generally talking about super high performance apps
[00:12:47.160 --> 00:12:52.840]   Of most people they can they can benchmark and see a difference, but they probably won't notice a difference
[00:12:52.840 --> 00:12:55.240]   But this is going to be a big big problem for like gaming
[00:12:55.240 --> 00:12:57.640]   Um, uh
[00:12:57.640 --> 00:13:00.520]   Of course this came right before ces right before
[00:13:00.520 --> 00:13:03.560]   Uh, the ceo of intel has the big
[00:13:03.560 --> 00:13:11.000]   Colored stage a huge jumbo screens keynote, uh, and yeah, he decided to address that he decided to slip that into
[00:13:11.000 --> 00:13:14.120]   Into ryan krazanich what did he say about the ceo of intel?
[00:13:14.120 --> 00:13:17.000]   He talked about all the money was going to get him from the stock sale. Yeah, he sold
[00:13:17.000 --> 00:13:23.240]   Huge amount of stock right before after intel new but before intel disclosed he says he didn't know
[00:13:23.240 --> 00:13:29.720]   I don't think I don't I that would be so stupid and so easily prosecuted that I can't imagine he did it on purpose
[00:13:29.720 --> 00:13:35.720]   But anyway, that's right. Well, also at that level you could you have a way to do profit taking that is not going to get you in jail
[00:13:35.720 --> 00:13:38.120]   There's a there's a way to do that
[00:13:38.120 --> 00:13:40.120]   It's a little suspicious that he sold the max
[00:13:40.120 --> 00:13:44.040]   Either way
[00:13:44.040 --> 00:13:44.920]   Sorry
[00:13:44.920 --> 00:13:46.920]   That's that's hard
[00:13:46.920 --> 00:13:48.920]   Basically he he was a hey
[00:13:48.920 --> 00:13:52.680]   Suffice say it's a 180 from what intel was saying when this news first came out
[00:13:52.680 --> 00:13:58.760]   That it's essentially acknowledging the the scope of the problem thanking its many partners for helping them to
[00:13:58.760 --> 00:14:04.040]   To address it and promising these that intel will have updates for more than 90
[00:14:04.040 --> 00:14:10.360]   Of systems that could be affected. Excuse me of cp as it could be affected and the rest of them by the end of january
[00:14:10.360 --> 00:14:13.080]   Here's bran krazanich at ces
[00:14:13.640 --> 00:14:20.040]   This is the key name that he gave and this is the two minutes that he devoted to specter melton
[00:14:20.040 --> 00:14:26.440]   Before we start, I want to take a moment to thank the industry for coming together for another purpose
[00:14:26.440 --> 00:14:30.440]   Saving our bus security research findings
[00:14:30.440 --> 00:14:33.320]   reported as meltdown and specter
[00:14:33.320 --> 00:14:42.280]   In the collaboration among so many companies to address this industry-wide issue that we cause several different processor
[00:14:42.280 --> 00:14:44.680]   Architecture's has been mostly truly remarkable
[00:14:44.680 --> 00:14:49.720]   The security is job number one for intel and our industry
[00:14:49.720 --> 00:14:56.760]   So the primary focus of our decisions and discussions have been to keep our customers data safe
[00:14:56.760 --> 00:15:06.120]   As of now we have not received any information that these exploits have been used to obtain customer data
[00:15:06.120 --> 00:15:11.640]   And we're working tirelessly on these issues to ensure it stays that way
[00:15:12.520 --> 00:15:15.960]   You know the greatest thing he's got superimposed over his head
[00:15:15.960 --> 00:15:19.000]   Keeping data safe
[00:15:19.000 --> 00:15:24.040]   Now i'm not sure that they can tell great again. Yeah, it's very much
[00:15:24.040 --> 00:15:26.840]   you know truth is
[00:15:26.840 --> 00:15:29.080]   Truth is lies and victory is
[00:15:29.080 --> 00:15:34.920]   It's spacecraft. It's you know, don't don't pay no attention what he's saying. We're keeping data safe
[00:15:34.920 --> 00:15:41.160]   The best thing you can do to make sure your data remains safe is to apply any updates
[00:15:42.040 --> 00:15:44.520]   from your operating system vendor
[00:15:44.520 --> 00:15:49.000]   and system manufacturer as soon as they become available
[00:15:49.000 --> 00:15:52.680]   for our processors
[00:15:52.680 --> 00:15:55.640]   and products introduced in the past five years
[00:15:55.640 --> 00:16:02.520]   Intel expects to issue updates for more than 90 of them within a week
[00:16:02.520 --> 00:16:05.720]   And they're remaining by the end of january
[00:16:07.080 --> 00:16:12.200]   We believe the performance impact of these updates is highly workload dependent
[00:16:12.200 --> 00:16:14.920]   as a result
[00:16:14.920 --> 00:16:21.480]   We expect some workloads may have a larger impact than others. This was the same line they use in the press release
[00:16:21.480 --> 00:16:27.640]   Yep, which is kind of fudge words because of course. Yeah, if there's no workload, it will not impact it
[00:16:27.640 --> 00:16:31.160]   Uh, it's workload dependent doesn't really say anything
[00:16:31.800 --> 00:16:35.080]   Yeah, also it's I mean despite what I said a moment ago
[00:16:35.080 --> 00:16:43.160]   It really if it's a big big problem if the only people that are going to be affected by a speed hit or the people that really depend on speed
[00:16:43.160 --> 00:16:48.040]   That's the more you'll notice day as fast as you checked your email yesterday
[00:16:48.040 --> 00:16:56.680]   That's that cursor when you when you're when you're screwing around that that curse will be blinking in that empty microsoftward window just as fast as it was
[00:16:58.200 --> 00:17:02.360]   My using working with the industry to minimize the impact
[00:17:02.360 --> 00:17:08.440]   On those workloads over time. So intel amd arm
[00:17:08.440 --> 00:17:16.120]   And the arm manufacturers like qualcom exe no s uh sam song and of course apple will probably do microcode patching
[00:17:16.120 --> 00:17:18.040]   and
[00:17:18.040 --> 00:17:22.360]   I'll wait and see what steve says about this, but that modifies the processor's performance that would
[00:17:22.360 --> 00:17:26.200]   Probably take a hit but it'll also be the best way to mitigate this because
[00:17:27.080 --> 00:17:32.920]   When we talked about this last week steve said, you know wouldn't be so hard and probably wouldn't be so hurtful to tell processes
[00:17:32.920 --> 00:17:35.000]   You don't get access to this ring zero
[00:17:35.000 --> 00:17:40.680]   Information you don't get access to this. This is system information and just prevent that they should never have had access to that
[00:17:40.680 --> 00:17:44.040]   And that was the implication we got from line us torvalds
[00:17:44.040 --> 00:17:50.520]   Um messages on the linux mailing list. He's the creator of linux and he was very critical of intel
[00:17:50.520 --> 00:17:53.640]   He said how long we have to put up with intels crap
[00:17:54.600 --> 00:17:59.480]   So he blamed intel he felt like intel did not implement speculative execution properly
[00:17:59.480 --> 00:18:03.960]   Uh, but we should again say its other processors are also suffering the same thing. So I
[00:18:03.960 --> 00:18:07.960]   I'm not technical enough to know, but i'm sure steve will explain it to us
[00:18:07.960 --> 00:18:10.600]   Um
[00:18:10.600 --> 00:18:14.280]   A story this big it really does take a week to figure out exactly how bad
[00:18:14.280 --> 00:18:17.560]   Realistically all these things are what the what the solutions are going to be
[00:18:17.560 --> 00:18:21.960]   But i'm glad i'm glad i didn't have to write about it tuesday night because tuesday night
[00:18:22.360 --> 00:18:25.320]   All I was all I was reading from like the papers and the
[00:18:25.320 --> 00:18:32.760]   The technical papers and like technical boards is that that sounds like the worst thing that could possibly happen and that computers are now over
[00:18:32.760 --> 00:18:35.240]   It's this is
[00:18:35.240 --> 00:18:38.280]   I didn't get to play tuesday night because I was just sorting through stuff as it happened
[00:18:38.280 --> 00:18:41.320]   I think the tuesday show kind of said that they don't to get rid of your mac
[00:18:41.320 --> 00:18:42.520]   It's not safe
[00:18:42.520 --> 00:18:43.480]   But uh
[00:18:43.480 --> 00:18:49.400]   They were a lot of apples sent like a lot of places just covered it as an apple story apples slowing down computers again apple hit by a crushing
[00:18:49.480 --> 00:18:52.600]   CPU bug that's terrible. Yeah, um
[00:18:52.600 --> 00:19:00.360]   I gotta say we have an advantage being in the apple ecosystem or one has an advantage being in the apple ecosystem
[00:19:00.360 --> 00:19:05.320]   I use everything but microsoft's had a hell of a time fixing this first problem was
[00:19:05.320 --> 00:19:07.880]   some antiviruses
[00:19:07.880 --> 00:19:10.280]   need access to kernel code and
[00:19:10.280 --> 00:19:16.760]   So when the patchers applied to machines running many of the biggest antiviruses including my microsoft's defender
[00:19:16.760 --> 00:19:19.160]   They got a blue screen of death
[00:19:19.320 --> 00:19:21.640]   uh, so then they told
[00:19:21.640 --> 00:19:28.360]   antivirus was to fix this and when you fix it set a registry key so that we know we can apply the patch
[00:19:28.360 --> 00:19:34.760]   Which that sort of half worked a lot of people fixed it, but then set the registry key
[00:19:34.760 --> 00:19:42.200]   So there are a lot of people who couldn't update their windows today microsoft said we're whole we're halting the update entirely
[00:19:42.200 --> 00:19:45.640]   Because we're getting blue screens on some a m d processors
[00:19:45.640 --> 00:19:47.480]   so
[00:19:47.480 --> 00:19:51.560]   The advantage of being a heterogeneous system that we're not targets
[00:19:51.560 --> 00:19:59.720]   You know what you're fixing you control the ecosystem almost entirely certainly on ios apple can you know patch it and patch it effectively
[00:19:59.720 --> 00:20:04.360]   Uh, there as far as I know there've been no problems on macos with these patches either
[00:20:04.360 --> 00:20:12.040]   And no, I mean it was a small blender where apple initially reported that meltdown had been mitigated on high sierra sierra and
[00:20:12.040 --> 00:20:15.800]   On el capitan and then the next day the last two were gone
[00:20:16.040 --> 00:20:20.680]   Yeah, hi so you so you want to be running the latest operating system and you want to be running the latest version
[00:20:20.680 --> 00:20:21.880]   My guess is we'll get though
[00:20:21.880 --> 00:20:26.280]   There must my guess is something went wrong with those patches where they weren't they weren't ready when they thought or they were
[00:20:26.280 --> 00:20:30.200]   Something different about them and they had to pull them or they had they didn't release them that to update the page
[00:20:30.200 --> 00:20:32.760]   And hopefully we'll get them soon because there are some computers
[00:20:32.760 --> 00:20:38.360]   I just can't run iosierra and there's some environments where you're just you're the your company does not allow you to upgrade for a certain amount of time
[00:20:38.360 --> 00:20:42.120]   And we got supplemental updates if you're already running 10 13 2
[00:20:42.920 --> 00:20:46.680]   You will have gotten a supplemental update yesterday, which I think fixes the safari problem
[00:20:46.680 --> 00:20:51.560]   iOS also got an update which apple eventually said yeah that fixes the safari
[00:20:51.560 --> 00:20:55.480]   Yeah 11 dot 2 dot 2 yeah, so you want to do this security notes like they don't
[00:20:55.480 --> 00:20:59.080]   They said you kick the little security link and it always takes you to the previous security link
[00:20:59.080 --> 00:21:03.800]   I don't know why that's the case, but if you actually typed in the new version you would get the security page
[00:21:03.800 --> 00:21:07.560]   I'll do that that's better. Yeah, because I was trying to read what there was doing
[00:21:08.120 --> 00:21:12.920]   And I understand apple doesn't want to be too forth right on what they're fixing because that's an announcement too bad guys
[00:21:12.920 --> 00:21:15.000]   This is where you should look
[00:21:15.000 --> 00:21:19.880]   They were good with this. I mean they credit they they named the bug they used the proper code they credited the researchers who found it
[00:21:19.880 --> 00:21:25.000]   I wired had a phenomenally good story about the history of this bug and sort of like the three or four teams
[00:21:25.000 --> 00:21:27.960]   That all found it at the same time because kizer was like
[00:21:27.960 --> 00:21:34.520]   Kaiser was the system where you separate the kernel space from the user space and they were saying they were trying to propose this and people like
[00:21:34.520 --> 00:21:39.800]   Now we don't need that that's dumb. We don't suddenly everyone was interested in it and they go, but it has a performance problem
[00:21:39.800 --> 00:21:42.520]   Yeah
[00:21:42.520 --> 00:21:48.200]   And they're like why are they looking and then suddenly they're like oh, this is why and someone at google's like oh
[00:21:48.200 --> 00:21:51.080]   I was writing these tests to see about this and oh
[00:21:51.080 --> 00:21:56.680]   And they I think Intel said they were all disclosed within like a month or so of each other one of these different teams
[00:21:56.680 --> 00:22:01.960]   The synchronicity of this is very interesting. I think it was brian Krebs who wrote about it and Krebs and security who
[00:22:02.360 --> 00:22:08.200]   Said it's not unusual now. He he actually invoked liveness and newton who came up with calculus at the same time
[00:22:08.200 --> 00:22:12.840]   Implying that there's just you know, it's kind of an insight. It's in the zeitgeist. I don't think it's that
[00:22:12.840 --> 00:22:18.360]   I think rohamer was the trigger that there was an earlier timing attack that had a similar impact
[00:22:18.360 --> 00:22:22.120]   And I think what happens is security researchers go. Oh, that's an interesting avenue
[00:22:22.120 --> 00:22:26.360]   And they all kind of start seeing well, let's see what else we can do with that
[00:22:26.360 --> 00:22:29.320]   So they were using it as an argument that
[00:22:29.640 --> 00:22:36.600]   Governments that find these exploits should disclose that because they don't they can't they can't predict that other people aren't looking for the same exploits
[00:22:36.600 --> 00:22:38.840]   And if they sit on them, then we're all less secure
[00:22:38.840 --> 00:22:44.040]   precisely that's the that's the real the real key on this is
[00:22:44.040 --> 00:22:49.000]   And then the thing that we really wonder about now is
[00:22:49.000 --> 00:22:57.960]   Well, did this did the three letter agencies know about it and this isn't a bug. It's an ended. Yeah, and it's his 90 95
[00:22:58.280 --> 00:23:00.280]   Yeah
[00:23:00.280 --> 00:23:06.200]   And then if if they knew about it now on the other hand, this is it makes sense in a way
[00:23:06.200 --> 00:23:08.600]   Uh
[00:23:08.600 --> 00:23:13.240]   Because it's going to be most useful in a targeted attack because the information you get is really just kind of this
[00:23:13.240 --> 00:23:15.480]   You don't control what information you're going to get
[00:23:15.480 --> 00:23:19.960]   It is kind of a different attack than an attack that lets somebody for instance get root access to your system
[00:23:19.960 --> 00:23:24.040]   Uh, it is it is an attack that extracts information
[00:23:24.040 --> 00:23:27.560]   from your system and you can't really be sure what it is
[00:23:27.880 --> 00:23:29.880]   Um
[00:23:29.880 --> 00:23:34.360]   That you're going to get it's it's it's hard to figure out how to how to weaponize this
[00:23:34.360 --> 00:23:36.920]   properly because
[00:23:36.920 --> 00:23:42.280]   I was talking to an engineer who was saying that one of the difficulties is that would be very very difficult to keep an eye on that cash
[00:23:42.280 --> 00:23:48.520]   In such a way that you weren't just just by the performance degradation that your malware would be inflicting
[00:23:48.520 --> 00:23:51.640]   Red flags wouldn't be set up, but it's
[00:23:51.640 --> 00:23:56.600]   People who are motivated to do bad things will figure it out
[00:23:57.320 --> 00:24:03.000]   And this is the list from the uh, u.s. Uh, computer emergency response team of
