
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:02:03.780 --> 00:02:10.220]   Also here from Kentucky, weighing in at 138 pounds.
[00:02:10.220 --> 00:02:11.320]   Yeah, I don't know about that.
[00:02:11.320 --> 00:02:15.260]   The young contender, Mr. Ryan Shroud to PC perspective.
[00:02:15.260 --> 00:02:16.460]   Hi, Ryan.
[00:02:16.460 --> 00:02:16.960]   How are you?
[00:02:16.960 --> 00:02:18.260]   Great to have you back on the show.
[00:02:18.260 --> 00:02:19.800]   Ryan does a hardware show with us.
[00:02:19.800 --> 00:02:21.600]   And of course, he was very helpful in understanding
[00:02:21.600 --> 00:02:23.700]   what those new Mac pros can do.
[00:02:23.800 --> 00:02:26.860]   I'm seeing now some of those Cinebench benchmarks.
[00:02:26.860 --> 00:02:30.500]   Mac Rumors just published them to make it look pretty awesome.
[00:02:30.500 --> 00:02:33.540]   I don't feel quite so bad.
[00:02:33.540 --> 00:02:37.840]   Also here, ladies and gentlemen, from Massachusetts.
[00:02:37.840 --> 00:02:41.280]   It's Andy and not co.
[00:02:41.280 --> 00:02:41.980]   Addy.
[00:02:41.980 --> 00:02:42.540]   Addy.
[00:02:42.540 --> 00:02:45.380]   How are you?
[00:02:45.380 --> 00:02:47.920]   Wicked Pesser here.
[00:02:47.920 --> 00:02:50.720]   We've been drunk off our butts since 2am because that's
[00:02:50.720 --> 00:02:53.260]   technically the status St. Patrick's Day.
[00:02:53.360 --> 00:02:53.860]   It is.
[00:02:53.860 --> 00:02:55.060]   It's a federal holiday.
[00:02:55.060 --> 00:02:56.760]   No one ain't getting their mail today.
[00:02:56.760 --> 00:02:59.860]   Anywhere in the Boston area.
[00:02:59.860 --> 00:03:00.300]   Do they?
[00:03:00.300 --> 00:03:01.000]   Is it a big?
[00:03:01.000 --> 00:03:02.000]   I think it's a big holiday.
[00:03:02.000 --> 00:03:05.100]   You're in the Celtic land.
[00:03:05.100 --> 00:03:06.700]   I've been in my office all day long.
[00:03:06.700 --> 00:03:09.840]   I have received one report from one of my field operatives
[00:03:09.840 --> 00:03:13.140]   who already spotted Guinness vomit in the subway.
[00:03:13.140 --> 00:03:14.240]   Oh, that's disgusting.
[00:03:14.240 --> 00:03:15.880]   On her way into work.
[00:03:15.880 --> 00:03:19.580]   So you know that's bad.
[00:03:19.580 --> 00:03:22.720]   And you could tell it's Guinness because it's--
[00:03:22.820 --> 00:03:24.420]   It's just disgusting.
[00:03:24.420 --> 00:03:26.660]   Because it's got a steam of foam at the top, razor
[00:03:26.660 --> 00:03:27.620]   and separation.
[00:03:27.620 --> 00:03:30.360]   The foam never goes away.
[00:03:30.360 --> 00:03:31.960]   Ee.
[00:03:31.960 --> 00:03:34.300]   All right, we have a big story, of course.
[00:03:34.300 --> 00:03:38.800]   And we will get to the minor stories like the iPod,
[00:03:38.800 --> 00:03:41.200]   shuffle, DRM, kerfuffle.
[00:03:41.200 --> 00:03:43.240]   The shuffle, kerfuffle, kerfuffle.
[00:03:43.240 --> 00:03:44.040]   A little later on.
[00:03:44.040 --> 00:03:47.280]   But before we do that, let's talk about big announcements
[00:03:47.280 --> 00:03:50.080]   out of Cupertino, California today.
[00:03:50.180 --> 00:03:56.220]   The new iPhone 3.0 looks like Kevin Rose nailed it.
[00:03:56.220 --> 00:03:57.720]   Yes.
[00:03:57.720 --> 00:03:59.120]   He's got to be right sometime.
[00:03:59.120 --> 00:04:00.020]   Yeah.
[00:04:00.020 --> 00:04:04.160]   Cut and paste, or they call it copy and paste.
[00:04:04.160 --> 00:04:05.620]   It can do both.
[00:04:05.620 --> 00:04:07.260]   It can do both.
[00:04:07.260 --> 00:04:08.660]   Copy, cut and paste.
[00:04:08.660 --> 00:04:09.760]   It's just that good.
[00:04:09.760 --> 00:04:13.060]   It's just that good.
[00:04:13.060 --> 00:04:16.840]   First of all, I guess we should say we should ask,
[00:04:16.840 --> 00:04:18.000]   when is this going to be available?
[00:04:18.000 --> 00:04:19.600]   Have they yet?
[00:04:19.700 --> 00:04:20.200]   Yes.
[00:04:20.200 --> 00:04:22.340]   So they say a new hardware yet?
[00:04:22.340 --> 00:04:23.340]   They did not.
[00:04:23.340 --> 00:04:24.100]   In fact, they asked.
[00:04:24.100 --> 00:04:25.600]   I think someone from the BBC said--
[00:04:25.600 --> 00:04:26.340]   They're in the Q&A section.
[00:04:26.340 --> 00:04:27.040]   What about the hardware?
[00:04:27.040 --> 00:04:28.640]   And they said nothing to say today.
[00:04:28.640 --> 00:04:29.740]   And then they said, what about netbooks?
[00:04:29.740 --> 00:04:32.480]   What nothing to say today?
[00:04:32.480 --> 00:04:34.240]   OK, that's the stock answer.
[00:04:34.240 --> 00:04:36.680]   It's forest all that did the presentation, right?
[00:04:36.680 --> 00:04:37.580]   It was everybody.
[00:04:37.580 --> 00:04:38.580]   Everybody.
[00:04:38.580 --> 00:04:39.380]   It was a big part.
[00:04:39.380 --> 00:04:39.920]   It was a big part.
[00:04:39.920 --> 00:04:40.520]   Yeah.
[00:04:40.520 --> 00:04:42.020]   OK.
[00:04:42.020 --> 00:04:46.860]   So Andy, you think this is going to-- does mean new hardware?
[00:04:46.860 --> 00:04:48.020]   Well, it's got to mean new hardware.
[00:04:48.120 --> 00:04:49.580]   They have to keep pushing out new phones,
[00:04:49.580 --> 00:04:53.620]   if only just to get people to replace their old phones.
[00:04:53.620 --> 00:04:55.960]   I think Scott was-- you who pointed out
[00:04:55.960 --> 00:04:59.060]   that this is going to be the second anniversary of the unveiling
[00:04:59.060 --> 00:05:01.100]   of the iPhone 1.0, which means that a lot of people
[00:05:01.100 --> 00:05:03.060]   are going to have their contracts expire.
[00:05:03.060 --> 00:05:05.860]   And rather them have them free as a bird to actually
[00:05:05.860 --> 00:05:09.240]   be on a month by month basis, this would offend AT&T
[00:05:09.240 --> 00:05:11.500]   in some fashion and they would have to slap down like--
[00:05:11.500 --> 00:05:14.040]   Of course it would.
[00:05:14.040 --> 00:05:17.240]   Yeah, I predict a new phone will land around June,
[00:05:17.340 --> 00:05:21.040]   because that's when all of us that bought the new phone
[00:05:21.040 --> 00:05:23.640]   back two years ago will have our contracts expire.
[00:05:23.640 --> 00:05:27.780]   And it's way too big a risk to let those people flounder
[00:05:27.780 --> 00:05:32.720]   around out there without some new little tempting bobble
[00:05:32.720 --> 00:05:35.220]   to say, hey, you want to upgrade to this, don't you?
[00:05:35.220 --> 00:05:36.520]   And then you can do that.
[00:05:36.520 --> 00:05:37.620]   What I find interesting is I don't
[00:05:37.620 --> 00:05:40.720]   know that many people with a 1.0 iPhone.
[00:05:40.720 --> 00:05:41.660]   Yeah, I don't--
[00:05:41.660 --> 00:05:42.360]   I still have mine.
[00:05:42.360 --> 00:05:43.460]   Everybody I know is upgraded to two.
[00:05:43.460 --> 00:05:45.060]   Yeah.
[00:05:45.160 --> 00:05:47.220]   I'm still one of those holdouts with one.
[00:05:47.220 --> 00:05:48.920]   You have a 1.0 iPhone?
[00:05:48.920 --> 00:05:49.920]   That's--
[00:05:49.920 --> 00:05:51.860]   There's no 3G service where I live.
[00:05:51.860 --> 00:05:52.960]   It doesn't matter.
[00:05:52.960 --> 00:05:53.560]   OK.
[00:05:53.560 --> 00:05:55.100]   And you don't care about the GPS.
[00:05:55.100 --> 00:05:56.500]   Do they say anything about upgrade for instance?
[00:05:56.500 --> 00:05:57.300]   I've got to really--
[00:05:57.300 --> 00:05:58.100]   I've got to really--
[00:05:58.100 --> 00:05:58.700]   They didn't say anything.
[00:05:58.700 --> 00:05:59.500]   They got a nice--
[00:05:59.500 --> 00:06:00.000]   Yeah.
[00:06:00.000 --> 00:06:01.400]   They didn't say anything.
[00:06:01.400 --> 00:06:04.840]   They did say that 3.0 will work with existing phones.
[00:06:04.840 --> 00:06:05.840]   They did say that.
[00:06:05.840 --> 00:06:06.440]   Yeah.
[00:06:06.440 --> 00:06:07.440]   That's good news.
[00:06:07.440 --> 00:06:10.380]   But there are two features that will not.
[00:06:10.380 --> 00:06:13.980]   Stereo Bluetooth won't work with 1.0 and neither will MMS.
[00:06:14.080 --> 00:06:16.140]   They're finally adding stereo Bluetooth.
[00:06:16.140 --> 00:06:16.840]   Oh my god.
[00:06:16.840 --> 00:06:19.340]   I'm going to fall off my ball.
[00:06:19.340 --> 00:06:20.680]   They're finally adding MMS.
[00:06:20.680 --> 00:06:23.080]   That's something that's been in phones for five years.
[00:06:23.080 --> 00:06:23.980]   And something no one really needs.
[00:06:23.980 --> 00:06:25.180]   You don't cheap $60 phones.
[00:06:25.180 --> 00:06:26.080]   Well, that's true.
[00:06:26.080 --> 00:06:28.520]   If you're sending email.
[00:06:28.520 --> 00:06:29.320]   Yeah, who wants--
[00:06:29.320 --> 00:06:34.260]   I think a lot of moms use MMS to send pictures of things.
[00:06:34.260 --> 00:06:36.160]   They don't really want to set up email accounts
[00:06:36.160 --> 00:06:37.860]   and that kind of stuff.
[00:06:37.860 --> 00:06:40.300]   Well, it clearly hasn't hurt the sales figures for the phone
[00:06:40.300 --> 00:06:40.960]   not to have it.
[00:06:40.960 --> 00:06:41.900]   I'll say that.
[00:06:41.900 --> 00:06:42.400]   Yeah.
[00:06:42.500 --> 00:06:45.760]   It seems like MMS is just not something anybody needs anymore.
[00:06:45.760 --> 00:06:47.800]   But I do think he was on the checklist.
[00:06:47.800 --> 00:06:48.700]   Hey, who really is--
[00:06:48.700 --> 00:06:50.840]   Did anybody do the Crunchgear Bingo just
[00:06:50.840 --> 00:06:53.440]   to see what the final score was?
[00:06:53.440 --> 00:06:56.640]   That was a cool little list that you put up there.
[00:06:56.640 --> 00:06:58.180]   I think they did pretty well.
[00:06:58.180 --> 00:06:59.880]   That was from Crunchgear.
[00:06:59.880 --> 00:07:02.880]   I think they did pretty well.
[00:07:02.880 --> 00:07:04.720]   Well, I think Apple hit most of the marks.
[00:07:04.720 --> 00:07:07.420]   Still, I don't think we saw--
[00:07:07.420 --> 00:07:10.020]   we weren't there, but video is still not.
[00:07:10.020 --> 00:07:10.720]   No video?
[00:07:10.720 --> 00:07:12.220]   No video.
[00:07:12.320 --> 00:07:15.260]   But a lot of the stuff, the cutting base, I think,
[00:07:15.260 --> 00:07:18.260]   was something that we assumed had to be there.
[00:07:18.260 --> 00:07:19.360]   I mean, there's no reason to do an event
[00:07:19.360 --> 00:07:21.800]   if you don't have a cutting paste.
[00:07:21.800 --> 00:07:22.660]   Really?
[00:07:22.660 --> 00:07:25.800]   But the thing that I was surprised that they made available
[00:07:25.800 --> 00:07:28.640]   now is the tethering.
[00:07:28.640 --> 00:07:30.100]   Or being able-- not tethering, but being
[00:07:30.100 --> 00:07:34.740]   able to connect something hardware-wise to the camera.
[00:07:34.740 --> 00:07:36.940]   There are so many possibilities there.
[00:07:36.940 --> 00:07:41.480]   But they do allow for the remote apps.
[00:07:41.580 --> 00:07:43.580]   I think we're talking about--
[00:07:43.580 --> 00:07:47.020]   developers have hardware API access to the dock connector.
[00:07:47.020 --> 00:07:49.920]   So you could do really, really awesome new hardware that
[00:07:49.920 --> 00:07:53.060]   has a really intimate connection with software
[00:07:53.060 --> 00:07:54.560]   that's running on the iPhone.
[00:07:54.560 --> 00:07:55.960]   Like what?
[00:07:55.960 --> 00:07:57.360]   Well, go ahead.
[00:07:57.360 --> 00:07:59.600]   When you talk about medical applications,
[00:07:59.600 --> 00:08:02.400]   they showed one where you can have a blood pressure thing.
[00:08:02.400 --> 00:08:05.300]   The blood pressure is actually showing up on the iPhone.
[00:08:05.300 --> 00:08:07.140]   You could do that with a scale.
[00:08:07.140 --> 00:08:11.240]   So your scale at home could be connected.
[00:08:11.340 --> 00:08:13.980]   Through either Bluetooth or through hardware.
[00:08:13.980 --> 00:08:16.080]   But also, imagine having--
[00:08:16.080 --> 00:08:18.780]   being able to connect an iPhone to medical devices
[00:08:18.780 --> 00:08:21.120]   at a hospital and being using it as-- and this is where
[00:08:21.120 --> 00:08:23.820]   the iPhone really starts to break away from just being
[00:08:23.820 --> 00:08:26.920]   a phone and really becomes this interface to many,
[00:08:26.920 --> 00:08:28.920]   many, many different applications.
[00:08:28.920 --> 00:08:31.660]   And many, many pieces of hardware, your computer,
[00:08:31.660 --> 00:08:32.860]   so on and so forth.
[00:08:32.860 --> 00:08:33.960]   Any way I imagine--
[00:08:33.960 --> 00:08:35.900]   Somebody that wants to do an inventory,
[00:08:35.900 --> 00:08:37.900]   they could have a scanner that would connect
[00:08:37.900 --> 00:08:41.100]   via Bluetooth to the iPhone that immediately
[00:08:41.200 --> 00:08:43.800]   could connect through some sort of app that they use
[00:08:43.800 --> 00:08:46.640]   to get the inventory information into a spreadsheet.
[00:08:46.640 --> 00:08:49.040]   You could imagine Amazon building
[00:08:49.040 --> 00:08:53.480]   a little barcode scanner that you could pop to the bottom
[00:08:53.480 --> 00:08:56.280]   and that you could scan anything in the world
[00:08:56.280 --> 00:08:57.980]   and have it pop up in your Amazon app
[00:08:57.980 --> 00:08:59.380]   so that you could order from Amazon.
[00:08:59.380 --> 00:09:01.720]   Developers are getting their copies now,
[00:09:01.720 --> 00:09:04.720]   so presumably we'll start developing for the summer release.
[00:09:04.720 --> 00:09:05.660]   Yeah.
[00:09:05.660 --> 00:09:07.860]   Do you guys really think that hardware companies
[00:09:07.860 --> 00:09:10.560]   would want to build hardware specifically
[00:09:10.660 --> 00:09:11.660]   to use the dock?
[00:09:11.660 --> 00:09:13.260]   I think the wireless connectivity option
[00:09:13.260 --> 00:09:16.200]   is really where everybody would want to go.
[00:09:16.200 --> 00:09:17.560]   I think that it depends on--
[00:09:17.560 --> 00:09:20.400]   I mean, there's a lot of things where bandwidth and latency--
[00:09:20.400 --> 00:09:22.200]   I know that some of the stuff I don't want to really talk about
[00:09:22.200 --> 00:09:23.800]   on the show that we're working on.
[00:09:23.800 --> 00:09:25.540]   One of the things that have been a big hold up
[00:09:25.540 --> 00:09:28.940]   was dealing with the we need more bandwidth.
[00:09:28.940 --> 00:09:30.240]   Wireless is just not fast enough.
[00:09:30.240 --> 00:09:32.080]   Wireless isn't fast enough for what we want to do.
[00:09:32.080 --> 00:09:33.880]   And so-- and latency.
[00:09:33.880 --> 00:09:35.380]   You know, and so both of those things
[00:09:35.380 --> 00:09:38.080]   get eliminated with a hardware connection.
[00:09:38.080 --> 00:09:40.080]   So let's start with copy and paste,
[00:09:40.180 --> 00:09:43.280]   because this is something that's been just lacking for so long.
[00:09:43.280 --> 00:09:44.280]   How does it work?
[00:09:44.280 --> 00:09:46.580]   Has anybody seen the video of the demo?
[00:09:46.580 --> 00:09:48.320]   Well, none of us were at the event, I should say.
[00:09:48.320 --> 00:09:50.020]   None of us were invited to the event.
[00:09:50.020 --> 00:09:51.220]   Well, you might have been Ryan.
[00:09:51.220 --> 00:09:52.020]   Nobody I thought.
[00:09:52.020 --> 00:09:54.020]   No, no, I was not.
[00:09:54.020 --> 00:09:55.420]   Oh, look, who's here?
[00:09:55.420 --> 00:09:57.260]   Kiki Sanford, ladies and gentlemen.
[00:09:57.260 --> 00:09:58.860]   Dr. Kiki.
[00:09:58.860 --> 00:09:59.860]   Yeah, come on.
[00:09:59.860 --> 00:10:00.860]   Have a seat.
[00:10:00.860 --> 00:10:01.760]   We don't have a camera for you.
[00:10:01.760 --> 00:10:03.160]   We just have a-- you can just sit down.
[00:10:03.160 --> 00:10:04.660]   [laughter]
[00:10:04.660 --> 00:10:06.200]   Yeah, yeah, like this makes sense.
[00:10:06.200 --> 00:10:08.900]   You got me on camera, but not the most beautiful girl
[00:10:08.900 --> 00:10:10.000]   in the area.
[00:10:10.100 --> 00:10:11.340]   Yeah, well.
[00:10:11.340 --> 00:10:12.340]   Thanks, Scott.
[00:10:12.340 --> 00:10:14.740]   We never really figured that part out, Scott.
[00:10:14.740 --> 00:10:16.640]   Not only do I have you on camera,
[00:10:16.640 --> 00:10:18.840]   but I've got your aspect ratio stretch.
[00:10:18.840 --> 00:10:21.480]   So you look like you're about 800 pounds.
[00:10:21.480 --> 00:10:24.080]   Well, and I appreciate that, because you know,
[00:10:24.080 --> 00:10:26.380]   I need all the help I can get that way.
[00:10:26.380 --> 00:10:27.380]   Yeah, right.
[00:10:27.380 --> 00:10:29.180]   Mr. Skinny wasting away.
[00:10:29.180 --> 00:10:34.020]   So how do cut and paste work?
[00:10:34.020 --> 00:10:36.460]   It really sounds like it works just like Kevin Rose,
[00:10:36.460 --> 00:10:37.320]   kind of said it would.
[00:10:37.320 --> 00:10:40.060]   Double tap a word, and you can drag
[00:10:40.120 --> 00:10:42.160]   little selectors across different text,
[00:10:42.160 --> 00:10:45.900]   and then it will pop up a copy paste,
[00:10:45.900 --> 00:10:47.400]   pop up that you can select.
[00:10:47.400 --> 00:10:50.740]   Does the magnifying glass come into effect?
[00:10:50.740 --> 00:10:53.140]   I don't see that in any of the pictures at all.
[00:10:53.140 --> 00:10:54.340]   Oh, yeah, I see.
[00:10:54.340 --> 00:10:56.640]   We're like the use to holding the finger over there.
[00:10:56.640 --> 00:10:57.740]   Yeah.
[00:10:57.740 --> 00:10:59.240]   If you want to fine tune your selection,
[00:10:59.240 --> 00:11:01.280]   it works the same way as it does in any other apps.
[00:11:01.280 --> 00:11:06.580]   So you tap, hold, then double tap.
[00:11:06.580 --> 00:11:07.320]   No.
[00:11:07.420 --> 00:11:11.080]   Pretty soon you're going to have to be so dexterous
[00:11:11.080 --> 00:11:13.520]   to operate one of these things on a MacBook Pro
[00:11:13.520 --> 00:11:15.820]   that you're going to know like seven forms of sign language
[00:11:15.820 --> 00:11:17.420]   just to communicate.
[00:11:17.420 --> 00:11:18.520]   It's getting a little complicated.
[00:11:18.520 --> 00:11:20.300]   You know, Lonely Sandwich made a great video
[00:11:20.300 --> 00:11:23.200]   two years ago when the iPhone first came out
[00:11:23.200 --> 00:11:24.500]   that showed how to do copy and paste,
[00:11:24.500 --> 00:11:28.300]   and this actually looks exactly like his video.
[00:11:28.300 --> 00:11:29.600]   Yeah, yeah, it does.
[00:11:29.600 --> 00:11:30.400]   That's pretty funny.
[00:11:30.400 --> 00:11:33.440]   I mean, I guess there's really only one way to do it, right?
[00:11:33.440 --> 00:11:34.640]   How else are you going to do it?
[00:11:34.640 --> 00:11:35.340]   So that's good.
[00:11:35.440 --> 00:11:37.600]   And is it copy and paste across all apps,
[00:11:37.600 --> 00:11:39.800]   or how does is there limitations to what it sounds
[00:11:39.800 --> 00:11:41.800]   like it's across the entire iPhone?
[00:11:41.800 --> 00:11:44.740]   Yeah, I mean, everything works with pictures, too.
[00:11:44.740 --> 00:11:45.940]   Yeah, pictures.
[00:11:45.940 --> 00:11:49.280]   And don't forget you can shake the phone to undo.
[00:11:49.280 --> 00:11:50.580]   I like that.
[00:11:50.580 --> 00:11:53.780]   That part is actually quite cool, I think.
[00:11:53.780 --> 00:11:55.680]   I guess there's no other way to do it.
[00:11:55.680 --> 00:11:59.220]   I mean, so I don't know what you can face you.
[00:11:59.220 --> 00:12:01.260]   Undo is shaking the phone.
[00:12:01.260 --> 00:12:02.760]   It's kind of like the Etchisket program,
[00:12:02.760 --> 00:12:04.060]   except with Undo.
[00:12:04.160 --> 00:12:06.460]   You see all these people sitting on the muni just shaking
[00:12:06.460 --> 00:12:07.860]   their iPhone the same.
[00:12:07.860 --> 00:12:09.600]   Yeah, shake, shake.
[00:12:09.600 --> 00:12:11.600]   I think there's an advert there.
[00:12:11.600 --> 00:12:14.400]   Somebody wants to make it.
[00:12:14.400 --> 00:12:18.000]   Kiki, if you want on Mike, you can sit in that chair right there.
[00:12:18.000 --> 00:12:20.440]   I just don't have a camera for you.
[00:12:20.440 --> 00:12:23.140]   You're allowed to be on Mike.
[00:12:23.140 --> 00:12:24.440]   Yeah, you can be on Mike.
[00:12:24.440 --> 00:12:26.140]   He's over here.
[00:12:26.140 --> 00:12:27.340]   Man, I don't know.
[00:12:27.340 --> 00:12:28.240]   It's such a boy.
[00:12:28.240 --> 00:12:31.180]   It's such a sausage party, but OK.
[00:12:31.280 --> 00:12:34.180]   We'll let you and we'll get you get sit down.
[00:12:34.180 --> 00:12:35.680]   All right.
[00:12:35.680 --> 00:12:37.280]   That's a visual I would have rather not had.
[00:12:37.280 --> 00:12:38.180]   I know.
[00:12:38.180 --> 00:12:40.180]   I'm a member of the club.
[00:12:40.180 --> 00:12:42.920]   You remember the club, absolutely.
[00:12:42.920 --> 00:12:43.520]   There you go.
[00:12:43.520 --> 00:12:44.720]   You don't even need your power supply.
[00:12:44.720 --> 00:12:47.960]   See, we've got special power supplies built in here.
[00:12:47.960 --> 00:12:52.260]   And the studio, the Clugeo.
[00:12:52.260 --> 00:12:54.260]   I'm going to start calling it Clugeo.
[00:12:54.260 --> 00:12:55.660]   The Clugeo here in the Clugeo.
[00:12:55.660 --> 00:12:58.400]   We provide you with power adapters.
[00:12:58.500 --> 00:13:02.700]   So Kirsten, have you been watching what the announcements have been?
[00:13:02.700 --> 00:13:03.700]   Or no?
[00:13:03.700 --> 00:13:04.700]   You were just driving up.
[00:13:04.700 --> 00:13:06.540]   So you missed the whole thing.
[00:13:06.540 --> 00:13:08.440]   All right, so just listen and learn.
[00:13:08.440 --> 00:13:11.040]   No interaction.
[00:13:11.040 --> 00:13:12.840]   Well, we're going to work on that for sure.
[00:13:12.840 --> 00:13:17.580]   That's something Steve and the Schiller are about to fix.
[00:13:17.580 --> 00:13:21.520]   So pictures, mail, text.
[00:13:21.520 --> 00:13:22.220]   This is great.
[00:13:22.220 --> 00:13:22.980]   Yeah.
[00:13:22.980 --> 00:13:23.920]   And that's just the beginning.
[00:13:23.920 --> 00:13:26.720]   How about horizontal--
[00:13:26.820 --> 00:13:29.080]   See, now I don't think they said anything about the horizontal keyboard.
[00:13:29.080 --> 00:13:32.460]   No, they did say you could do landscape keyboard
[00:13:32.460 --> 00:13:35.860]   across all applications now, including your email, your text message.
[00:13:35.860 --> 00:13:37.160]   Yay, yay, yay, yay, yay.
[00:13:37.160 --> 00:13:38.060]   Yeah, that's great.
[00:13:38.060 --> 00:13:40.360]   And see, and that's almost the part that annoys me
[00:13:40.360 --> 00:13:42.700]   is that people do applaud and clap.
[00:13:42.700 --> 00:13:44.600]   There's stuff that they should have had.
[00:13:44.600 --> 00:13:46.740]   And it sounds to me like it's a simple toggle switch
[00:13:46.740 --> 00:13:47.900]   in a piece of software.
[00:13:47.900 --> 00:13:49.040]   It really does.
[00:13:49.040 --> 00:13:51.640]   Yeah, it's kind of pathetic, actually.
[00:13:51.640 --> 00:13:52.740]   There's a lot of other--
[00:13:52.740 --> 00:13:54.640]   I mean, some of the other stuff that they put out
[00:13:54.640 --> 00:13:56.340]   that I think is pretty important is
[00:13:56.440 --> 00:13:59.940]   that you can now embed Google Maps into your applications.
[00:13:59.940 --> 00:14:03.140]   So this is something that before was a little bit
[00:14:03.140 --> 00:14:06.280]   cloozy of being able to try to--
[00:14:06.280 --> 00:14:08.280]   you could tell people kind of where it was,
[00:14:08.280 --> 00:14:10.480]   but they don't have to send it back to Google Maps.
[00:14:10.480 --> 00:14:12.980]   Now Google Maps can be inside of your application.
[00:14:12.980 --> 00:14:16.120]   They've been working with, I guess, Google to make that work.
[00:14:16.120 --> 00:14:17.720]   And--
[00:14:17.720 --> 00:14:19.720]   There's no turn-by-turn, no, Alex.
[00:14:19.720 --> 00:14:20.960]   Well, yes and no.
[00:14:20.960 --> 00:14:21.960]   Yes and no.
[00:14:21.960 --> 00:14:22.560]   Go ahead.
[00:14:22.560 --> 00:14:23.960]   Go ahead, Andy.
[00:14:24.060 --> 00:14:26.460]   What I was going to say is it's a yes and no.
[00:14:26.460 --> 00:14:29.000]   They are allowing turn-by-turn directions,
[00:14:29.000 --> 00:14:30.660]   but you have to bring your own maps.
[00:14:30.660 --> 00:14:31.700]   So any--
[00:14:31.700 --> 00:14:34.400]   Tom, Tom, wanted to sell an iPhone app that
[00:14:34.400 --> 00:14:36.500]   does turn-by-turn directions, spoken directions,
[00:14:36.500 --> 00:14:38.940]   dynamic rerouting, all this sort of stuff.
[00:14:38.940 --> 00:14:41.040]   Apple has absolutely no problem with that.
[00:14:41.040 --> 00:14:43.280]   However, these embedded maps will not
[00:14:43.280 --> 00:14:44.640]   be permitted to use that stuff.
[00:14:44.640 --> 00:14:47.240]   They said it was a licensing issue with Google
[00:14:47.240 --> 00:14:50.980]   that they don't have permission to use that data pile
[00:14:50.980 --> 00:14:52.220]   for that kind of navigation.
[00:14:52.320 --> 00:14:55.080]   But Apple says, absolutely cool, Tom, Tom, come.
[00:14:55.080 --> 00:14:55.680]   Yeah.
[00:14:55.680 --> 00:14:56.280]   The what?
[00:14:56.280 --> 00:14:56.780]   What's your question?
[00:14:56.780 --> 00:14:57.780]   The question is application.
[00:14:57.780 --> 00:14:58.520]   Why widened it?
