
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[00:03:11.040 --> 00:03:13.040]   And also he's a few years I've been a lot of plane
[00:03:13.680 --> 00:03:17.520]   And whenever you take a position everyone who does not like that position suddenly does not like you. Yeah
[00:03:17.520 --> 00:03:24.560]   So I mean yeah, I mean for many many reasons and I think any CEO of a major company, of course, probably
[00:03:24.560 --> 00:03:27.120]   Also has secure
[00:03:27.120 --> 00:03:33.760]   Travel but uh, Tim Cook is the CEO of the most valuable company in the world and I believe son dar patri has an army of nineites that actually
[00:03:33.760 --> 00:03:37.040]   It probably does
[00:03:37.040 --> 00:03:39.920]   So uh, so is this in toronto?
[00:03:40.560 --> 00:03:45.360]   Yeah, so well, I was just reading I was just minding my own business reading the internet and I saw the globe of mail say that
[00:03:45.360 --> 00:03:51.040]   Tim cook showed up at the eating center apple store, which is a big eat the big apple store in toronto
[00:03:51.040 --> 00:03:54.240]   Eatens is like seers in the us. It's just a huge
[00:03:54.240 --> 00:04:01.280]   Canadian retail chain a beleaguered one right now busy shutting down everywhere but it's seers so the
[00:04:01.280 --> 00:04:04.480]   Yeah, so it still has it still has a center named after it
[00:04:04.480 --> 00:04:09.040]   So there's an apple store there really nice one and he showed up for the kids code thing and i'm just reading it
[00:04:09.040 --> 00:04:13.680]   I think if I'd known I would have done moved heaven and earth to be there. Okay
[00:04:13.680 --> 00:04:18.400]   Um, that's nice and then I like how long did he get there? Um
[00:04:18.400 --> 00:04:21.440]   Uh, but then unbeknownst to me
[00:04:21.440 --> 00:04:27.520]   Uh, he was in attendance at the hockey game later that night and I was there and then I got a call
[00:04:27.520 --> 00:04:34.320]   Saying can you walk over to this side? Oh, that's neat. So I just am a okay. So I had a big fantasy life
[00:04:34.880 --> 00:04:40.800]   That was completely wrong. I thought this was because we in america. We had these big football games on sunday
[00:04:40.800 --> 00:04:47.440]   I thought this was probably apple's box in philadelphia at the uh, at the big nfl
[00:04:47.440 --> 00:04:52.960]   Championship game and that you probably were eating giant shrimp with tim for four hours, but no
[00:04:52.960 --> 00:04:58.800]   No, that's not what was happening. This was canadian football which we call hockey where you get to actually use sticks
[00:04:58.800 --> 00:05:03.040]   And you can't tackle people but you can you can do all sorts of face. You can check them
[00:05:03.440 --> 00:05:06.800]   Yeah, and as far as I don't know if this was his I don't think it was his first hockey game
[00:05:06.800 --> 00:05:11.120]   You know, but but you know it was his first canadian hockey. How did you get so given the security?
[00:05:11.120 --> 00:05:13.200]   I mean, how did you get near him?
[00:05:13.200 --> 00:05:15.040]   Uh, I well, I mean
[00:05:15.040 --> 00:05:22.080]   That I mean, I'm assuming people interviewing them might be half on that part. So so they invited you to come
[00:05:22.080 --> 00:05:24.640]   Yeah, and they expected you
[00:05:24.640 --> 00:05:29.840]   And and I said hey rene. How you doing? Come on over tim wants to say hi
[00:05:30.560 --> 00:05:37.440]   Yeah, like I my expectation was just something like oh, we'll talk to you about how ira af code is being deployed across the canada
[00:05:37.440 --> 00:05:41.600]   Or we're doing it in french now in kebak or whatever like as often these things are just
[00:05:41.600 --> 00:05:46.960]   Uh, not fatigues. I don't want to I don't want to charge change on their super important things. They're they're they're pressivettes
[00:05:46.960 --> 00:05:52.320]   Yeah, they're expected and this yeah, and he had done his interview as far as I know he'd done all his interviews
[00:05:52.320 --> 00:05:54.640]   We actually ran one and i'm more from a gentleman who used to work
[00:05:55.120 --> 00:06:01.600]   Uh in the the the the real newspaper industry in canada, but is now a freelance journalist and he got to interview tim earlier in the day
[00:06:01.600 --> 00:06:05.680]   And um we managed to to get him on a freelance basis to do that interview for us
[00:06:05.680 --> 00:06:11.520]   So that was great. So I had zero expectations going in and then he was there which was which was really great
[00:06:11.520 --> 00:06:14.240]   I didn't want to take up too much of a time because he was super busy with all the apple people
[00:06:14.240 --> 00:06:18.560]   Yeah, so you didn't you didn't get an interview or anything. You just said did he did he know who you were
[00:06:18.560 --> 00:06:22.000]   You've talked about him previously. Yeah, I've met him previously
[00:06:22.000 --> 00:06:26.240]   I've seen him at the events and I've seen him at some of the launches before I never assumed that he's gonna remember me
[00:06:26.240 --> 00:06:29.760]   But I say hi. I'm rene. He goes. I know I know oh, that's nice. That's really nice
[00:06:29.760 --> 00:06:31.680]   Renee
[00:06:31.680 --> 00:06:33.040]   Yes one question
[00:06:33.040 --> 00:06:37.360]   Are you still wearing the same shirt today that you will be wore that you to meet you to meet?
[00:06:37.360 --> 00:06:40.480]   Tim cooking yesterday. Are you never gonna take off?
[00:06:40.480 --> 00:06:42.800]   Well, so
[00:06:42.800 --> 00:06:47.920]   Getting home the freezing rain was a bit of an ordeal that involved hours and hours and hours of travel
[00:06:47.920 --> 00:06:50.480]   And I didn't want to miss the show. So I literally drove straight here
[00:06:51.600 --> 00:06:53.600]   I
[00:06:53.600 --> 00:07:01.360]   That's so cool and and did you say can I get a picture?
[00:07:01.360 --> 00:07:05.280]   Uh, it was like sort of like there's this phenomenal
[00:07:05.280 --> 00:07:10.000]   I call him cookies because timmy's is already taken by tim warden's so like whenever you see tim cook
[00:07:10.000 --> 00:07:14.400]   Or I think almost any famous person now. There's a lineup of people's what happens. Yeah selfies
[00:07:14.400 --> 00:07:17.760]   Yeah, so I was I was you know, I wasn't alone with him. I was in a group of people
[00:07:17.840 --> 00:07:21.760]   So I just I and it couldn't like just I don't you not be the one person
[00:07:21.760 --> 00:07:25.120]   It says no no no I don't need a photo with you sir. This is this is replay. I'm not this
[00:07:25.120 --> 00:07:27.120]   This is replaced autographs now
[00:07:27.120 --> 00:07:30.400]   Yes, you pose for a picture. Yeah, it's the new autograph
[00:07:30.400 --> 00:07:34.400]   I got I got a serenade that that pixel xl2 takes amazing picture
[00:07:34.400 --> 00:07:38.320]   That the lighting of there was really crappy. I don't I do hope you use the iPhone 10
[00:07:38.320 --> 00:07:42.960]   Yes. Yeah, absolutely you can tell because we don't look like paper cutouts
[00:07:47.280 --> 00:07:50.720]   Yeah, not in portrait though. It's not in portrait mode. This is no. This is uh,
[00:07:50.720 --> 00:07:57.680]   This is a plain Jane photography. Nice job. Yeah, congratulations. That's that's lovely. That's a that's a that
[00:07:57.680 --> 00:08:03.600]   I'm really happy for you. That's such a cheerful nice photo. It's but it doesn't I actually
[00:08:03.600 --> 00:08:10.160]   I I certainly wouldn't have put it past you to like uh to have been invited to well
[00:08:10.160 --> 00:08:13.840]   Just you know sits. Hey, we're we're tears our temps there once you sit down
[00:08:14.560 --> 00:08:18.640]   Sit in the box and then have a have a a have a period with them
[00:08:18.640 --> 00:08:24.880]   And so but because that picture it's not the usual there are a group of people each getting about
[00:08:24.880 --> 00:08:29.600]   10 or 15 seconds to get a snapshot. That's a really good natural really good photo
[00:08:29.600 --> 00:08:31.280]   I
[00:08:31.280 --> 00:08:33.280]   Keeping it together very nicely
[00:08:33.280 --> 00:08:36.080]   I the last time I took a selfie accidentally turned the camera off
[00:08:36.080 --> 00:08:38.400]   So I've learned to hand off my camera to the next person
[00:08:38.400 --> 00:08:40.800]   So that they take the photo with me
[00:08:40.800 --> 00:08:42.800]   And he was actually sitting
[00:08:44.160 --> 00:08:49.120]   Lower down. I think he came up to the box at some point, but he was actually sitting lower down with
[00:08:49.120 --> 00:08:52.800]   I'm gonna totally mess up the name. So I'm gonna say it but there was there's hockey legends
[00:08:52.800 --> 00:08:53.840]   Oh wow
[00:08:53.840 --> 00:08:55.120]   Who work on sports?
[00:08:55.120 --> 00:08:57.120]   I I am terrible at the sports
[00:08:57.120 --> 00:08:59.760]   But and people are gonna be super angry about this
[00:08:59.760 --> 00:09:01.680]   But there isn't a someone who works in broadcast
[00:09:01.680 --> 00:09:04.480]   It was a former hockey player that he was sitting with that he mentioned in his tweet
[00:09:04.480 --> 00:09:06.720]   And I can't even remember the name now
[00:09:06.720 --> 00:09:09.920]   But he so that was what it probably begins with gordon. That would be my guess
[00:09:09.920 --> 00:09:12.320]   Or jock
[00:09:12.320 --> 00:09:16.400]   Gorg gorg jocky one of them. Yeah, you can tell you can tell by the hair
[00:09:16.400 --> 00:09:22.720]   They always they always keep the hockey here. We know Tim is a sports fan. He's a big Auburn college football fan
[00:09:22.720 --> 00:09:28.400]   But yeah, I'm not right. He must know he probably is hockey fan enough to know who the people he's sitting
[00:09:28.400 --> 00:09:33.840]   And I think Phil Schiller is a huge hockey fan. I'm sure several the other people are there huge hockey fans. How cool
[00:09:33.840 --> 00:09:35.680]   How cool is that?
[00:09:35.680 --> 00:09:37.360]   Yeah, it's very nice
[00:09:37.360 --> 00:09:40.960]   And it was actually it's so interesting it really was a story that Tim was in Toronto
[00:09:40.960 --> 00:09:43.280]   Like that's a that's a news news flash
[00:09:43.280 --> 00:09:48.000]   Canada has this thing where like we always want to say we're like we're a big grown-up city
[00:09:48.000 --> 00:09:51.440]   Or a big grown-up country now and it darling because you never see like New York City
[00:09:51.440 --> 00:09:53.600]   We're Los Angeles, you cook is in New York
[00:09:53.600 --> 00:09:57.680]   We're a real city now
[00:09:57.680 --> 00:10:01.680]   And no, you always were a real city stop it. You're just Canadian. You don't have to
[00:10:01.680 --> 00:10:07.760]   Toronto needs apologize to no one you got all the yelling and everything I noticed that
[00:10:08.640 --> 00:10:10.640]   TD Ameritrade
[00:10:10.640 --> 00:10:15.600]   Which is TD they don't ever say this stands for Toronto Dominion Bank
[00:10:15.600 --> 00:10:23.280]   And they call it Ameritrade. So you wouldn't think it's Canadian. It's not Canadian. It's not there's the t rbc is royal bank of Canada
[00:10:23.280 --> 00:10:26.800]   But they all move to their initials now. Yeah, they don't want you to know. It's fine
[00:10:26.800 --> 00:10:30.800]   I trust Canadian banks a little more than I trust america. Well, we only have like it's like provinces
[00:10:30.800 --> 00:10:34.480]   We only have a handful and they're run by federal and federal power. Yeah, exactly
[00:10:34.480 --> 00:10:38.000]   Uh, did you ask Tim? Hey, Tim, where's the home pod?
[00:10:38.880 --> 00:10:46.400]   No, I mean, I I don't ever want to be that person like if if it was a formal setting and I was told to come in and I could interview him and ask him questions
[00:10:46.400 --> 00:10:52.240]   Then I would you know, just not hesitate to ask any question, but this is more of like your social sort of casual thing
[00:10:52.240 --> 00:10:56.880]   So I don't want to be that guy who's like takes out the magnifying glass starts daring and gently it is for him
[00:10:56.880 --> 00:11:03.440]   I'll never forget Becky warley at one of the apple events streaming back to the studio. Tim cook comes up. She says Tim
[00:11:04.560 --> 00:11:08.400]   Was face time. Why isn't face time more open and she never got another interview again
[00:11:08.400 --> 00:11:14.880]   That was it. That was yeah, it's like it's like when you're when you're out like the press events
[00:11:14.880 --> 00:11:19.040]   It's like you know that if Tim is like trying to get from point a to point b
[00:11:19.040 --> 00:11:23.840]   And like and maybe maybe you can say hello and that's fine
[00:11:23.840 --> 00:11:27.920]   That's nice, but you see people that trying to ask substance of questions like
[00:11:27.920 --> 00:11:33.600]   What codec are you using for the new version of iMovie that will make it compatible with and you're like oh
[00:11:34.240 --> 00:11:39.440]   Honey sweet. It's adorable. This is your I know this is your first your first time here
[00:11:39.440 --> 00:11:41.440]   But he's not gonna answer that question
[00:11:41.440 --> 00:11:45.600]   So you remember that old cartoon do you remember that like that loony tunes cartoon where the the
[00:11:45.600 --> 00:11:48.720]   Sheepdog and the wolf come into work in the morning and they're best friends
[00:11:48.720 --> 00:11:53.440]   And then they punch the clock and then when you punch the clock out your best friend, you know like like there's a very
[00:11:53.440 --> 00:11:59.680]   Deliberate transition between off the record stuff and I kind of disagree with that
[00:11:59.680 --> 00:12:03.040]   I think you don't get you know, it's not like tim cook's doing press conferences
[00:12:03.040 --> 00:12:07.680]   If you can if you can ask him a I mean don't ask him to show off how much you know
[00:12:07.680 --> 00:12:12.080]   But if there's something like what you said you were gonna make face time open. Why isn't it?
[00:12:12.080 --> 00:12:15.680]   I think that that's completely appropriate. That's good. That's good. That's appropriate
[00:12:15.680 --> 00:12:22.240]   It depends like we don't have to be nice to tim cook. I'm sorry. No, no, no, but it's it's like rene said
[00:12:22.240 --> 00:12:25.440]   I mean if you're uh if he has in previous
[00:12:26.560 --> 00:12:30.560]   Events shown that you can ask him questions anywhere and he will answer the question
[00:12:30.560 --> 00:12:34.400]   Then that's one thing if you know for
[00:12:34.400 --> 00:12:39.200]   That's why I make the difference between someone who has been here once and someone who's been here 10 times
[00:12:39.200 --> 00:12:44.000]   You know that you I know that i'm not going to get anything substantive from this conversation
[00:12:44.000 --> 00:12:47.600]   Uh, and so there's really no reason for the bother you got to be real
[00:12:47.600 --> 00:12:52.320]   But but I but I agree with you if you if you are in that kind of a setting then yes
[00:12:52.320 --> 00:12:55.920]   If you've got a question then you should ask it. Yeah, but but again if you know
[00:12:55.920 --> 00:13:02.080]   But if you have been if you have been there 10 times and you know that he is not going this person in this situation
[00:13:02.080 --> 00:13:06.800]   Is not going to ask it answer a question and it's not something you need an answer to
[00:13:06.800 --> 00:13:10.320]   Write this second. Uh, then yeah, no, and in fact
[00:13:10.320 --> 00:13:14.560]   There's like I wanted to know if face time would be open. I like I know the guy that tim would ask. Yeah
[00:13:14.560 --> 00:13:20.320]   Better use this. Oh, yeah, no, and I rarely ask I really interview ceos for that reason
[00:13:20.320 --> 00:13:26.160]   You're never gonna get ceo to do anything but you know stick to point and stick to script unless he's a wild man occasion
[00:13:26.160 --> 00:13:31.920]   Although he was it depends rooming with malala. I mean like he was just so happy about all the malala fun stuff
[00:13:31.920 --> 00:13:36.640]   So great. Yeah, he was on cloud nine. Yeah, that's really how I read you asked him
[00:13:36.640 --> 00:13:41.360]   He might have said as a matter of fact Renee you'll be able to order home pod friday
[00:13:41.360 --> 00:13:45.200]   Or we might have said we have nothing to discuss about home pod in Canada or nay, so
[00:13:46.320 --> 00:13:52.160]   Only in the u.s. Australia. Yeah, and the u.k. Sorry, canada
[00:13:52.160 --> 00:13:55.440]   France and germany this spring that's almost canada
[00:13:55.440 --> 00:14:03.120]   Is it isn't great to have to have just for this one reason once again for other countries to wish they were american
[00:14:03.120 --> 00:14:05.920]   Because we've lost we used to come a lot of it now
[00:14:05.920 --> 00:14:09.680]   There are only a few areas and one of them is apple product availability
[00:14:09.680 --> 00:14:16.080]   So the home pod available for pre-order friday and we will arrive friday february 9th
[00:14:16.880 --> 00:14:18.000]   two weeks
[00:14:18.000 --> 00:14:19.120]   later
[00:14:19.120 --> 00:14:21.120]   I'll of course order one immediately
[00:14:21.120 --> 00:14:26.400]   Uh, we saw the rumor that there would be a million available initially in a total of
[00:14:26.400 --> 00:14:33.760]   Something like 12 million available for the year. I don't know how accurate that is you rene have heard the home pod. Yes
[00:14:33.760 --> 00:14:36.800]   And you said it sounds really good
[00:14:36.800 --> 00:14:43.760]   Compared to what was available when it was announced which was june of 2017 it sounded way better than both the sono
[00:14:43.840 --> 00:14:46.800]   Well, it sounded better than the sonos and way better than the echo
[00:14:46.800 --> 00:14:50.320]   But since then both companies have released new products. So i'm looking for
[00:14:50.320 --> 00:14:55.280]   Google yeah google max one oh one yeah the echo is it the echo two?
[00:14:55.280 --> 00:15:01.040]   Uh, yeah the second generation echo was supposed to be better and the echo home sounds pretty good
[00:15:01.040 --> 00:15:05.200]   I would that's probably the one i'll compare it with it is after all only seven inches tall
[00:15:05.200 --> 00:15:08.960]   It's hard to make a really good speaker system. That's compact like that
[00:15:09.360 --> 00:15:15.920]   Uh has a woofer that fires up which is interesting six microphone array seven tweeters around the base
[00:15:15.920 --> 00:15:23.520]   It has an a eight which is a pretty powerful chip for a speaker. We have made a mock up
[00:15:23.520 --> 00:15:30.560]   Of the speaker to give you uh some idea of its of its size and shape. I think this is a roll of toilet paper
[00:15:30.560 --> 00:15:37.920]   Inside here. I don't know and uh, and I apologize for the poor caricature of the apple logo. That's the silver not the space gray right? Yes
[00:15:38.400 --> 00:15:40.400]   This is the silver one
[00:15:40.400 --> 00:15:41.600]   so um
[00:15:41.600 --> 00:15:46.400]   I was going to order two. I think I may still order two, but the apple says that they the
[00:15:46.400 --> 00:15:54.560]   previously announced ability to uh do multi room play uh synchronized play and
[00:15:54.560 --> 00:16:01.040]   Pair up and become a stereo set when you have two of them in the same room will not come to later in the year
[00:16:01.040 --> 00:16:06.160]   So I mean the a lot of this deals with airplay too and airplay too
[00:16:06.160 --> 00:16:10.240]   I think it's just in the in the latest beta, but it was in previous betas and it was pulled
[00:16:10.240 --> 00:16:12.400]   And that's the feature that's going to enable multi room
[00:16:12.400 --> 00:16:15.120]   The stereo thing I think is a little bit confusing because
[00:16:15.120 --> 00:16:21.040]   The home pod does computational audio where it's bouncing things off the walls and figuring out where to play sounds
[00:16:21.040 --> 00:16:22.960]   in a room. So
[00:16:22.960 --> 00:16:27.600]   It sounds like it doesn't sound like stereo. I think it's completely the wrong terminology. I'm not sure why not
[00:16:27.600 --> 00:16:33.200]   It apples using it. It says if this is from the press release if there's more than one home pod set up in the same room
[00:16:33.520 --> 00:16:39.120]   The speakers can be set up as a stereo pair for even one which I'm confused about because originally like when I heard it
[00:16:39.120 --> 00:16:41.200]   It definitely sounded like full room audio
[00:16:41.200 --> 00:16:43.120]   It didn't sound like it was coming from one side
[00:16:43.120 --> 00:16:45.760]   And my understanding was you'd add extra ones to increase the volume
[00:16:45.760 --> 00:16:48.320]   Like if you had a really large room and you wanted to fill it
[00:16:48.320 --> 00:16:54.160]   You could put two three four in and they would understand that they were there and they would expand the scope of this
[00:16:54.160 --> 00:16:59.200]   Of this 360 audio. So I'm not I have to ask apple what they mean by stereo in this context
[00:16:59.680 --> 00:17:06.000]   I do have to say that this is something I'm gonna have to really follow closely because it's not the only it's not the only speaker that
[00:17:06.000 --> 00:17:08.960]   adapts its acoustics to
[00:17:08.960 --> 00:17:10.240]   fill
[00:17:10.240 --> 00:17:12.240]   To fit whatever space it's in
[00:17:12.240 --> 00:17:17.600]   Particularly other speakers particularly they want to be aware am I in is the speaker in a corner is this
[00:17:17.600 --> 00:17:20.320]   Speaker in the middle of uh in the middle of nowhere
[00:17:20.320 --> 00:17:24.960]   Uh, and I don't I'll I'll be very very pleased
[00:17:25.520 --> 00:17:30.480]   If it can deliver the sort of audio experience of two separate speakers
[00:17:30.480 --> 00:17:35.200]   I'm a little bit skeptical. I think that it will I think that it'll be excellent sound
[00:17:35.200 --> 00:17:37.680]   But I have spent like the past
[00:17:37.680 --> 00:17:39.520]   Several months
[00:17:39.520 --> 00:17:43.200]   Uh since the since home pod was uh was first first announced
[00:17:43.200 --> 00:17:48.640]   Intentionally trying to get in as many like three to four hundred dollar like two speaker systems
[00:17:48.640 --> 00:17:53.840]   In the office and comparing that to like a sonos comparing that to whatever good stuff
[00:17:53.920 --> 00:18:00.560]   I can get my hands on and none of them can really fill a room and make you feel like you're in the middle of an engineered sound space
[00:18:00.560 --> 00:18:06.320]   Like two separate speakers a distance apart placed somewhere sensible inside the room
[00:18:06.320 --> 00:18:10.640]   So we're gonna have to see how that works and not and it should also be mentioned that
[00:18:10.640 --> 00:18:15.840]   It's you really have to compare apples to apples to apples here
[00:18:15.840 --> 00:18:20.960]   Uh a single people people are used I think today people are using a single speaker
[00:18:21.440 --> 00:18:27.360]   Differently than someone who wants to have a two speaker set if they don't necessarily want that really rich
[00:18:27.360 --> 00:18:34.240]   Stereo environment. They just want you know this really weird bizarre L shaped room to have some good music in it
[00:18:34.240 --> 00:18:37.040]   And maybe they're not even going to be sitting in the sweet spot so to speak
[00:18:37.040 --> 00:18:41.360]   I mean they're gonna be they're gonna be laying in bed while this thing is like someplace off in the corner
[00:18:41.360 --> 00:18:43.920]   So it's not even necessary that it uh that it
[00:18:43.920 --> 00:18:49.440]   Replace that kind of stereo thing. I just think we should make sure that we have the correct expectations
[00:18:49.840 --> 00:18:53.600]   For what we're about to see. I think that good good sound is really all we can count on
[00:18:53.600 --> 00:18:57.360]   You're probably accurate that people don't listen that way and if you did
[00:18:57.360 --> 00:19:02.000]   And there are people who do who want to sit down on a sofa and have a stereo speakers
[00:19:02.000 --> 00:19:04.880]   You're not going to be doing it with a home pot anyway
[00:19:04.880 --> 00:19:07.440]   That that's this is a different use case
[00:19:07.440 --> 00:19:09.680]   It's possible. It could be like I am terrible at music
[00:19:09.680 --> 00:19:12.240]   Uh, I I I have a design background not an audio background
[00:19:12.240 --> 00:19:16.720]   I'm terrible at it, but it might just be cleaner because when you're throwing audio through a room from a single source
[00:19:17.040 --> 00:19:21.120]   Maybe it bleeds or I don't know what the right terms are. I really have I mean if you're an audio file
[00:19:21.120 --> 00:19:23.440]   you're adjusting, you know
[00:19:23.440 --> 00:19:25.440]   even even at a
[00:19:25.440 --> 00:19:27.520]   consumer range, you know most
[00:19:27.520 --> 00:19:30.640]   uh stereo systems most receivers
[00:19:30.640 --> 00:19:38.160]   Have uh something like odyssey is one technology that has a microphone that you place at the seating position and it tunes the speakers
[00:19:38.160 --> 00:19:41.920]   I mean this is not anything new and I sure if you're an audio file
[00:19:42.480 --> 00:19:48.240]   You you know exactly what you're doing and you're probably using a sound pressure meter and all sorts of stuff to you have 9.1
[00:19:48.240 --> 00:19:50.320]   You're not where any single speaker you have. Well, maybe you do
[00:19:50.320 --> 00:19:55.040]   You know, I think a lot of purists say no, let's let's do stereo. Let's not do surround sound
[00:19:55.040 --> 00:19:58.160]   Well, they have vinyl speakers, right? I mean, that's what I have vinyl speakers
[00:19:58.160 --> 00:20:02.160]   And he just bought a record player. So, you know, it just it just arrived today
[00:20:02.160 --> 00:20:07.120]   There's this good. Yeah, it's it's this is why audio is such an exciting category right now
[00:20:07.120 --> 00:20:10.320]   We're kind of redefining what what good audio means
[00:20:10.800 --> 00:20:14.800]   uh, where people people absolutely want the best quality sound if they have a chance to
[00:20:14.800 --> 00:20:19.920]   Test out like a sonos versus the the most versus the home pod and they like one better
[00:20:19.920 --> 00:20:25.440]   That's they're not going to simply say the sound quality doesn't matter. However, man. I'm so I myself. I'm surprised
[00:20:25.440 --> 00:20:26.720]   I don't have
[00:20:26.720 --> 00:20:30.240]   I don't have like all my audio stuff set up in the bedroom for instance yet
[00:20:30.240 --> 00:20:33.120]   So all I he really have is a google home speaker
[00:20:33.120 --> 00:20:38.720]   And i'm surprised at how much i'm enjoying just like as i'm reading in bed or something
[00:20:39.200 --> 00:20:44.880]   It's okay that i'm not getting the you know, the the buddha con like stone hinge like speakers
[00:20:44.880 --> 00:20:46.960]   room filling experience
[00:20:46.960 --> 00:20:50.080]   All I want is something it's it's okay for it to be a mono source
[00:20:50.080 --> 00:20:55.200]   But to be really good rich sound and this is coming from a speaker the size of a cantaloupe that costs
[00:20:55.200 --> 00:21:01.760]   $129 $150. So it's it's a it's a new metric and i'm really excited to see what apple's doing with home pods
[00:21:01.760 --> 00:21:07.600]   White in space gray usuk, australia pre-order friday
[00:21:08.480 --> 00:21:09.600]   Um
[00:21:09.600 --> 00:21:13.680]   At that price point, you know, I mean I think you're I think people put them in every room
[00:21:13.680 --> 00:21:17.680]   Is it is it rina? You think more about syri or more about music or both?
[00:21:17.680 --> 00:21:25.680]   So um, well one thing I I think apple really is positioning this as like if you look at um ear pod air pods
[00:21:25.680 --> 00:21:27.680]   Sorry, those are close band
[00:21:27.680 --> 00:21:33.760]   Um, they are they're a music first device, but they also put syri right, you know literally right into your ears
[00:21:33.760 --> 00:21:37.600]   And this is wide band like this is far far range
[00:21:38.080 --> 00:21:44.560]   This is being forming microphones. This is something the technology that echo has been using for a long time and google is put into google
[00:21:44.560 --> 00:21:45.280]   Home
[00:21:45.280 --> 00:21:51.680]   It's putting syri on a device that it can actually hear you if if we have music blaring and i'm standing next to andi and i say
[00:21:51.680 --> 00:21:58.960]   Hey schlomo do this schlomo can hear me even if andi necessarily can't distinguish what i'm saying and that requires this hardware
[00:21:58.960 --> 00:22:03.040]   But I think it's very similar right now to air pods where to andi's point
[00:22:03.920 --> 00:22:08.480]   For someone who really wants to go to the trouble of setting up adobe atmo system in 9.1 sound and have the perfect room
[00:22:08.480 --> 00:22:14.080]   That's fine, but many people can't or just don't want to have to go to the effort of of wiring all that up and they could put a single
[00:22:14.080 --> 00:22:20.080]   Easiest i mean you tap your iphone to set it up and it and it uses computational audio the way that
[00:22:20.080 --> 00:22:24.080]   um depth effect that portrait mode on a phone uses computational
[00:22:24.080 --> 00:22:26.320]   Photography yes, you can get the big dl
[00:22:26.320 --> 00:22:30.640]   Dessel and all the lenses and learn how to shoot and do all that and get a nice portrait photo
[00:22:30.960 --> 00:22:34.960]   Or you can use your iphone and get one that for most people is emotionally at least good enough
[00:22:34.960 --> 00:22:37.920]   And this will give really good, you know good enough audio
[00:22:37.920 --> 00:22:43.120]   But it sounds like apple is really tuning this as music first like they've invested heavily in syri
[00:22:43.120 --> 00:22:47.520]   But it's in building out syri's domain knowledge about music so that it is
