
[00:00:00.000 --> 00:00:05.520]   It's diver Mac break weekly Renee Richie's here Andy Nachos here big big big news story
[00:07:08.680 --> 00:07:12.680]   Existed existed what we always wanted to do is tackle the essence of
[00:07:12.680 --> 00:07:18.360]   Integrating what we consider different parts looking at the iPhone 10 from that perspective. I think it took many years and
[00:07:18.360 --> 00:07:20.880]   We were finally able to achieve it
[00:07:20.880 --> 00:07:28.520]   So the idea that it's a unitary object a single slab of glass as opposed to individual components, you know screwed together
[00:07:28.520 --> 00:07:33.520]   He then said we have a lot more big ideas and we're already working on them
[00:07:33.960 --> 00:07:40.560]   Rather than one ending of the iPhone. It's rather a new chapter and the beginning of its development. So I think he's really
[00:07:40.560 --> 00:07:47.240]   Saying and I guess this explains the naming a little bit and answers maybe the question of
[00:07:47.240 --> 00:07:50.080]   What's gonna happen next year?
[00:07:50.080 --> 00:07:57.200]   If there is an iPhone 9 it'll be a continuation of the existing line, but I think that's come to an end
[00:07:57.200 --> 00:07:59.640]   I think that might be the end this is the new beginning
[00:07:59.640 --> 00:08:03.240]   Yeah, so there won't be a 9 they'll be whatever X the second X is
[00:08:03.240 --> 00:08:05.240]   I
[00:08:05.240 --> 00:08:09.320]   Asked whether there was a pressure to release the new design by the 10th anniversary of the phone
[00:08:09.320 --> 00:08:14.160]   He agreed there was but claimed ultimately it was a wonderful coincidence
[00:08:14.160 --> 00:08:19.360]   Well, haha just for the design team and engineer team if you're trying to do a good job
[00:08:19.360 --> 00:08:22.760]   There's always pressure. I understand that what is expected is a change
[00:08:22.760 --> 00:08:26.840]   But we were trying to keep in mind is always do the best job as much as possible given the years
[00:08:26.840 --> 00:08:32.360]   Taken to develop the iPhone 10. It was a truly wonderful coincidence. So it is a good time to last year they would have
[00:08:32.360 --> 00:08:37.320]   Yeah, it's not really the 10th anniversary iPhone. It's the next chapter for iPhone
[00:08:37.320 --> 00:08:40.200]   Yeah, so in what regard is the next chapter?
[00:08:40.200 --> 00:08:44.680]   It takes a lot of the things that were super familiar to it like what made an iPhone like
[00:08:44.680 --> 00:08:50.120]   Iconically what made an iPhone an iPhone was that home button you even saw it in a little tiny glyphs that they used in all their products
[00:08:50.120 --> 00:08:53.200]   And it throws a lot of that away tries to introduce some new paradigms
[00:08:53.200 --> 00:08:58.840]   But it really is a rethinking of what Apple's whole design language for those mobile devices is going to be
[00:08:59.880 --> 00:09:03.720]   Yeah, also it's I think it's a continuation of it started with 3d touch
[00:09:03.720 --> 00:09:09.640]   which is the ability to kind of create more functionality without creating more
[00:09:09.640 --> 00:09:12.840]   physical clicky buttons or in physical
[00:09:12.840 --> 00:09:14.240]   obvious
[00:09:14.240 --> 00:09:20.000]   Interfaces on the surface because when you think about it when you have obviously when you have a home button you have a home button everywhere
[00:09:20.000 --> 00:09:24.880]   And that used to be seen as a huge advantage that no matter how confused you get within the interface
[00:09:24.880 --> 00:09:29.080]   There's always that emergency check button that will take you they'll bounce you all the way back to the home screen
[00:09:29.400 --> 00:09:35.000]   Volume buttons are always exactly where you're supposed to be the the power or whatever they're calling it right now button
[00:09:35.000 --> 00:09:41.160]   It's always where it's supposed to be. I think they're moving towards a place where they can essentially create any surface to do any
[00:09:41.160 --> 00:09:49.000]   control that they want to put in which means that they can create they can really change what an iPhone is in five years without having to change the entire body
[00:09:49.000 --> 00:09:53.480]   design without having to train people on this is why this is why there is a
[00:09:54.040 --> 00:10:01.840]   There is a section of the top part of the bezel that you can stroke from left to right and also responds to a press and swipe up
[00:10:01.840 --> 00:10:07.880]   It's it's basically just like the removal of the physical keyboard from the phone
[00:10:07.880 --> 00:10:14.640]   meant that if you didn't want to use that part of the screen for a keyboard if you wanted to use it use it as like a
[00:10:14.640 --> 00:10:17.320]   Video scrub controller it could be a video scrub controller
[00:10:17.320 --> 00:10:19.960]   So it really makes it into a more abstract device
[00:10:19.960 --> 00:10:24.040]   It's a challenge though because you have now a whole bunch of applications that are designed
[00:10:24.040 --> 00:10:31.280]   around the notion that you're gonna have an exit with the home button yeah, and they I mean
[00:10:31.280 --> 00:10:35.160]   I don't like about the iPhone is that there the
[00:10:35.160 --> 00:10:39.840]   Applications don't have an exit it's mostly abstracted though
[00:10:39.840 --> 00:10:45.720]   like the same thing with Face ID and touch ID is that it's a bio authentication API and it just happens to be surfaced in different ways and
[00:10:45.720 --> 00:10:52.600]   There are exit APIs that you know when you press the home button the app goes into hibernation does these things and when you swipe up all of that internally
[00:10:52.600 --> 00:10:57.680]   My understanding is that's all the same so from from an app development point of view and the API point of view
[00:10:57.680 --> 00:11:02.760]   It's identical. It's just a new mechanic that you'll learn you don't have to like me only the user changes not the app
[00:11:02.760 --> 00:11:06.000]   Yeah, and people like me who love like webOS with I love that up gesture on there
[00:11:06.000 --> 00:11:08.840]   I was I found it really natural I was within three minutes at the
[00:11:08.840 --> 00:11:09.880]   iPhone event
[00:11:09.880 --> 00:11:12.960]   I was just swiping up to stop everything or to move everything on the iPhone 10
[00:11:13.280 --> 00:11:16.200]   Okay, yeah, so that's gonna be the question and you've played with it
[00:11:16.200 --> 00:11:21.960]   So you can you can somewhat answer that go ahead Andy. Yeah, I do wonder if there's gonna be I wouldn't call it blowback
[00:11:21.960 --> 00:11:29.640]   But if there's gonna be a generation of designers who sort of are get bored by the lack of feature physical features on the device
[00:11:29.640 --> 00:11:33.000]   And they go back and their inspiration will be taken from
[00:11:33.000 --> 00:11:39.720]   Modern cars that are super electronic, but they also want to make sure that the shift knob has this really pleasing
[00:11:40.200 --> 00:11:46.520]   tactile feel to it when you're moving from first to second or even being inspired by a
[00:11:46.520 --> 00:11:51.240]   Curta calculator, which is certainly not as fast as as any modern calculator
[00:11:51.240 --> 00:11:58.000]   But there's something very pleasantly tactile as you wrote to is you set the you set the the levers and you rotated to get the answer
[00:11:58.000 --> 00:12:01.160]   or even the
[00:12:01.160 --> 00:12:04.400]   my favorite HP calculators the kind that had that sort of
[00:12:05.880 --> 00:12:11.760]   Parallelogram like keys that had like two or three surfaces on top of them the way that you press into them
[00:12:11.760 --> 00:12:16.040]   And they just really feed back in a really lovely way. I'm just wondering if
[00:12:16.040 --> 00:12:23.000]   Love designers often go from an emotional point of view because they're selling based on emotional features
[00:12:23.000 --> 00:12:25.120]   It's not just what this phone or what this device can do
[00:12:25.120 --> 00:12:29.960]   It's how it makes you feel when you use it and perhaps in a world in which people are
[00:12:30.320 --> 00:12:35.400]   Less and less sure of what's going on around them and about their level of power and control
[00:12:35.400 --> 00:12:42.280]   Maybe there might be a thought a lot of thought that says that we're not we're not gonna make this things just studded with buttons
[00:12:42.280 --> 00:12:49.000]   But let's have a couple of really nice buttons on there that attack very important features that are nonetheless
[00:12:49.000 --> 00:12:53.600]   Very attractive to hold and push and fidget with when you have this thing in your hand
[00:12:53.600 --> 00:12:57.240]   I just think it gets kind of boring when you just have oh look
[00:12:57.240 --> 00:13:02.160]   It's another flat rectangle with rounded edges with no buttons whatsoever like okay
[00:13:02.160 --> 00:13:04.240]   Yeah, it's nothing bad about it
[00:13:04.240 --> 00:13:11.240]   But the thing that stands out is the thing that's different just just like the iPhone stood out because it was a wonderful
[00:13:11.240 --> 00:13:16.840]   Innovation compared other phones, but also stood out because my goodness. I can see I've got this entire screen
[00:13:16.840 --> 00:13:19.440]   That's not being cluttered with mechanical interface anymore
[00:13:19.440 --> 00:13:26.920]   So when your entire world is glass interfaces the the machine that just decides to put you this give you this really nice
[00:13:27.200 --> 00:13:30.640]   dare I say, you know handguns style mechanical
[00:13:30.640 --> 00:13:38.040]   Metal switch on the side that does something that's critical to the function of the thing that gets you interested in a in a world
[00:13:38.040 --> 00:13:42.280]   Where you're using most people are using phones for the same things no matter what platform they're using
[00:13:42.280 --> 00:13:44.560]   Louis Manti will save us all Andy. I
[00:13:44.560 --> 00:13:48.280]   Think any you're channeling Johnny. I've exactly
[00:13:48.280 --> 00:13:54.720]   And of course people like us who obsessively pay attention to the details
[00:13:55.560 --> 00:14:01.640]   Will you know have a different reaction perhaps than a somebody somebody who spent the last seven ten years a
[00:14:01.640 --> 00:14:07.680]   Customizing themselves to how an iPhone works and one of the things of the iPhone one of the really advantages the iPhone had
[00:14:07.680 --> 00:14:12.200]   Is unlike Android there really was you know one way to do it
[00:14:12.200 --> 00:14:17.680]   You just did it that way and you really could have the muscle memory develop over time and you might have a smart
[00:14:17.680 --> 00:14:21.440]   Like they kept iPhone 8 on the market the same year so you have that choice
[00:14:21.440 --> 00:14:26.760]   It's not like previous years where oh suddenly all the phones are big and I like smaller phones and Apple screwed me and left me alone
[00:14:26.760 --> 00:14:29.520]   And it took 18 months to get an iPhone SE now
[00:14:29.520 --> 00:14:35.800]   It's like I really love the home button all I want is a better faster phone the better camera. Why can't oh it's there?
[00:14:35.800 --> 00:14:38.080]   I can buy that I don't have to have this change of origin
[00:14:38.080 --> 00:14:42.000]   I'll get the iPhone that I'm comfortable with I can watch other people be victimized by this
[00:14:42.000 --> 00:14:44.640]   I was home button less phone and then maybe next year
[00:14:44.640 --> 00:14:45.480]   I'll take a look at it
[00:14:45.480 --> 00:14:50.360]   So I think Johnny doesn't expect or Apple doesn't expect ever you know a lot of people to buy the 10 the 10 is for a
[00:14:51.200 --> 00:14:52.400]   a
[00:14:52.400 --> 00:14:58.840]   Particular and relatively small audience for an iPhone plus they can't make is a can't make iPhone scale. Yeah exactly
[00:14:58.840 --> 00:15:02.440]   Yeah, but but absolutely they're okay with that though because it's a special
[00:15:02.440 --> 00:15:08.120]   It's for it's the early adopter phone. It's the it's almost a I think beta
[00:15:08.120 --> 00:15:10.960]   Yeah, and I think that Apple wouldn't have a
[00:15:10.960 --> 00:15:18.240]   Philosophically I don't think Apple would have a problem doing something that is so radically different as the iPhone 10 from the different from the iPhone 7
[00:15:18.520 --> 00:15:22.600]   And I think that if they could get those 3d.op project projectors at scale
[00:15:22.600 --> 00:15:27.480]   I'm not sure if they would have done the iPhone 8 or at least not in the way that they've done it right now
[00:15:27.480 --> 00:15:29.200]   but
[00:15:29.200 --> 00:15:34.960]   Apple is definitely in a position though where they have to deal with they're they're not just they're not the phone for the rest of us
[00:15:34.960 --> 00:15:40.200]   They are I think the single most popular individual make of phone out there right now
[00:15:40.200 --> 00:15:45.000]   Which means that there are a lot of people who simply walk into a store. They say I've got
[00:15:45.600 --> 00:15:49.040]   $73 I want a good phone show me the three
[00:15:49.040 --> 00:15:54.040]   Good phones that to to the average consumers perception are almost identical to each other
[00:15:54.040 --> 00:15:59.720]   Okay, there's something that no one can predict that made me want phone B instead of phone A or phone C
[00:15:59.720 --> 00:16:02.160]   Thank you very much. And then you they've completely forget about
[00:16:02.160 --> 00:16:09.920]   Their their choice. So there are gonna be those people that are really going to be coming in not wanting to have it explained to them
[00:16:09.920 --> 00:16:14.200]   How face ID works? They don't want to have explained to them why there's a tab at the top of the screen
[00:16:14.640 --> 00:16:19.280]   They don't want to have to explain to them. Why do videos look a little bit funny from their point of view
[00:16:19.280 --> 00:16:24.480]   They just again, they're they they walk in with a dead phone. They want to walk out with a good phone
[00:16:24.480 --> 00:16:29.560]   So Apple has to make sure that they take care of those customers needs as well as they'll get in a
[00:16:29.560 --> 00:16:38.200]   Or even a seven right now, right? Yeah, it's it's it's hard to it's really hard to explain to people the difference between the seven and the eight
[00:16:38.200 --> 00:16:42.120]   Which is I'm not we're not trying to agree with you
[00:16:42.120 --> 00:16:48.880]   We're trying to convince people to buy the 8 and 7 but you really have to ask them a few serious questions before telling them
[00:16:48.880 --> 00:16:54.480]   Well, you know what if you've got an iPhone 5 I think you're gonna be you're gonna be blown away by the iPhone 7
[00:16:54.480 --> 00:16:58.800]   If you want to be blown away plus another hundred dollars by the iPhone 8 go for it
[00:16:58.800 --> 00:17:02.640]   But I think it was more expensive on some carriers some carriers are subsidized in the 8 way more
[00:17:02.640 --> 00:17:04.640]   You're kidding really?
[00:17:04.640 --> 00:17:08.160]   My father got a way better deal on an 8 than he got on a 7 huh?
[00:17:09.000 --> 00:17:12.560]   Huh, I wonder why they're doing that so it makes sense then that
[00:17:12.560 --> 00:17:19.640]   Apple doesn't mind that the low production numbers on an iPhone 10
[00:17:19.640 --> 00:17:26.040]   But what bothers me a little bit is is the 10 that different I understand it
[00:17:26.040 --> 00:17:31.240]   You know, we've said this over and over again Apple's got to look for the next big thing the successor to the iPhone
[00:17:31.240 --> 00:17:34.320]   You have something that's successful. It's very tempting just to write it down
[00:17:34.960 --> 00:17:41.160]   to the ground any company worth its metal is gonna try to come up with the next big thing
[00:17:41.160 --> 00:17:46.280]   Maybe the next big thing is is an iPhone but a different kind if that's the case though
[00:17:46.280 --> 00:17:51.000]   I don't see the 10 is being so very different. It almost feels more design different really than
[00:17:51.000 --> 00:17:57.120]   Functionally different. Yeah, there is that come to it. I think that if there's an influence from the Apple Watch
[00:17:57.120 --> 00:18:02.320]   It's the knowledge that Apple is a design company as much as they are an engineering company
[00:18:02.320 --> 00:18:08.880]   And we've there's there's the long long conversation about how over design is interactively intertwined with engineering and okay
[00:18:08.880 --> 00:18:09.680]   Yes, that's true
[00:18:09.680 --> 00:18:14.280]   But there is a point at which Apple is they they like things that look great
[00:18:14.280 --> 00:18:19.320]   They like things that make your heart skip a beat and which the watch then warns you about that your heart skipped a
[00:18:19.320 --> 00:18:24.880]   Beep. Oh, no, you're an apple store. So it's okay. So so honestly, I think I think it's even okay with Apple
[00:18:24.880 --> 00:18:31.320]   If it's the fact that we have this premium phone that has no bezels to it that has that even that has that interesting tab to it
[00:18:31.320 --> 00:18:36.320]   That really just feels with it and that really great stainless steel look to the back of it
[00:18:36.320 --> 00:18:42.040]   If the only reason why people want to spend an extra hundred dollars for it is because it looks like a beautiful piece of jewelry
[00:18:42.040 --> 00:18:50.520]   Compared to the fairly utilitarian iPhone 8 and iPhone 7 that's fine by them. That's a that's a good enough reason to do the iPhone 10. Yeah
[00:18:50.520 --> 00:18:58.560]   Okay, so it can't be that different because I get the needs of the needs of the customer are still very similar even
[00:18:58.560 --> 00:19:02.400]   The divine design of the phone. Yeah, I guess it's true and I'm also wondering maybe if
[00:19:02.400 --> 00:19:10.200]   Well for instance the the biggest change is face ID in fact Ming chi quote now says
[00:19:10.200 --> 00:19:18.760]   The face ID will replace touch ID in the phones going forward, which would make sense right there. Yeah, that's no big surprise
[00:19:18.760 --> 00:19:25.240]   But one of the key things about the face ID is all of those sensors are rated in that notch
[00:19:26.840 --> 00:19:33.400]   Which would incidentally be really remarkable for augmented reality, but for one thing they're facing the wrong way
[00:19:33.400 --> 00:19:37.600]   So maybe what this also could be is okay
[00:19:37.600 --> 00:19:40.000]   Well, we want to perfect this we want face ID to work
[00:19:40.000 --> 00:19:44.660]   But if we can get the cost down on these sensors and and really kind of perfect it
[00:19:44.660 --> 00:19:49.000]   Maybe they'll be facing the other way next time and that really will be an augmented reality phone
[00:19:49.000 --> 00:19:55.560]   Is that probably slightly different sensors because this this sensor is really a tune like it splashing your face with infrared light doing a contrast
[00:19:56.000 --> 00:20:00.280]   Dot pattern and then pulling that out with the two that they could put a true camera
[00:20:00.280 --> 00:20:03.520]   What they need though to do really are excellent
[00:20:03.520 --> 00:20:08.240]   Alex were here because I think you need a lot some different sensors to do the room measurements
[00:20:08.240 --> 00:20:13.720]   Identical you just take the whole module and flip it, but it's a
[00:20:13.720 --> 00:20:16.240]   But what you are doing and for instance
[00:20:16.240 --> 00:20:18.240]   I
[00:20:18.240 --> 00:20:22.680]   Talk to the guy who works for a company that makes the proximity sensor in the iPhone
[00:20:22.680 --> 00:20:26.960]   And he said the real challenge is not making these things but making a hundred and fifty million
[00:20:26.960 --> 00:20:32.360]   And the way you get good at that is you is you ramp the market up
[00:20:32.360 --> 00:20:38.560]   You and it was easy when Apple wasn't Apple and the iPhone wasn't the iPhone with the early iPhones
[00:20:38.560 --> 00:20:40.560]   You could slowly get better and better
[00:20:40.560 --> 00:20:45.640]   This is every year like touch ID two chips were hugely constrained and the I think the AH chip was hugely
[00:20:45.640 --> 00:20:48.120]   Well, that's what I'm trying to yeah, it's not wondering
[00:20:48.520 --> 00:20:54.840]   That's kind of also the role of the iPhone 10 is to start ramping up knowledge production skills
[00:20:54.840 --> 00:21:01.760]   To make it next year's yeah, that is really different next year in other words. It is an interim. It's still an interim product
[00:21:01.760 --> 00:21:05.560]   Yeah, but my understanding is that the
[00:21:05.560 --> 00:21:11.920]   The 3d technology that's in face ID is not suitable for much of anything except for doing face ID
[00:21:11.920 --> 00:21:15.520]   Which is a lot of technology and a lot of expense to build in yeah
[00:21:15.760 --> 00:21:20.960]   Yeah, and nonetheless, I think that they're going to get a lot of information about how to do
[00:21:20.960 --> 00:21:28.520]   Fast relevant and useful 3d scanning just from all the face ID stuff that they do over the course of the next year
[00:21:28.520 --> 00:21:30.320]   the reason
[00:21:30.320 --> 00:21:33.840]   Project tango from Google is getting a lot of getting a lot of heats ago
[00:21:33.840 --> 00:21:38.760]   Oh, see you have you barely shipped a phone and it's experimental Apple decided to put this on every single phone
[00:21:38.880 --> 00:21:46.120]   There they never really saw it as a way to to unlock a phone. They were seeing it as a way of mapping a room
[00:21:46.120 --> 00:21:49.360]   So that's why that hardware it can sense that there's a doorway
[00:21:49.360 --> 00:21:54.920]   Eight feet away from you and here's the dimensions of that doorway or here's the sofa and if you walk around the sofa
[00:21:54.920 --> 00:21:57.160]   Congratulations, it knows how much air
[00:21:57.160 --> 00:22:03.640]   That sofa displaces and that's it's also why project tango phones look so weird because again
[00:22:03.640 --> 00:22:07.800]   That's that's such a that's such a big deal to be able to do that particularly in a mobile device
[00:22:07.840 --> 00:22:11.680]   But again, it's not that it's not that this is a limited technology that Apple is doing
[00:22:11.680 --> 00:22:16.680]   It means that this is what they what they they would not have put it in in a project tango sort of way saying
[00:22:16.680 --> 00:22:20.440]   This is a great. I we think this is a great idea. We don't know what people gonna use it for
[00:22:20.440 --> 00:22:24.400]   We're gonna build some developer hardware and hopefully developers will find a good use for it
[00:22:24.400 --> 00:22:29.280]   They would find out is there a way we can make we can make it the phone
[00:22:29.280 --> 00:22:36.120]   Easier to unlock and then that's when the team that has always been pushing for some sort of 3d scanning on device would say aha
[00:22:37.080 --> 00:22:39.440]   Remember you heart you remember you bought our company five years ago?
[00:22:39.440 --> 00:22:46.520]   Well, can we now have a meeting with somebody because we have a great technology for you like this Tim Cookin is interview with the UK
[00:22:46.520 --> 00:22:49.080]   publication the independent
[00:22:49.080 --> 00:22:53.040]   Kind of echoed what we've we've been saying with AR he compares
[00:22:53.040 --> 00:22:59.600]   He compares it to the app story says the app store was greeted with skepticism when it launched
[00:22:59.600 --> 00:23:04.280]   Think back to 2008 quote when the app store went live
[00:23:04.280 --> 00:23:07.200]   This was the initial there was the initial round of apps people looked at them said
[00:23:07.200 --> 00:23:11.600]   This is not anything mobile apps are not gonna take off and then and which people are saying right now
[00:23:11.600 --> 00:23:16.880]   But they are by the way I am and then step-by-step things start to move. It's sort of a curve
[00:23:16.880 --> 00:23:19.560]   It was just exponential and now you couldn't imagine life without apps
[00:23:19.560 --> 00:23:24.000]   AR is like that he says it will be dramatic so not
[00:23:24.000 --> 00:23:30.120]   By by starting the platform starting the AR kit starting the movement getting developers into it
[00:23:30.120 --> 00:23:34.760]   Yes initially most of the apps are used once demo apps
[00:23:34.760 --> 00:23:40.080]   But that's how it begins and you need to see the market and get people doing that
[00:23:40.080 --> 00:23:43.800]   It was like past book took two years before Apple pay showed up
[00:23:43.800 --> 00:23:46.000]   But then when Apple pay showed up they had the wallet in place
[00:23:46.000 --> 00:23:47.960]   They had the authentication mechanism place
[00:23:47.960 --> 00:23:52.520]   They had the card mechanism in place and you had people already familiar with the idea of having cards on your phone
[00:23:52.520 --> 00:23:55.600]   And they do that a lot they don't want to tip their hat at the technology
[00:23:55.600 --> 00:24:00.080]   They're gonna release but they need to get like size classes show up and you think oh maybe they'll what are they gonna do with that?
[00:24:00.080 --> 00:24:04.160]   And all of a sudden you have different sized phones and split view on iPad and all these different things
