
[00:00:00.000 --> 00:00:05.400]   It's time for Mac break weekly Renee and Andy and Alex are all here and of course
[00:06:07.640 --> 00:06:11.360]   It wasn't progressing fast enough and so George was this is the story
[00:06:11.360 --> 00:06:17.000]   I heard George wasn't sure what to do with it and Steve was like why don't I buy it from you and so they
[00:06:17.000 --> 00:06:21.920]   Pixar in its official history leaves out Alvey Ray Smith
[00:06:21.920 --> 00:06:26.080]   But he was a big part of this we actually I
[00:06:26.080 --> 00:06:32.840]   We have some interviews with Alvey Ray Smith. We're gonna put in our new podcast for doing a podcast based on the Valley of Genius book
[00:06:32.840 --> 00:06:34.680]   Adam Fisher is very kindly
[00:06:34.680 --> 00:06:40.400]   allowed us to do a show with Adam of the tapes of the interviews he did and he interviewed Alvey Ray Smith and I think
[00:06:40.400 --> 00:06:44.400]   Alvey was a little bitter because he's essentially been written out of the Pixar history
[00:06:44.400 --> 00:06:51.240]   Right, yeah, and I'm not sure of his involvement, you know in in that specifically, but but he
[00:06:51.240 --> 00:06:56.640]   But anyway, he was there with it. I mean that was he was right founders
[00:06:56.640 --> 00:06:59.400]   Yeah, and there was
[00:07:01.400 --> 00:07:07.040]   What would then happen of course was that the they were kind of left to their own devices and what they had to do is they started doing
[00:07:07.040 --> 00:07:11.800]   Shorts, that's what that's where he had the Luxo, Jr. What you see at the beginning every every
[00:07:11.800 --> 00:07:15.860]   Movie was they started kind of testing little shorts and they still do shorts
[00:07:15.860 --> 00:07:21.120]   I mean this is like a cultural thing that went all the way back to the beginning and that was a that was John Lasseter
[00:07:21.120 --> 00:07:23.560]   Who they had kind of stolen away from Disney?
[00:07:23.560 --> 00:07:26.200]   Well, he wasn't happy there Disney thought you know
[00:07:26.200 --> 00:07:30.280]   He had all these ideas of how to use the Peter graphics and Disney thought he was crazy
[00:07:30.280 --> 00:07:35.200]   And so they you know he left and came over and then they started doing these little stories
[00:07:35.200 --> 00:07:38.400]   And some of the early stuff was you know, it's very rough
[00:07:38.400 --> 00:07:40.080]   You know it was amazing at the time
[00:07:40.080 --> 00:07:42.880]   But it was it was very rough in the 80s and then Luxo, Jr
[00:07:42.880 --> 00:07:48.000]   And they started basically created in 86 to sell the hardware wasn't a business or anything
[00:07:48.000 --> 00:07:52.600]   It was a demo. Yeah, but but the guys always had a vision of doing
[00:07:52.600 --> 00:07:57.680]   I mean they there was a business model for the hardware there was a business model that was building for RenderMan
[00:07:57.800 --> 00:08:00.960]   There were business models that were related to that process, but they
[00:08:00.960 --> 00:08:07.680]   But they you know a lot of them had dreams of doing doing stuff as with it as well, you know and and so they they
[00:08:07.680 --> 00:08:10.000]   anyway, so the
[00:08:10.000 --> 00:08:14.680]   You know and then they were there then they were doing commercials because I mean that still the commercials took a long time to render back
[00:08:14.680 --> 00:08:20.040]   Then and that that really cut all their teeth and got them to a point where they could get funding to do Toy Story
[00:08:20.040 --> 00:08:23.560]   You know, that's the but it but it was years if you look at that
[00:08:23.560 --> 00:08:27.280]   I mean from the it was a what I guess a I want to say a decade
[00:08:27.480 --> 00:08:29.480]   or a narrow decade of
[00:08:29.480 --> 00:08:31.960]   Messing about
[00:08:31.960 --> 00:08:39.440]   You know essentially to you know to get to to Toy Story. Yeah, and and what made story great was
[00:08:39.440 --> 00:08:42.880]   You know the story, you know, it was it was rendered incredibly well
[00:08:42.880 --> 00:08:48.280]   But even when you look at when you look back now at Toy Story at the quality, it's you know, it's
[00:08:48.280 --> 00:08:55.080]   At the time it was amazing now when you look at where we're at today. It's it's still it's pretty basic
[00:08:56.080 --> 00:09:02.440]   Just jobs who had just been fired from Apple and was you know looking for stuff to do and it was starting next
[00:09:02.440 --> 00:09:08.160]   Spent five million dollars George Lucas wanted more and
[00:09:08.160 --> 00:09:12.760]   Five I heard it was ten, but it was at five million it could have been
[00:09:12.760 --> 00:09:17.200]   Well, here's how it was ten. So this is according to Wikipedia
[00:09:17.200 --> 00:09:25.600]   Jobs who'd recently been fired for Apple was now CEO of next paid five million dollars of his own money to George Lucas for technology rights
[00:09:25.920 --> 00:09:28.800]   And the Lucas wanted more, but he couldn't find him he was to buy it
[00:09:28.800 --> 00:09:34.380]   And invested five million is capital into the company. So it costs Steve a total of ten
[00:09:34.380 --> 00:09:37.860]   Right and boy that was a good
[00:09:37.860 --> 00:09:44.480]   Disney for more than ten million dollars when he when he
[00:09:44.480 --> 00:09:51.120]   When he started when he started next I heard this I heard this story that that when he started next he went to
[00:09:51.640 --> 00:09:56.160]   Cray and he actually went he's the only person that's ever gone to
[00:09:56.160 --> 00:10:01.920]   the cray headquarters to or to buy a cray computer and he
[00:10:01.920 --> 00:10:08.560]   Someone told Seymour cray that he was in the Steve Jobs isn't the lobby wants to buy a by a cray
[00:10:08.560 --> 00:10:11.400]   And he said why does he want to buy a cray?
[00:10:11.400 --> 00:10:13.720]   You know like it he was like, you know started Apple
[00:10:13.720 --> 00:10:19.600]   I don't understand and the guy said because he wants to design his next computer on on a cray
[00:10:19.600 --> 00:10:23.600]   Wow and see more said well, that's pretty funny because I designed the cray on a Mac
[00:10:23.600 --> 00:10:36.160]   Andy you wanted to say something. I'm sorry. We were no. No, I'm just saying I was just gonna ask wasn't it the
[00:10:36.160 --> 00:10:42.880]   Lucas's sale also kind of predicated by the fact that he was going through a divorce. I need a cash the cash
[00:10:42.880 --> 00:10:44.880]   Yeah, that's exactly right
[00:10:44.880 --> 00:10:47.080]   eventually that ten million dollar investment
[00:10:48.080 --> 00:10:50.080]   ten years later was
[00:10:50.080 --> 00:10:58.320]   Turned into a sale to Disney for 7.4 billion in Disney stock making the jobs family the number one Disney stockholder
[00:10:58.320 --> 00:11:00.760]   More than 10%
[00:11:00.760 --> 00:11:05.040]   Yeah, seven percent. That's right largest shareholder. Yeah
[00:11:05.040 --> 00:11:11.360]   Nice nice work it, but we all we started this with Tim Cook. What was his involvement at Pixar?
[00:11:14.720 --> 00:11:17.800]   Maybe he helped direct the sales people who sold him a few Macs over
[00:11:17.800 --> 00:11:24.760]   Maybe I think the sales team is an ops. When did he come to when did he come to Apple and how how did that get the year?
[00:11:24.760 --> 00:11:28.600]   But he was a compact and yeah came to Apple to run
[00:11:28.600 --> 00:11:32.640]   I you'd done a really well with supply chain and Tim Cook's the kind of guy who would you know
[00:11:32.640 --> 00:11:37.960]   Pre-buy all the capacity for shipping product from China and then Dela would show up three days before they need it and go
[00:11:37.960 --> 00:11:43.280]   What do you mean? There's no planes? He really revolutionized what I was already a revolution in computer logistics
[00:11:43.960 --> 00:11:53.800]   Yeah, it was one of the that's one of the reasons one of the many reasons why you don't find like Macs and other like Apple products on discount is
[00:11:53.800 --> 00:11:56.080]   Because they get that
[00:11:56.080 --> 00:12:05.160]   Calculated to such precision and they get that they get that manufacturing line running so smoothly that they almost build to they almost build to need
[00:12:05.160 --> 00:12:07.520]   They don't they they're not in the position
[00:12:07.520 --> 00:12:14.560]   They used to be in or what a lot of companies are still in right now where they have to make a bad guess and then make way more than they could
[00:12:14.560 --> 00:12:20.160]   Possibly need or make way less than they can sell and either be stuck with too much inventory
[00:12:20.160 --> 00:12:26.460]   Or be stuck with people who are now going to go buy one of 14 alternatives to whatever Dell or whatever HP or whatever
[00:12:26.460 --> 00:12:29.040]   late
[00:12:29.040 --> 00:12:30.040]   Just-in-time
[00:12:30.040 --> 00:12:34.640]   manufacturing right yeah, yeah, yeah, uh cook was actually after after leaving Auburn
[00:12:35.320 --> 00:12:38.040]   Because he's a big war eagle go war Eagle
[00:12:38.040 --> 00:12:45.520]   He spent 12 years at IBM in the in the PC business director eventually of North American fulfillment
[00:12:45.520 --> 00:12:48.520]   got an MBA from Duke
[00:12:48.520 --> 00:12:55.320]   Was briefly he was only a comic for six months. He tells the story of how he got hired
[00:12:55.320 --> 00:13:01.400]   This was in a commencement speech at Auburn and he purely rational. I love this is very Tim Cook
[00:13:04.120 --> 00:13:12.200]   This any this is Tim Cook any purely rational consideration of cost and benefits lined up in compact's favor and the people who knew me best
[00:13:12.200 --> 00:13:16.600]   advised me to stay at compact on that day in early 1998 I
[00:13:16.600 --> 00:13:21.720]   Listen to my intuition not the left side of my brainer for that matter even the people who knew me best
[00:13:21.720 --> 00:13:25.160]   No more than five minutes into my initial interview with Steve
[00:13:25.160 --> 00:13:30.320]   I wanted to throw caution and logic to the wind and join Apple. That's how good a salesman Steve is
[00:13:30.640 --> 00:13:32.840]   Do you want to sell beige boxes all your life?
[00:13:32.840 --> 00:13:39.440]   My intuition already knew that joining Apple was once in a lifetime opportunity to work for the creative genius and
[00:13:39.440 --> 00:13:44.960]   Be on the executive team that could resurrect a great American company. This is jobs on his return
[00:13:44.960 --> 00:13:49.620]   To Apple, you know we I wanted to do a series of interviews
[00:13:49.620 --> 00:13:52.160]   How Steve hired me?
[00:13:52.160 --> 00:13:57.560]   Oh, because we just talked to Bill Atkinson, you know, we did a two-part triangulation with Bill Atkinson
[00:13:58.240 --> 00:14:03.600]   Who you know was responsible for quick draw on much of the Lisa operating system?
[00:14:03.600 --> 00:14:10.240]   McPaint on the Mac hypercard later magic link magic link magic link magic cap magic cap
[00:14:10.240 --> 00:14:12.640]   and Bill said
[00:14:12.640 --> 00:14:18.280]   Steve this was when Apple is a 30 people and and Bill Atkinson was a neuroscientist
[00:14:18.280 --> 00:14:20.840]   working on his PhD
[00:14:20.840 --> 00:14:23.200]   in Washington state and
[00:14:23.320 --> 00:14:28.160]   Jeff Raskin who he'd worked with briefly said you got to come down and see we're doing at Apple so
[00:14:28.160 --> 00:14:34.840]   You know Bill said I'm this close to a doctorate. I've been 11 years getting this. I'm gonna finish my doctor
[00:14:34.840 --> 00:14:40.240]   I'm not interested. He said look. I'll pay your plane ticket Raskin said no obligation no strings just come down
[00:14:40.240 --> 00:14:44.840]   Steve jobs spent a whole day with him. He says I don't know what Steve saw in me
[00:14:44.840 --> 00:14:50.520]   But for whatever reason Steve spent the whole day with me and he said the thing that convinced me
[00:14:51.360 --> 00:14:56.360]   Was he said you know the technology you use today is two years old was invented two years ago?
[00:14:56.360 --> 00:15:00.640]   You want to use you want to start seeing what's gonna come two years from now?
[00:15:00.640 --> 00:15:06.560]   You need to come work here. He said it's the difference between surfing at the front edge of the wave and dog
[00:15:06.560 --> 00:15:11.360]   Paddling behind the wave don't you want to surf the front edge of the wave and that can sit said yep
[00:15:11.360 --> 00:15:12.560]   That's it
[00:15:12.560 --> 00:15:19.680]   No PhD from a same thing basically as Tim Cook like whatever it was that magic does that Steve jobs sprinkled I
[00:15:20.480 --> 00:15:22.480]   would love to do a series of
[00:15:22.480 --> 00:15:28.760]   Interviews with people how to how to take fire and of course you're referring Rene Richard the famous quote
[00:15:28.760 --> 00:15:32.360]   The when he hired John Scully same thing he walked around the campus
[00:15:32.360 --> 00:15:39.080]   Heringed him all day brings him up on the roof of Apple and and you know says look out here at Silicon Valley now
[00:15:39.080 --> 00:15:44.640]   Do you want to spend the rest of your life selling sugared water or do you want to change the kids or do you want to change the world?
[00:15:44.640 --> 00:15:49.280]   You know the one thing that every meeting that I've heard of that
[00:15:49.280 --> 00:15:52.320]   You know people talk about Steve being in you know selling
[00:15:52.320 --> 00:15:58.800]   He one of the things it seems like he's really good at is it is cell his cell tactic seems to be
[00:15:58.800 --> 00:16:02.520]   Do you want to stay in the crappy place that you are or come with me?
[00:16:02.520 --> 00:16:06.520]   It was never like it's this is all great and you're doing great too or
[00:16:06.520 --> 00:16:13.320]   It's you know, it's all it's always there was a little bit of you know gaslighted, you know
[00:16:13.320 --> 00:16:17.560]   Just like you're in a horrible place and I can I can help you take this work
[00:16:17.560 --> 00:16:19.920]   This war so Atkinson tells the second half of that
[00:16:19.920 --> 00:16:22.640]   Steve has been fired
[00:16:22.640 --> 00:16:25.720]   He's starting next Bill Atkinson's writing hypercard
[00:16:25.720 --> 00:16:32.200]   Steve says you got to come with me. You can't stay at this crap. She's in this crap shack with Scully come to me
[00:16:32.200 --> 00:16:36.040]   We're gonna change the world at next and this time Atkins said and I said no
[00:16:36.040 --> 00:16:42.960]   I'm gonna finish hypercard bill Steve says well if you were my friend if you were really my friend you'd come with me to next and
[00:16:43.360 --> 00:16:48.320]   Atkins and says well if you were really my friend you'd let me finish hypercard and he said we didn't talk to
[00:16:48.320 --> 00:16:50.520]   We didn't talk for years after that
[00:16:50.520 --> 00:16:53.840]   Yeah, oh isn't that it so it doesn't always work
[00:16:53.840 --> 00:17:02.120]   Right anyway Tim Cook we were saying I'm sorry. We really get way down memory lane on this
[00:17:02.120 --> 00:17:04.840]   Tell us tell us about your article
[00:17:04.840 --> 00:17:12.600]   So it's just they're very both they're both very products of Apple Steve jobs built Apple and Tim Cook really became Apple
[00:17:12.600 --> 00:17:15.120]   But they go about similar things in very different ways
[00:17:15.120 --> 00:17:21.320]   I think one of the most profound ways is that Apple always did you know charity work and Apple always did a bunch of things to try to
[00:17:21.320 --> 00:17:23.720]   To to make their employees better to make the world better
[00:17:23.720 --> 00:17:28.920]   But Steve Jobs always believed in never pimping your karma. You don't talk about it. It's not dignified to talk about it
[00:17:28.920 --> 00:17:35.920]   We're Tim Cook who's a big fan of Martin Luther King. He tweeted about it today of Robert Kennedy, Jr. All of us of Robert Kennedy
[00:17:35.920 --> 00:17:36.760]   Sorry
[00:17:36.760 --> 00:17:41.960]   He believes that you have to pave that golden path and you can inspire others by what you do
[00:17:41.960 --> 00:17:47.400]   And he's really taken Apple in a direction where they are very public about their relief efforts their charitable efforts
[00:17:47.400 --> 00:17:53.600]   They're matching donations and about civil rights civil liberties equal opportunity all of those things. He's become
[00:17:53.600 --> 00:17:59.880]   And some people really don't like this aspect of him and other people think it's the absolute best aspect of him
[00:17:59.880 --> 00:18:05.320]   But he has become a champion not just for Apple but for Apple's ability to to influence and help shape the world
[00:18:05.320 --> 00:18:11.200]   Well and very famously the first big company CEO to come out. Yeah
[00:18:12.160 --> 00:18:16.160]   In his own editorial - yeah, he's yeah, he wasn't he wasn't outed
[00:18:16.160 --> 00:18:19.360]   He was on his terms on his terms and bravo, right?
[00:18:19.360 --> 00:18:22.560]   Absolutely. Yeah, and I think
[00:18:22.560 --> 00:18:27.040]   And I get the impression that he did that for
[00:18:27.040 --> 00:18:33.120]   Other gays that are that at the time it was a very hard time, you know for the gay population
[00:18:33.120 --> 00:18:39.680]   So I think that that when he came out it was really in support of them more than something he needed to do. Yeah
[00:18:40.640 --> 00:18:43.760]   No, I got that sense too. It was kind of a crisis
[00:18:43.760 --> 00:18:46.480]   Time there were a lot of hate crimes
[00:18:46.480 --> 00:18:51.520]   Right, I think he was part of the gets better movement. I think yeah
[00:18:51.520 --> 00:18:56.960]   I got that sense too that he he's very private. He didn't want to talk about it
[00:18:56.960 --> 00:19:00.960]   But he felt like you know what I have to at this point. I have to say something
[00:19:00.960 --> 00:19:07.600]   Yeah, you were from he had felt a tremendous responsibility quote unquote to come out as gay. Yeah
[00:19:08.880 --> 00:19:14.640]   So has he been here's the real question. I think apple fans and lovers and haters ask
[00:19:14.640 --> 00:19:18.960]   Has he been a good successor to jobs particularly in the vision thing?
[00:19:18.960 --> 00:19:24.800]   He doesn't want jobs was one dimensional is like job is an amazing product visionary
[00:19:24.800 --> 00:19:29.040]   But he didn't actually make the products he had to depend on a wide variety of people from johnny
[00:19:29.040 --> 00:19:33.040]   I have to help him design them to tim cookly that old statement about yet
[00:19:33.040 --> 00:19:35.120]   You know steve jobs helped dream up the ipad
[00:19:35.200 --> 00:19:40.400]   But tim cook is a reason why it sells for $500. He had all these people from phil Shiller to eddy q
[00:19:40.400 --> 00:19:46.160]   To bob man's field helping and supporting him tim cook doesn't do what steve jobs did
[00:19:46.160 --> 00:19:51.040]   But steve jobs didn't do what tim cook did tim cook had to assemble around him existing and new people
[00:19:51.040 --> 00:19:54.800]   Who would help him be as well around that as steve jobs was each in their own niche
[00:19:54.800 --> 00:20:00.320]   I think in a lot of ways it sets apple up for the growth that it's had
[00:20:00.960 --> 00:20:07.760]   I think apple wouldn't be where it was if steve didn't get it there with the innovation with the hard push with the vision
[00:20:07.760 --> 00:20:12.880]   But for it and this is very typical for companies is that you you start at a
[00:20:12.880 --> 00:20:16.160]   You know the the innovator
[00:20:16.160 --> 00:20:19.760]   Pushes it to some certain degree, but then you need someone who's going to manage that growth
[00:20:19.760 --> 00:20:23.600]   You know past that and I so I think that that that handoff
[00:20:23.600 --> 00:20:26.320]   I think he's doing a lot of things that steve wouldn't have done
[00:20:27.200 --> 00:20:31.520]   And I think that all of those things are things that are helping helping the company grow
[00:20:31.520 --> 00:20:37.600]   You know and it's amazing when you think about apple's value in the last week or whatever has gone up or maybe the last two weeks
[00:20:37.600 --> 00:20:39.680]   $5 billion. I mean that's a really good business
[00:20:39.680 --> 00:20:43.600]   It's like and
[00:20:43.600 --> 00:20:50.800]   Billion now billion now is represented on the on the stock market as 0.05. Yeah, you know like 5 billion is 0.05
[00:20:50.800 --> 00:20:53.040]   It's 1.05 trillion
[00:20:53.040 --> 00:20:55.040]   But then in a way if you were going to say
[00:20:55.040 --> 00:21:00.480]   What the differences were between jobs and cook it would be exactly that right the jobs came up with
[00:21:00.480 --> 00:21:05.760]   New products that really inspired some of them were hits most of them were hit some of them were flops
[00:21:05.760 --> 00:21:08.480]   And that cook has really been a good custodian
[00:21:08.480 --> 00:21:11.840]   By taking what steve did and making it
[00:21:11.840 --> 00:21:14.160]   You know better
[00:21:14.160 --> 00:21:19.360]   Faster, but but incrementally but also like air pods. I think air pods is probably one of the better products apples done
[00:21:19.600 --> 00:21:25.360]   Including recent jobs era products. It may not be as consistent and it may be like I said normalized
[00:21:25.360 --> 00:21:29.200]   But there are still some fundamentally great technologies coming out of apple. Yeah
[00:21:29.200 --> 00:21:34.160]   This is uh, this is the the stock graph my dad sent me
[00:21:34.160 --> 00:21:44.640]   Said right about here. You said oh yet, uh, tim cook's taken over you should get rid of that apple stock right about there and then
[00:21:48.000 --> 00:21:50.720]   I should I should just say yeah, you're right then of course
[00:21:50.720 --> 00:21:55.120]   One hurts you like family leo. Well, I never I've never owned apple stock. I'm not except
[00:21:55.120 --> 00:21:59.680]   I guess it's I suppose it's in some of my index funds, but I you know, I'm not paying attention
[00:21:59.680 --> 00:22:06.320]   Well, but look it wasn't stupid advice. Look at that graph if he had sold and he could have sold at that peak
[00:22:06.320 --> 00:22:08.880]   Uh, excuse me sold at that peak
[00:22:08.880 --> 00:22:11.600]   Knowing that there's going to be a drop then buy it back
[00:22:11.600 --> 00:22:14.880]   At a discount and then kept that's what I meant
[00:22:16.720 --> 00:22:18.720]   That's what I meant
[00:22:18.720 --> 00:22:20.880]   Oh well
[00:22:20.880 --> 00:22:29.920]   How is now tim is what he's uh, he's a little younger than me. So he's 56 57. Oh my god. Yeah, um
[00:22:29.920 --> 00:22:36.320]   I mean, you know, he's he's gonna be around a little longer. Are they do is apple at all thinking about his replacement?
[00:22:36.320 --> 00:22:40.640]   I mean you look at some of the lists people put out and it's basically everybody on the executive page
[00:22:40.720 --> 00:22:46.800]   So I think I believe his original agreement with apple was for 10 years and that takes him to 2021
[00:22:46.800 --> 00:22:49.840]   Um, and he might well want to keep doing it
[00:22:49.840 --> 00:22:53.920]   He looks like someone who loves what he does and believes that they really can't affect change on a global scale
[00:22:53.920 --> 00:22:57.200]   And that's a very unique position. Sorry very unique doesn't exist. That's a unique position
[00:22:57.200 --> 00:22:59.760]   To be in man. You're a writer. I'm
[00:22:59.760 --> 00:23:04.240]   No, he's no he's an editor. He's an editor even more important
[00:23:04.240 --> 00:23:06.000]   And
[00:23:06.000 --> 00:23:09.680]   That was very few people who can do that and you look at apple and they have to be prepared
[00:23:09.680 --> 00:23:14.560]   You never know what's gonna happen today tomorrow in the future. Um, I remember this is a ludicrous story
[00:23:14.560 --> 00:23:20.720]   But I'm gonna tell it I arrived at the airport and I got in an uber and the the person driving said are you here for the apple event?
[00:23:20.720 --> 00:23:23.920]   And I said yeah, and they said well I used to work for tim cook like really?
[00:23:23.920 --> 00:23:28.240]   Yeah, I reported directly to tim cook for years, but then apple moved manufacturing to china. So
[00:23:28.240 --> 00:23:32.320]   I decided to retire I got bored so now i'm driving an uber
[00:23:32.320 --> 00:23:34.320]   And they proceeded to tell me all these stories
[00:23:34.320 --> 00:23:39.440]   But they're like I remember when steve jobs made tim cook go spend time in marketing and he's like you're gonna run this company one day
[00:23:39.440 --> 00:23:42.160]   You have to spend time in marketing. He's like, I don't want to I like my numbers
[00:23:42.160 --> 00:23:45.520]   He's like no you have to learn the complete business that interesting
[00:23:45.520 --> 00:23:52.640]   Yeah, and I think you see that now like like jeff williams is running apple watch and that means he has to understand apple from a complete product
[00:23:52.640 --> 00:24:00.160]   point of view and he's you know a legitimate successor of apple and angel aran is turning apple store into a product and they're talking about
