
[00:00:00.000 --> 00:00:03.340]   [music playing]
[00:01:55.580 --> 00:01:56.840]   Let me see if I can pull him up.
[00:01:56.840 --> 00:01:59.480]   And we can have somebody from Liverpool representing.
[00:01:59.480 --> 00:02:00.480]   Oh, no, we're good.
[00:02:00.480 --> 00:02:01.680]   Then we'll have the whole thing.
[00:02:01.680 --> 00:02:03.780]   Let me just invite Don to join us.
[00:02:03.780 --> 00:02:07.120]   And then, of course, Chris Breen, who was actually
[00:02:07.120 --> 00:02:08.220]   at the event.
[00:02:08.220 --> 00:02:09.720]   Yeah, I was there.
[00:02:09.720 --> 00:02:11.320]   From Macworld Magazine.
[00:02:11.320 --> 00:02:13.420]   And every time we've had Chris on in the past,
[00:02:13.420 --> 00:02:14.560]   it's been so difficult.
[00:02:14.560 --> 00:02:16.900]   His Skype has dropped out every three minutes
[00:02:16.900 --> 00:02:20.660]   because he lives in the boonies, which is actually
[00:02:20.660 --> 00:02:22.200]   San Francisco Bay Area.
[00:02:22.200 --> 00:02:24.200]   Yeah, it's a beautiful boony.
[00:02:24.300 --> 00:02:25.560]   And then there's Don McAllister.
[00:02:25.560 --> 00:02:26.760]   Hi, Don.
[00:02:26.760 --> 00:02:27.460]   Hi, Leo.
[00:02:27.460 --> 00:02:28.160]   How are you doing?
[00:02:28.160 --> 00:02:31.300]   Last minute, I forgot to tell you we changed the time,
[00:02:31.300 --> 00:02:33.100]   but I think you figured it out.
[00:02:33.100 --> 00:02:34.900]   I sorted it out, no worries.
[00:02:34.900 --> 00:02:36.040]   Thank you so much.
[00:02:36.040 --> 00:02:37.640]   So Don is from Liverpool.
[00:02:37.640 --> 00:02:42.340]   He is the host of ScreenCasts online at screencastonline.com.
[00:02:42.340 --> 00:02:43.440]   Are you in London, Bob?
[00:02:43.440 --> 00:02:44.580]   Where are you?
[00:02:44.580 --> 00:02:45.580]   I'm in London.
[00:02:45.580 --> 00:02:46.680]   I mean, yes, I don't normally live here,
[00:02:46.680 --> 00:02:47.780]   but I'm in my apartment in London.
[00:02:47.780 --> 00:02:48.780]   My flat.
[00:02:48.780 --> 00:02:49.780]   My flat.
[00:02:49.780 --> 00:02:50.280]   My flat.
[00:02:50.280 --> 00:02:51.680]   My flat on London.
[00:02:51.680 --> 00:02:53.720]   And in the boonies is Chris Breen.
[00:02:53.820 --> 00:02:54.880]   And I'm here to it live.
[00:02:54.880 --> 00:02:56.780]   So we're all together again.
[00:02:56.780 --> 00:02:58.680]   So Chris, since you were there,
[00:02:58.680 --> 00:03:01.620]   let's start with your impressions of the event.
[00:03:01.620 --> 00:03:04.160]   I think by now, everybody knows that Apple announced
[00:03:04.160 --> 00:03:05.420]   a new nano.
[00:03:05.420 --> 00:03:07.260]   They updated the iPod touch.
[00:03:07.260 --> 00:03:09.360]   They updated iTunes.
[00:03:09.360 --> 00:03:13.760]   They said they were going to do iPhone 2.1.
[00:03:13.760 --> 00:03:16.800]   They did not announce anything earth shattering other than that.
[00:03:16.800 --> 00:03:18.000]   In fact, everything that they announced
[00:03:18.000 --> 00:03:19.600]   was stuff we'd already expected.
[00:03:19.600 --> 00:03:22.540]   Yeah, I mean, the rumor site's really got it this time.
[00:03:22.640 --> 00:03:25.300]   I think pretty much everything appeared
[00:03:25.300 --> 00:03:26.540]   that people had talked about.
[00:03:26.540 --> 00:03:27.680]   There was some speculation there
[00:03:27.680 --> 00:03:29.340]   might be a subscription service.
[00:03:29.340 --> 00:03:31.340]   But that was a little flaky to begin with.
[00:03:31.340 --> 00:03:32.540]   And it didn't happen.
[00:03:32.540 --> 00:03:33.740]   It didn't happen.
[00:03:33.740 --> 00:03:35.980]   But yeah, I mean, they were already pictures posted online.
[00:03:35.980 --> 00:03:37.940]   Glory, though, they were, which I think maybe
[00:03:37.940 --> 00:03:40.380]   lens of air are authenticity to them.
[00:03:40.380 --> 00:03:42.280]   Kevin Rose was the one I think who've
[00:03:42.280 --> 00:03:43.920]   got the first picture of the nano.
[00:03:43.920 --> 00:03:45.520]   And he got it dead right.
[00:03:45.520 --> 00:03:47.120]   It was the nano.
[00:03:47.120 --> 00:03:48.120]   Yeah.
[00:03:48.120 --> 00:03:49.620]   Somebody stuck a camera in somewhere.
[00:03:49.620 --> 00:03:50.960]   Maybe on an iPhone.
[00:03:51.060 --> 00:03:53.620]   He actually showed me the original document.
[00:03:53.620 --> 00:03:54.120]   Yeah.
[00:03:54.120 --> 00:03:57.120]   And it was an Apple document that somebody had leaked to him.
[00:03:57.120 --> 00:03:57.960]   Yeah.
[00:03:57.960 --> 00:04:00.560]   So if you followed any of that stuff,
[00:04:00.560 --> 00:04:03.260]   you saw what was coming out in Surenna.
[00:04:03.260 --> 00:04:04.200]   There it was.
[00:04:04.200 --> 00:04:06.500]   And we got the pricing on it.
[00:04:06.500 --> 00:04:09.000]   I think what we didn't expect was Steve Jobs to come out and say,
[00:04:09.000 --> 00:04:11.400]   I'm not dead.
[00:04:11.400 --> 00:04:12.400]   And then he couldn't--
[00:04:12.400 --> 00:04:14.240]   And that was sort of dead.
[00:04:14.240 --> 00:04:16.740]   He put the Mark Twain quote up that said
[00:04:16.740 --> 00:04:19.580]   that rumors of my death are greatly exaggerated.
[00:04:19.580 --> 00:04:20.480]   Yeah.
[00:04:20.580 --> 00:04:22.740]   And he spent about one minute on it.
[00:04:22.740 --> 00:04:25.440]   And they did as much as to prepare a slide.
[00:04:25.440 --> 00:04:27.240]   And then he said, and let's move on.
[00:04:27.240 --> 00:04:29.420]   And so that's really just a tough way of saying,
[00:04:29.420 --> 00:04:30.780]   I'm not going to talk about this anymore.
[00:04:30.780 --> 00:04:31.280]   We're done.
[00:04:31.280 --> 00:04:32.720]   How did he look?
[00:04:32.720 --> 00:04:35.220]   He looked like he looked at WWDC.
[00:04:35.220 --> 00:04:37.160]   So he's very thin.
[00:04:37.160 --> 00:04:39.120]   But he was energetic.
[00:04:39.120 --> 00:04:40.960]   And he got through the presentation.
[00:04:40.960 --> 00:04:42.660]   And he didn't look evil.
[00:04:42.660 --> 00:04:43.960]   He just looked really thin.
[00:04:43.960 --> 00:04:45.900]   Yeah.
[00:04:45.900 --> 00:04:47.360]   So there you have it.
[00:04:47.360 --> 00:04:49.000]   Thanks for joining us, everybody.
[00:04:49.000 --> 00:04:50.100]   No.
[00:04:50.200 --> 00:04:54.540]   So across the pond, Bob, did you watch the video?
[00:04:54.540 --> 00:04:57.140]   How did you keep up with what was going on?
[00:04:57.140 --> 00:04:58.840]   I mean, I was checking--
[00:04:58.840 --> 00:05:00.480]   I mean, I was at work most of the day.
[00:05:00.480 --> 00:05:02.480]   And so I kept checking in when I got the chance.
[00:05:02.480 --> 00:05:04.080]   And I was checking Matt rumors.
[00:05:04.080 --> 00:05:05.420]   And I got a sort of update to that.
[00:05:05.420 --> 00:05:07.480]   And I did think--
[00:05:07.480 --> 00:05:08.980]   I always sort of hope that there'll
[00:05:08.980 --> 00:05:11.220]   be some groovy new thing that comes out that I'll go,
[00:05:11.220 --> 00:05:12.520]   whoop, I want one of those.
[00:05:12.520 --> 00:05:15.120]   And I have to be honest, there wasn't really.
[00:05:15.120 --> 00:05:19.360]   I mean, I use my iPhone now as an iPod.
[00:05:19.460 --> 00:05:22.060]   So I don't really have an interest in getting a new iPod.
[00:05:22.060 --> 00:05:24.560]   And there was nothing--
[00:05:24.560 --> 00:05:28.500]   In fact, I've just opened iTunes for the first time,
[00:05:28.500 --> 00:05:29.100]   the new one.
[00:05:29.100 --> 00:05:30.800]   I have downloaded that update.
[00:05:30.800 --> 00:05:33.200]   And I can't see the difference at the moment.
[00:05:33.200 --> 00:05:34.340]   I'm looking at it now.
[00:05:34.340 --> 00:05:36.240]   The biggest difference is this genius thing,
[00:05:36.240 --> 00:05:38.540]   which we're going to talk about in a little bit.
[00:05:38.540 --> 00:05:39.740]   Yes, right.
[00:05:39.740 --> 00:05:41.480]   Because then I will have a quick look at that now.
[00:05:41.480 --> 00:05:43.080]   Because yes, I don't know whether it is yet.
[00:05:43.080 --> 00:05:43.980]   But then, oh, yes.
[00:05:43.980 --> 00:05:44.680]   Oh, I see.
[00:05:44.680 --> 00:05:46.980]   It's all different.
[00:05:46.980 --> 00:05:48.980]   Yes, you see, I've done my research, as you can tell.
[00:05:49.080 --> 00:05:50.380]   [laughter]
[00:05:50.380 --> 00:05:52.080]   Well, I launched it about an hour ago.
[00:05:52.080 --> 00:05:55.480]   It finally did-- yesterday you could go to apple.com
[00:05:55.480 --> 00:05:56.420]   and download it.
[00:05:56.420 --> 00:05:59.020]   And it finally did come across an Apple software update
[00:05:59.020 --> 00:06:01.020]   today.
[00:06:01.020 --> 00:06:02.420]   How about you?
[00:06:02.420 --> 00:06:04.820]   By the way, I was exactly the same thing as you, Robert.
[00:06:04.820 --> 00:06:05.460]   I was at work.
[00:06:05.460 --> 00:06:06.460]   I was in meetings.
[00:06:06.460 --> 00:06:08.460]   It was a little embarrassing because I had my Mac open.
[00:06:08.460 --> 00:06:11.400]   And I was on Gizmodo, which had an auto refreshing page.
[00:06:11.400 --> 00:06:13.400]   I got tired of pressing refresh, refresh.
[00:06:13.400 --> 00:06:16.680]   And so every once in a while, I kind of just casually
[00:06:16.780 --> 00:06:20.240]   glance over and look as if I didn't really care.
[00:06:20.240 --> 00:06:21.640]   And then I glanced back.
[00:06:21.640 --> 00:06:23.480]   I was very interested.
[00:06:23.480 --> 00:06:25.180]   I'm sure not much work gets done when
[00:06:25.180 --> 00:06:26.480]   they do one of these events.
[00:06:26.480 --> 00:06:27.280]   How about you, Don?
[00:06:27.280 --> 00:06:28.920]   How are you following the events?
[00:06:28.920 --> 00:06:31.420]   Yeah, well, I did the typical sort of sitting
[00:06:31.420 --> 00:06:32.320]   in front of a browser.
[00:06:32.320 --> 00:06:34.520]   Well, four or five different browser windows all open,
[00:06:34.520 --> 00:06:36.120]   checking things out.
[00:06:36.120 --> 00:06:37.660]   Maybe the Gizmodo and Engadget.
[00:06:37.660 --> 00:06:39.360]   And I must admit, they did a really good job.
[00:06:39.360 --> 00:06:41.360]   They pretty much kept in step with each other,
[00:06:41.360 --> 00:06:44.200]   although I think the color balance was off on--
[00:06:44.200 --> 00:06:46.500]   I think it was Engadget's coverage.
[00:06:46.600 --> 00:06:49.000]   So it looked as though Steve was wearing a brown turtle neck
[00:06:49.000 --> 00:06:51.940]   instead of a black turt.
[00:06:51.940 --> 00:06:55.040]   You know, I have to say, Gizmodo gets props for their coverage.
[00:06:55.040 --> 00:06:58.300]   Not only do they have an auto refreshing screen,
[00:06:58.300 --> 00:07:01.680]   but Brian Lamb was taking big, beautiful pictures.
[00:07:01.680 --> 00:07:05.180]   They had very, very good images coming back from it.
[00:07:05.180 --> 00:07:08.020]   Yeah, and also he sort of gave a commentary as well,
[00:07:08.020 --> 00:07:09.420]   which was quite humorous at times as well.
[00:07:09.420 --> 00:07:12.120]   So it was good fun to watch the Gizmodo and both.
[00:07:12.120 --> 00:07:13.120]   And a few other sites as well.
[00:07:13.120 --> 00:07:15.220]   But they were the two main ones with the auto refresh.
[00:07:15.220 --> 00:07:16.160]   Yeah.
[00:07:16.260 --> 00:07:19.360]   Did Engadget do auto refresh this time?
[00:07:19.360 --> 00:07:22.200]   Not sure, but at least now the things
[00:07:22.200 --> 00:07:24.600]   appeared at the top of the page, whereas I think
[00:07:24.600 --> 00:07:25.500]   they used to cover--
[00:07:25.500 --> 00:07:26.800]   Yeah, it would lower it all the way down.
[00:07:26.800 --> 00:07:28.000]   --it's scroll right the way down.
[00:07:28.000 --> 00:07:29.000]   It was ridiculous, yeah.
[00:07:29.000 --> 00:07:30.000]   But they've changed that now.
[00:07:30.000 --> 00:07:32.940]   So the new events appeared at the top, which was much easier.
[00:07:32.940 --> 00:07:34.280]   And of course, over here in the UK,
[00:07:34.280 --> 00:07:35.880]   it was sort of tea time for us.
[00:07:35.880 --> 00:07:37.080]   It was 6 o'clock.
[00:07:37.080 --> 00:07:39.480]   So we had a working day to look forward to it.
[00:07:39.480 --> 00:07:41.080]   And then 6 o'clock comes along.
[00:07:41.080 --> 00:07:43.680]   And we down tools and watch it for half an hour.
[00:07:43.680 --> 00:07:44.580]   Well, it was about an hour.
[00:07:44.580 --> 00:07:45.680]   It wasn't in total.
[00:07:45.780 --> 00:07:48.180]   What was your reaction?
[00:07:48.180 --> 00:07:52.520]   Well, it was a good solid presentation.
[00:07:52.520 --> 00:07:53.720]   As you say, no surprises.
[00:07:53.720 --> 00:07:56.720]   A few minus surprises, but nothing really--
[00:07:56.720 --> 00:07:58.120]   the problem is, I think that we're getting--
[00:07:58.120 --> 00:07:59.960]   these rumors are getting so good now
[00:07:59.960 --> 00:08:01.860]   that it is taking some of the fun away from watching
[00:08:01.860 --> 00:08:05.360]   the events, because it really is just sort of rehash
[00:08:05.360 --> 00:08:06.760]   of what we've seen before.
[00:08:06.760 --> 00:08:08.960]   And it seems quite a while since Apple actually
[00:08:08.960 --> 00:08:10.500]   did something that surprised us.
[00:08:10.500 --> 00:08:12.600]   I think the last thing that really sort of blew us away
[00:08:12.600 --> 00:08:14.800]   was when they released the iPhone, which came completely
[00:08:14.900 --> 00:08:16.060]   out of left field.
[00:08:16.060 --> 00:08:19.200]   But I can't think of an event since then where they've really
[00:08:19.200 --> 00:08:20.140]   pulled something out the bag.
[00:08:20.140 --> 00:08:21.800]   And it's mainly due to the accuracy
[00:08:21.800 --> 00:08:23.040]   of a lot of the rumor sites.
[00:08:23.040 --> 00:08:25.740]   Which is surprising, because Apple does such a good job.
[00:08:25.740 --> 00:08:28.280]   Normally, of keeping these guys shut down,
[00:08:28.280 --> 00:08:30.680]   I wonder why all of a sudden they're
[00:08:30.680 --> 00:08:33.680]   better able to get these secrets out.
[00:08:33.680 --> 00:08:35.680]   It always seems to be the iPod side of it, though.
[00:08:35.680 --> 00:08:38.580]   So I don't know if the iPod side is a little bit more
[00:08:38.580 --> 00:08:40.820]   flaky than the rest of the organization down there.
[00:08:40.820 --> 00:08:43.320]   And the document I saw was probably
[00:08:43.420 --> 00:08:44.920]   not leaked by an Apple employee.
[00:08:44.920 --> 00:08:46.420]   It was a document I could say now,
[00:08:46.420 --> 00:08:50.460]   I think, about cleaning dust out of the nano.
[00:08:50.460 --> 00:08:53.560]   And so I imagine that those kinds of training documents
[00:08:53.560 --> 00:08:55.160]   go out to a wide variety of people
[00:08:55.160 --> 00:08:57.660]   who aren't necessarily employed by Apple, which
[00:08:57.660 --> 00:08:59.960]   might be a weakness in all of this.
[00:08:59.960 --> 00:09:00.460]   Yeah.
[00:09:00.460 --> 00:09:02.160]   I noticed Steve picked up in it as well,
[00:09:02.160 --> 00:09:04.400]   because I think at the last-- when they launched the fat
[00:09:04.400 --> 00:09:06.840]   nano, you mentioned it might look familiar to you.
[00:09:06.840 --> 00:09:10.140]   And then yesterday, you also--
[00:09:10.140 --> 00:09:12.440]   suppliers are releasing things before we want them
[00:09:12.540 --> 00:09:13.640]   to or something along those lines.
[00:09:13.640 --> 00:09:14.940]   So it must be getting to them.
[00:09:14.940 --> 00:09:16.080]   I think it's probably quite irritated
[00:09:16.080 --> 00:09:17.740]   about how this stuff is getting out.
[00:09:17.740 --> 00:09:21.080]   Chris, this was kind of, though, a admission
[00:09:21.080 --> 00:09:22.680]   that the fat nano wasn't a success.
[00:09:22.680 --> 00:09:26.920]   I mean, it's only been out for a year, and they're pulling it.
[00:09:26.920 --> 00:09:28.220]   Well, I'm not sure that that's--
[00:09:28.220 --> 00:09:29.720]   I mean, I didn't walk away with that feeling.
[00:09:29.720 --> 00:09:31.860]   I think every September, they have
[00:09:31.860 --> 00:09:34.720]   to come out with a new nano or some kind of new iPod,
[00:09:34.720 --> 00:09:35.820]   because the holidays are coming.
[00:09:35.820 --> 00:09:37.060]   And they can't very well just say, oh,
[00:09:37.060 --> 00:09:38.560]   we'll look at it as new colors.
[00:09:38.560 --> 00:09:41.060]   That's not enough to get people to kind of rush out
[00:09:41.160 --> 00:09:44.560]   and buy their fourth, fifth, and 17 iPod.
[00:09:44.560 --> 00:09:46.660]   In this case, they tarted up the color scheme.
[00:09:46.660 --> 00:09:49.060]   And really, in person, these things are gorgeous.
[00:09:49.060 --> 00:09:51.500]   These really are the prettiest nano I've seen so far.
[00:09:51.500 --> 00:09:53.000]   There's like eight colors, right?
[00:09:53.000 --> 00:09:53.500]   There's a lot.
[00:09:53.500 --> 00:09:56.300]   They're nine colors, if you consider silver and black
[00:09:56.300 --> 00:09:57.540]   to be colors.
[00:09:57.540 --> 00:09:59.440]   But Apple will take paints to tell you
[00:09:59.440 --> 00:10:01.940]   that pink is not in the rainbow.
[00:10:01.940 --> 00:10:04.040]   So this is not a rainbow assortment.
[00:10:04.040 --> 00:10:05.880]   It practically is, and they arranged it red orange,
[00:10:05.880 --> 00:10:08.280]   green, yellow, blue, and to go violet.
[00:10:08.280 --> 00:10:09.280]   Except for pink.
[00:10:09.280 --> 00:10:10.280]   They threw the pink in there.
[00:10:10.380 --> 00:10:11.780]   So it's actually in the proper order.
[00:10:11.780 --> 00:10:13.580]   Well, you don't paint a pink in the rainbow.
[00:10:13.580 --> 00:10:16.880]   And black and silver were at the end.
[00:10:16.880 --> 00:10:18.420]   There's a product red version, which
[00:10:18.420 --> 00:10:21.920]   is Bono's project for AIDS relief.
[00:10:21.920 --> 00:10:23.720]   And so that's nice that they did that.
[00:10:23.720 --> 00:10:25.520]   No white, though.
[00:10:25.520 --> 00:10:26.320]   No.
[00:10:26.320 --> 00:10:27.420]   No.
[00:10:27.420 --> 00:10:29.460]   Because they really--
[00:10:29.460 --> 00:10:31.360]   they talk about these as being very vibrant.
[00:10:31.360 --> 00:10:34.060]   And even the black one, as much as you
[00:10:34.060 --> 00:10:37.200]   can make black vibrant, they did, white--
[00:10:37.200 --> 00:10:39.800]   I don't know how they could more vibrant up
[00:10:39.900 --> 00:10:41.160]   a white iPod.
[00:10:41.160 --> 00:10:42.960]   And so I think they probably did a few caps of it.
[00:10:42.960 --> 00:10:44.360]   And just that's not going to work.
[00:10:44.360 --> 00:10:45.960]   Yeah, I mean, I'm looking on the Apple page.
[00:10:45.960 --> 00:10:48.800]   The purple is very-- it's aggressively purple.
[00:10:48.800 --> 00:10:49.440]   Yeah.
[00:10:49.440 --> 00:10:51.240]   And they all-- and they did the same thing with the shuffles.
[00:10:51.240 --> 00:10:54.140]   They had some extra ink left over and they dipped those.
[00:10:54.140 --> 00:10:56.840]   And they really just leap out at you.
[00:10:56.840 --> 00:10:58.940]   And they're really very, very pretty.
[00:10:58.940 --> 00:11:01.720]   So the horizontal thing is nice that you
[00:11:01.720 --> 00:11:03.680]   can watch Lawrence Morabian in wide screening
[00:11:03.680 --> 00:11:05.180]   without your head exploding.
[00:11:05.180 --> 00:11:07.220]   But it's really a lot of it.
[00:11:07.220 --> 00:11:09.160]   It's just going to be people are going to see these on the shop
[00:11:09.260 --> 00:11:11.020]   and go, oh my god, I've got to get one of these
[00:11:11.020 --> 00:11:12.020]   and throw it in the stocking.
[00:11:12.020 --> 00:11:13.120]   It's pretty.
[00:11:13.120 --> 00:11:13.720]   It's pretty.
[00:11:13.720 --> 00:11:16.860]   Now we were worried when we talked before about the curvature
[00:11:16.860 --> 00:11:18.960]   and glare, because the pictures showed a lot of glare
[00:11:18.960 --> 00:11:19.660]   on the screen.
[00:11:19.660 --> 00:11:21.100]   Have you actually held these and looked at them?
[00:11:21.100 --> 00:11:22.800]   Yeah, yeah, I have.
[00:11:22.800 --> 00:11:24.900]   We got a couple of them into the backhold of the officer
[00:11:24.900 --> 00:11:26.300]   yesterday.
[00:11:26.300 --> 00:11:28.740]   Yeah, it's very watchable.
[00:11:28.740 --> 00:11:30.040]   They're tough to photograph.
[00:11:30.040 --> 00:11:32.040]   And that's why you're seeing so many of these things.
[00:11:32.040 --> 00:11:34.740]   We went into the demo area with our cameras.
[00:11:34.740 --> 00:11:36.380]   And we're trying to take a decent shot of them.
[00:11:36.480 --> 00:11:39.840]   But it's tough because the screen is curved a little bit.
[00:11:39.840 --> 00:11:41.780]   But when you're actually watching it, it's fine.
[00:11:41.780 --> 00:11:47.080]   And the screen size, is it essentially the same size
[00:11:47.080 --> 00:11:48.680]   as the classic?
[00:11:48.680 --> 00:11:49.520]   No, it's not.
[00:11:49.520 --> 00:11:53.460]   It's actually the same size as the Fat Nano.
[00:11:53.460 --> 00:11:55.120]   It's not any bigger?
[00:11:55.120 --> 00:11:56.660]   No, and that's the surprising thing.
[00:11:56.660 --> 00:12:00.060]   When you see it on screen during the presentation,
[00:12:00.060 --> 00:12:01.960]   it seems like, oh, this has got to be bigger.
[00:12:01.960 --> 00:12:04.900]   You know, it's a larger piece of beef jerky than in the past.
[00:12:04.900 --> 00:12:05.900]   But you see it in person.
[00:12:06.000 --> 00:12:08.400]   No, it's exactly the same size as the old Nano.
[00:12:08.400 --> 00:12:10.100]   So it's basically that Nano.
[00:12:10.100 --> 00:12:11.600]   You turn it on that side and that's the screen.
[00:12:11.600 --> 00:12:15.040]   So that's ridiculous.
[00:12:15.040 --> 00:12:18.940]   It's like putting fins on the car.
[00:12:18.940 --> 00:12:20.040]   That's extremely--
[00:12:20.040 --> 00:12:22.340]   Oh, and in nine separate colors.
[00:12:22.340 --> 00:12:23.640]   Go ahead, Don.
[00:12:23.640 --> 00:12:26.480]   Yes, Steve was on a CNN interview after the keynote.
[00:12:26.480 --> 00:12:30.280]   And he actually did come forth with the information
[00:12:30.280 --> 00:12:32.720]   that the Fat Nano hadn't been received that well.
[00:12:32.720 --> 00:12:34.680]   And everybody seemed to prefer the long slender
[00:12:34.780 --> 00:12:36.240]   and the slat-- and I was thinking.
[00:12:36.240 --> 00:12:38.840]   So the only way they could do it was to actually rotate the screen.
[00:12:38.840 --> 00:12:40.540]   So it is the same screen as the Fat Nano,
[00:12:40.540 --> 00:12:44.780]   but just people seem to enjoy the sort of long slender form
[00:12:44.780 --> 00:12:46.380]   rather than the fat chunky form.
[00:12:46.380 --> 00:12:48.180]   I remember when I saw the first pictures,
[00:12:48.180 --> 00:12:51.420]   we thought the Fat Nano leaks were phony
[00:12:51.420 --> 00:12:53.720]   because it was so damn ugly.
[00:12:53.720 --> 00:12:56.800]   We thought they can't possibly be releasing something like this.
[00:12:56.800 --> 00:12:58.160]   Boy, we were wrong.
[00:12:58.160 --> 00:12:59.160]   What do you think, Bob?
[00:12:59.160 --> 00:13:01.160]   What do you think of the new Nano look?
[00:13:01.160 --> 00:13:02.360]   I mean, it is interesting.
[00:13:02.360 --> 00:13:04.060]   My son has the Fat Nano.
[00:13:04.160 --> 00:13:07.220]   And he's now inherited my old--
[00:13:07.220 --> 00:13:09.820]   my original iPod, which has got much more storage.
[00:13:09.820 --> 00:13:11.460]   And he's given me his Fat Nano.
[00:13:11.460 --> 00:13:13.060]   And I think it's really good.
[00:13:13.060 --> 00:13:14.260]   I like it.
[00:13:14.260 --> 00:13:15.760]   I mean, because it's so tiny in that.
[00:13:15.760 --> 00:13:17.060]   I mean, I go running with it.
[00:13:17.060 --> 00:13:18.460]   Not very often, I'd like to say.
[00:13:18.460 --> 00:13:20.060]   Not very far, but I do.
[00:13:20.060 --> 00:13:22.760]   And it's-- you don't even know you've got it with you
[00:13:22.760 --> 00:13:24.660]   because it's so minutely light.
[00:13:24.660 --> 00:13:26.660]   I just tuck it in my shirt, pop it, jog off.
[00:13:26.660 --> 00:13:28.660]   Well, I imagine this will be very similar feeling,
[00:13:28.660 --> 00:13:31.860]   but of course now you have to buy all new accessories
[00:13:31.960 --> 00:13:34.860]   because it's got to fit in any of those cases that you run with.
[00:13:34.860 --> 00:13:35.760]   No, exactly.
[00:13:35.760 --> 00:13:37.760]   No, that is-- I mean, it does-- there
[00:13:37.760 --> 00:13:40.560]   is an element of the new model car,
[00:13:40.560 --> 00:13:43.460]   with slightly bigger fins to it.
[00:13:43.460 --> 00:13:47.160]   Because I think the iPhone just knocked me out when I first
[00:13:47.160 --> 00:13:47.660]   saw that.
[00:13:47.660 --> 00:13:49.560]   And I didn't buy one for a year and a half
[00:13:49.560 --> 00:13:51.060]   and waited for the 3G to come out.
[00:13:51.060 --> 00:13:52.160]   And it is so good.
[00:13:52.160 --> 00:13:54.760]   It is such an extraordinary step technologically
[00:13:54.760 --> 00:13:57.060]   in every way that it operates and how it works.
[00:13:57.060 --> 00:13:59.760]   And the screen, for me, a man my age,
[00:13:59.760 --> 00:14:01.260]   it's big enough to watch something on.
[00:14:01.360 --> 00:14:04.560]   Whereas the screen on this one would be--
[00:14:04.560 --> 00:14:05.360]   I couldn't cope.
[00:14:05.360 --> 00:14:06.560]   It's like watching a stamp.
[00:14:06.560 --> 00:14:10.660]   Don, you and Robert couldn't legally buy an iPhone
[00:14:10.660 --> 00:14:11.960]   until this year.
