;FFMETADATA1
title=One Nil to the Arsenal
artist=Leo Laporte, Alex Lindsay, Andy Ihnatko, Jason Snell
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-11-29
track=846
language=English
genre=Podcast
comment=Musk vs Apple, China, Manchester United
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.720]   It's time for Mac break weekly Jason Snell and Ian Oco Alex Lindsey are all here
[00:02:43.880 --> 00:02:49.560]   I really am WJ you know the age of us, you know, you should wear that suit jacket more
[00:02:49.560 --> 00:02:53.720]   It really makes you look like you're not a totally out of shape blob of love
[00:02:53.720 --> 00:02:59.960]   To be that you could just say oh that suit really looks good. You don't look nearly as heavy
[00:02:59.960 --> 00:03:02.360]   You look you look so presentable
[00:03:02.360 --> 00:03:09.400]   That's it. I people tell me you clean up good. That's the one where I go. Mm-hmm. Okay fine
[00:03:09.400 --> 00:03:12.720]   Okay fine also Jason's and now
[00:03:13.560 --> 00:03:19.560]   Who has his very own fortress of solitude, you know, I there are two cats here. I am not in solitude
[00:03:19.560 --> 00:03:24.520]   I have two cats with me cats in your garage. It's totally not just me
[00:03:24.520 --> 00:03:27.480]   We have a cat now
[00:03:27.480 --> 00:03:34.760]   That whenever we sit and watch TV gets up in front of the TV and doesn't look at the TV like a like
[00:03:34.760 --> 00:03:39.880]   I could make a good video out of it, but no looks at us like why are you watching this? Yep
[00:03:40.520 --> 00:03:44.440]   And then after that for a little while she goes and sits on my head
[00:03:44.440 --> 00:03:49.960]   Which Lisa then posts unmasted on and then my whole life is over
[00:03:49.960 --> 00:03:52.920]   Welcome all three of you speaking of
[00:03:52.920 --> 00:03:56.360]   Twitter where we
[00:03:56.360 --> 00:04:02.280]   Elon has apparently declared war against apple. This should be fun. Get the popcorn kids
[00:04:02.280 --> 00:04:08.520]   I did not know this but apparently apple represents 48%
[00:04:09.480 --> 00:04:15.720]   Of the advertising. Oh, I don't know. It's I don't it's that much but that would be I think it's 48 million
[00:04:15.720 --> 00:04:22.040]   I'm sorry. Maybe I get the 48 wrong. It's not because I think it would be 2.5 billion if it was four that would be really ridiculous
[00:04:22.040 --> 00:04:25.240]   That would be insane, but um, but apple is a big
[00:04:25.240 --> 00:04:31.880]   Big advertiser. I think the biggest am I am I miss yeah, it's the largest largest single advertiser
[00:04:31.880 --> 00:04:34.680]   So so the funny thing is a lot of people have stopped advertising
[00:04:34.680 --> 00:04:38.840]   But but apple is the one that he decided to pick on because it's a really and by the way
[00:04:39.000 --> 00:04:41.000]   I could tell you as a
[00:04:41.000 --> 00:04:46.600]   As supported network myself. I bet you'll agree with me Jason Snell the worst way to get advertisers to come back
[00:04:46.600 --> 00:04:49.000]   Is to whine about them leaving
[00:04:49.000 --> 00:04:51.160]   Right. Yeah, apparently
[00:04:51.160 --> 00:04:58.280]   Uh, there's a strategy at work here where elon actually has gone to a bunch of advertisers and harangued them about dropping their advertising
[00:04:58.280 --> 00:05:01.560]   Or reducing their advertising and you're like, well, why would you make them angry?
[00:05:01.560 --> 00:05:06.440]   But the the other story is that a bunch of other advertisers have decided not to do it right now
[00:05:06.440 --> 00:05:09.960]   Because they don't want to be bugged by elon musk and they're like just
[00:05:09.960 --> 00:05:14.520]   Give him their give him their money and and I don't want to get his phone call
[00:05:14.520 --> 00:05:20.280]   Which is kind of a is that a strategy, but I guess it is also it's not a personal thing
[00:05:20.280 --> 00:05:27.400]   Uh, the verge got got got got a look at uh, got a look at a an email or an advisory from
[00:05:27.400 --> 00:05:30.520]   Uh a group called the omni comm omni comm media group
[00:05:30.520 --> 00:05:34.920]   That uh, they have clients including apple that they advise for for advertising
[00:05:35.000 --> 00:05:39.640]   And they're telling all of its clients to quote pause activity on twitter in the short term unquote
[00:05:39.640 --> 00:05:46.760]   Uh speaking that there's their concern about impersonation layoffs and layoffs safety issues resignations
[00:05:46.760 --> 00:05:53.480]   Of people who are responsible for ftc compliance. So may, I mean, it's if if elon thinks that he's so
[00:05:53.480 --> 00:05:58.680]   The king of the world that this could only be a personal vendetta between apple and elon is opposed to
[00:05:58.680 --> 00:06:02.760]   Hey, I got an email from this company that we trust to keep us out of trouble when we advertise
[00:06:03.320 --> 00:06:07.240]   We are one of the many companies that they told hey, you might want to back off of twitter
[00:06:07.240 --> 00:06:09.640]   We decided hey, that's not that's not gonna hurt
[00:06:09.640 --> 00:06:14.120]   That's not gonna hurt us if we drop their advertising and they did it. Oh, that's all that happened
[00:06:14.120 --> 00:06:16.680]   uh elon uh yesterday
[00:06:16.680 --> 00:06:18.760]   launched a
[00:06:18.760 --> 00:06:20.760]   multiple tweet storm
[00:06:20.760 --> 00:06:26.360]   He said apple has mostly stopped advertising on twitter. Do they hate free speech in america
[00:06:26.360 --> 00:06:29.160]   That's an interesting conflation
[00:06:29.160 --> 00:06:31.880]   Uh, he's gone very much
[00:06:32.920 --> 00:06:37.000]   He said he should might as well just say apple have you stopped beating your wife? Right? Yeah, it's one of those
[00:06:37.000 --> 00:06:41.000]   It really is exactly like a joke. Yeah, uh, he said
[00:06:41.000 --> 00:06:46.920]   Tim what's going on here at tim underscore cook remember phil shiller did
[00:06:46.920 --> 00:06:50.200]   Close his account on twitter
[00:06:50.200 --> 00:06:55.720]   Um, uh, he is responsible for the app store and for that reason elon is also tweeting
[00:06:55.720 --> 00:06:59.480]   apple has also threatened to withhold triddle twitter from its app store
[00:06:59.800 --> 00:07:04.360]   But won't tell us why these all came within minutes of each other on twitter yesterday
[00:07:04.360 --> 00:07:08.920]   Um, so it's it's like you're declaring war right it's but apple
[00:07:08.920 --> 00:07:11.320]   quite reasonably
[00:07:11.320 --> 00:07:15.080]   Being a almost two trillion dollar company just ignore just whatever
[00:07:15.080 --> 00:07:22.840]   That's all you do something down there. Something's kicking my shin. I don't know what it is like. It's just but it's only it's only a little irritating
[00:07:22.840 --> 00:07:26.520]   I might you know, I got too many other things to think about
[00:07:27.160 --> 00:07:34.040]   No, it's it's yeah, exactly. No, it's when you when there's someone a neighbor on your block or a co-worker in your in your neighborhood
[00:07:34.040 --> 00:07:41.800]   Is just being an irrational crazy idiot making making allegations that you know that almost nobody is going to put any stock in
[00:07:41.800 --> 00:07:47.560]   Why would you want to join why would you want to jump in and mud wrestle with that idiot and now we are
[00:07:47.560 --> 00:07:53.080]   I'm just I'm just baffled that someone who well, I could tell you why so much money
[00:07:53.720 --> 00:07:58.360]   Without without without investing in some sort of a pyramid scheme and losing it all I could tell you why
[00:07:58.360 --> 00:08:01.000]   Elon thinks apples just like him
[00:08:01.000 --> 00:08:05.160]   And he would never let such a thing stand right
[00:08:05.160 --> 00:08:13.080]   And so he just assumes that apple somehow is going to tim cook is going to be like him and tweet back which would be very good for uh, not a professional, right?
[00:08:13.080 --> 00:08:14.520]   Yeah
[00:08:14.520 --> 00:08:18.680]   You're right. It's 48 million dollars according to the washington post in the last quarter
[00:08:18.680 --> 00:08:22.280]   In the last quarter the top advertiser
[00:08:22.920 --> 00:08:31.160]   On twitter. I'm sorry the first quarter of the year. So multiply that times four is a not a significant amount of money. I mean
[00:08:31.160 --> 00:08:36.280]   It's not billions four percent of twiver twitters revenue and q1
[00:08:36.280 --> 00:08:45.480]   Yeah, I mean, I think the the other issue is I think a lot of times people get really successful because they did the right thing at the right time
[00:08:45.480 --> 00:08:47.480]   And then they map
[00:08:47.480 --> 00:08:50.200]   Their success onto that they do the right thing all the time
[00:08:51.160 --> 00:08:55.880]   And so so they get there in this kind of I think he thinks that what he does because he had these big companies
[00:08:55.880 --> 00:08:58.440]   He picked the right time to do a lot of great things
[00:08:58.440 --> 00:09:02.440]   Um that the that the world was waiting for and he's become very wealthy doing that
[00:09:02.440 --> 00:09:06.200]   But I think he's equating that to his other decisions are smart too
[00:09:06.200 --> 00:09:09.720]   And that you know and I think that that he just you know
[00:09:09.720 --> 00:09:14.680]   So of course he's he's looking at it through that lens and I think it's a hard lens to look through because um, you know
[00:09:14.680 --> 00:09:15.800]   He's gonna
[00:09:15.800 --> 00:09:20.840]   Somebody somebody got to him because he's pulled down a lot of these he uh tweeted a meme
[00:09:21.400 --> 00:09:24.760]   That he wants to go to war with apple, which is I can't show you because it's now gone
[00:09:24.760 --> 00:09:27.400]   Well, he took a picture of a gun
[00:09:27.400 --> 00:09:32.360]   Like well, he showed his between this was very weird his bedside table
[00:09:32.360 --> 00:09:35.080]   Which had firearms and four
[00:09:35.080 --> 00:09:40.280]   Consumed diet cokes. We said someone said you can't you can't have the ceo
[00:09:40.280 --> 00:09:42.680]   Taking pictures of guns and coke. That's
[00:09:42.680 --> 00:09:45.880]   Oh, I get a guns and coke. I get it
[00:09:46.680 --> 00:09:49.960]   Lawyer his guns and money. He's doing a warren zvon thing maybe
[00:09:49.960 --> 00:09:53.960]   I don't know um anyway. He also tweeted. Do you know
[00:09:53.960 --> 00:09:59.320]   apple puts a secret 30 tax and everything you buy through their app store
[00:09:59.320 --> 00:10:02.280]   The response was like
[00:10:02.280 --> 00:10:09.000]   The response to it was so funny because people were posting like steve jobs literally put this into a presentation
[00:10:09.000 --> 00:10:11.080]   Here's the slide
[00:10:11.080 --> 00:10:13.240]   You know so
[00:10:14.120 --> 00:10:17.480]   What he's probably referring to I would guess apple as you remember
[00:10:17.480 --> 00:10:26.120]   Uh took parlor off its app store because they didn't have adequate content moderation parlor responded and it came back
[00:10:26.120 --> 00:10:28.120]   I presume
[00:10:28.120 --> 00:10:29.560]   That's what
[00:10:29.560 --> 00:10:31.800]   By the way apple has done nothing publicly
[00:10:31.800 --> 00:10:34.520]   But maybe he got a secret message
[00:10:34.520 --> 00:10:39.880]   From tim cook saying hey, you know if you don't get the content moderation under control. We're gonna have to yank you
[00:10:40.040 --> 00:10:44.920]   I don't know or maybe he's making it up at this point. No one knows what the hell he learned is going on in that
[00:10:44.920 --> 00:10:50.680]   He probably he was like why are we only getting five dollars and fifty cents for every person upgrading they're like well
[00:10:50.680 --> 00:10:53.000]   There's a there's a third e person tax
[00:10:53.000 --> 00:11:00.280]   So, but well, but he chose that because he chose to make the blue check only available on ios
[00:11:00.280 --> 00:11:05.720]   Because I think he didn't I don't know if he fully understood what that would mean. No, he no come on. He's not that is he that's
[00:11:05.720 --> 00:11:08.760]   Or or he or he simply just
[00:11:09.400 --> 00:11:13.400]   Or he simply didn't have this company simply does not have the resources anymore
[00:11:13.400 --> 00:11:16.440]   To make that rollout system wide on the same day
[00:11:16.440 --> 00:11:22.120]   Given the with the with the staff that they have left over and on the timeline that he's demanding said we can do it in the app
[00:11:22.120 --> 00:11:25.640]   Uh the iOS app you line. He said okay do it. That's exactly what happened
[00:11:25.640 --> 00:11:30.840]   Yeah, and maybe he didn't think about the 30 percent. Maybe he's looking in at the at the check showed up
[00:11:30.840 --> 00:11:33.400]   And he's like this calculation with this much money
[00:11:33.400 --> 00:11:35.720]   What happened more
[00:11:37.320 --> 00:11:42.600]   He's like that 15 year old the fruit gets us first gets us first check from from target say wait a minute
[00:11:42.600 --> 00:11:44.600]   What is feichen? Why do they
[00:11:44.600 --> 00:11:52.600]   20% of my money exactly that's exactly it. So, I don't I really uh, you know, uh, you know, obviously
[00:11:52.600 --> 00:11:57.160]   spoken more than enough about elan twitter, but it is an apple story now because
[00:11:57.160 --> 00:12:02.600]   You know, I mean of all the silly things he's done declaring war and apple is one of the silliest
[00:12:03.080 --> 00:12:08.760]   If apple were to take well, I don't know there are plenty of third-party twitter apps on the app store
[00:12:08.760 --> 00:12:10.840]   Would they all would they all go to?
[00:12:10.840 --> 00:12:15.160]   Yeah, there are a lot of deck chairs in the Titanic. Let's fill them all
[00:12:15.160 --> 00:12:20.680]   I mean, I don't I don't know. I don't know. I don't know
[00:12:20.680 --> 00:12:24.280]   I don't know plus you can still do it on the web regardless, right?
[00:12:24.280 --> 00:12:28.600]   You can even make it a you know put it on your home screen as a twitter app. I don't
[00:12:29.400 --> 00:12:32.840]   I don't I think this I think his issue is I think his really big issue is that he
[00:12:32.840 --> 00:12:38.120]   He wants to turn this into a marketplace for for a variety of different bitcoin-like things
[00:12:38.120 --> 00:12:42.200]   You know, he wants blockchain and he's and he suddenly realized because he said this
[00:12:42.200 --> 00:12:48.280]   I mean there's some quote of him talking about the fact that he thinks that twitter can make more money on blockchain than they will
[00:12:48.280 --> 00:12:55.240]   With advertising the province then he suddenly realized after this little this little thing that apple's gonna get 30% of whatever that more money is
[00:12:55.240 --> 00:12:57.960]   And um now he's upset
[00:12:57.960 --> 00:13:00.120]   Kind of has a point. I mean apple does
[00:13:00.120 --> 00:13:05.800]   Take their their big out of every single thing and not always 30% sometimes 15
[00:13:05.800 --> 00:13:08.440]   on subscriptions and stuff
[00:13:08.440 --> 00:13:10.840]   And they also seem to enforce it
[00:13:10.840 --> 00:13:14.920]   A little haphazardly amazon. I think has a as a pass
[00:13:14.920 --> 00:13:22.440]   Not not to lose money. So I you know, I just don't I I don't want to take his side in this but I do think
[00:13:23.160 --> 00:13:27.480]   He probably sees a soft spot and he likes to poke at soft spots for sure
[00:13:27.480 --> 00:13:31.560]   Problem is he's making so many enemies so quickly. Yeah, if he pokes at that soft spot
[00:13:31.560 --> 00:13:33.560]   It might actually make it a hard spot
[00:13:33.560 --> 00:13:39.960]   You know, he may be taking it exactly the opposite direction that epic would like him to take it because if he started
[00:13:39.960 --> 00:13:47.880]   You know sometimes you don't want certain allies, you know going it also says he also tweeted apple should publish all censorship actions
[00:13:48.360 --> 00:13:53.160]   It has taken that affects its customers. It's true apple is kind of a nanny state. I mean
[00:13:53.160 --> 00:14:02.200]   Has the time come where they don't have to stop us from seeing nipples or I mean that was Steve jobs idea
[00:14:02.200 --> 00:14:05.480]   I guess do people do people
[00:14:05.480 --> 00:14:08.520]   For that that it's that don't contents are defined
[00:14:08.520 --> 00:14:12.600]   I think they are argument that they have is that it's not it's not really slowing down their business
[00:14:12.600 --> 00:14:14.360]   Why would they change that like why would you take it?
[00:14:14.360 --> 00:14:17.880]   Yeah, you take the risk of making people upset when you're doing just fine without it like there's no
[00:14:17.880 --> 00:14:23.720]   There's just no upside and for those who want to see things there's plenty of ways to see plenty of places twitter though
[00:14:23.720 --> 00:14:26.760]   Is I mean notoriously laden with pornography in fact?
[00:14:26.760 --> 00:14:33.240]   It's a problem because over the weekend when chinese protests were going on the chinese
[00:14:33.240 --> 00:14:38.520]   propaganda machine spun up and managed to effectively
[00:14:38.520 --> 00:14:43.480]   DDoS all the cities and hashtags by putting porn
[00:14:44.120 --> 00:14:48.280]   On all of them. So if you were to search for you know a hashtag about the chinese protests
[00:14:48.280 --> 00:14:56.040]   You would find at least half of your content would be pornography. That was it's presumed to put up there by uh chinese authorities who wanted to
[00:14:56.040 --> 00:15:00.200]   You know, yeah, flood the flood the field with with garbage
[00:15:00.200 --> 00:15:05.400]   Elon tweeted this is a battle for the future of civilizations. Oh, please
[00:15:05.400 --> 00:15:11.160]   If free speech is lost even in america tyranny is all that lies ahead
[00:15:12.120 --> 00:15:15.240]   I think and it was right after the apple thing. So i'm thinking change
[00:15:15.240 --> 00:15:19.480]   It's right after you're gonna change twitter to red white and blue like we have to get this like, you know
[00:15:19.480 --> 00:15:23.480]   Like this has got to be a there's got to be like a flag somewhere in this thing
[00:15:23.480 --> 00:15:31.080]   Honestly, what how much is how much damage is being suffered by himself himself as a brand and as a as a respected
[00:15:31.080 --> 00:15:38.120]   however much respect he had I have to say that really it wasn't my respect for elan musk was
[00:15:38.920 --> 00:15:40.920]   at a very very
[00:15:40.920 --> 00:15:45.480]   moderate level because I do believe that he's very good at putting money in where
[00:15:45.480 --> 00:15:49.400]   To companies at a point where companies could really use an influx of money
[00:15:49.400 --> 00:15:54.840]   And I think that he's taking a he takes a lot of credit for steering companies to greatness or having the great ideas that
[00:15:54.840 --> 00:15:57.640]   That really take this thing into into space literally
[00:15:57.640 --> 00:16:04.760]   But now we're seeing if he has this much time a seo has this much time on their hands to spend this much time
[00:16:05.320 --> 00:16:07.320]   preventing beefs that person
[00:16:07.320 --> 00:16:13.400]   Everyone who was invested in these companies anybody works for these companies anyone on the boards of these companies needs to ask themselves
[00:16:13.400 --> 00:16:16.440]   What could they be doing that would actually be working to help the company?
[00:16:16.440 --> 00:16:23.800]   Well, he is being sued by shareholders of tesla over his 56 billion dollar a year compensation package
[00:16:23.800 --> 00:16:28.120]   And I think that this is part of the ammunition is elan you tweeting all this stuff
[00:16:28.120 --> 00:16:30.600]   Are you are you paying any attention to anything else?
[00:16:31.720 --> 00:16:35.480]   Anyway, this isn't the elan musk show kernel kurt is gone up river
[00:16:35.480 --> 00:16:40.200]   Thank you on us for making giving us an apple angle so that we could
[00:16:40.200 --> 00:16:46.440]   Story again looking looking forward to that elan phone that you suddenly decided you're gonna move on
[00:16:46.440 --> 00:16:52.520]   But I do think that in some ways that's his it was less just like Donald trump like he doesn't really care
[00:16:52.520 --> 00:16:59.080]   Uh if it's animosity, he just wants to get the attention right and so I think this is all attention getting
[00:16:59.080 --> 00:17:01.880]   I mean that seems like a two-year-old but that's but kind of
[00:17:01.880 --> 00:17:06.360]   But the difference is that trump doesn't have a source of income other than his personal brand
[00:17:06.360 --> 00:17:08.120]   That's a good point. Oh, very good point
[00:17:08.120 --> 00:17:13.800]   He needs people to donate he needs he needs his reputation to do business deals that certainly are probably not going to work out
[00:17:13.800 --> 00:17:18.280]   Well, but that's what he's got so it really isn't his best interest to do this sort of thing elan musk at the
[00:17:18.280 --> 00:17:21.320]   But at the end of the day he needs people to build cars for him
[00:17:21.320 --> 00:17:23.480]   He needs people to build rocket motors for him. He needs
[00:17:24.120 --> 00:17:29.960]   He needs customers to buy those cars and to buy those rocket motors none of this is helping any of his businesses
[00:17:29.960 --> 00:17:34.360]   Jean Munster said elan is the latest chapter in a push to make app store fees lower
[00:17:34.360 --> 00:17:39.560]   And this will resurrect a topic that's been fairly quiet over the past six months friend to the working man
[00:17:39.560 --> 00:17:47.480]   Yeah, he's he's looking for something to grab onto because he's just flinging mud at this point because I think in the bottom line is that
[00:17:47.480 --> 00:17:49.720]   He's angry about apple
[00:17:49.720 --> 00:17:53.880]   Uh and the advertising part of it because it's a large amount of their revenue and maybe he's
[00:17:54.040 --> 00:17:59.160]   Looking at this everything app idea and realizing that apples rules will stay have their finger in that file
[00:17:59.160 --> 00:18:04.040]   Yeah, but you know, he's flailing and that's just and I agree. I
[00:18:04.040 --> 00:18:07.560]   Looking at his other businesses. I mean the fact is space X has
[00:18:07.560 --> 00:18:16.440]   Revolutionized access to space it really has and tesla is probably single-handedly responsible for driving the rest of the car industry toward electric
[00:18:16.440 --> 00:18:20.600]   Much faster than they would have otherwise. However, you you got to look at it now and think
[00:18:21.080 --> 00:18:25.000]   Uh, and there have been some reports from people who've worked at those companies who've said, you know, basically
[00:18:25.000 --> 00:18:29.480]   They built the whole structure to channel elan's interests in very particular ways
[00:18:29.480 --> 00:18:31.960]   And so that he felt like
[00:18:31.960 --> 00:18:38.520]   enthusiastic and fulfilled in what he was doing while behind the scenes everybody else was basically managing up way up
[00:18:38.520 --> 00:18:46.120]   And getting the actual details done around him and the problem with twitter is that uh, that doesn't that's
[00:18:46.120 --> 00:18:51.400]   Nobody there to do this. He's just rattling around inside a big empty building and this is what you get. Yeah
[00:18:51.400 --> 00:18:54.040]   Uh, here's kim.com
[00:18:54.040 --> 00:18:58.040]   Joining in think different and you will be deleted
[00:18:58.040 --> 00:19:01.480]   Uh, who else but tim swiney of epic games?
[00:19:01.480 --> 00:19:05.080]   He jumped right a piled on dog pile on apple
[00:19:05.080 --> 00:19:07.640]   uh, uh swiney, uh
[00:19:07.640 --> 00:19:14.200]   Said apple blocked fort right in response to elan apple blocked fortnight within a few hours of epic defying their policy
[00:19:14.440 --> 00:19:21.160]   With a nuke twitter spotify facebook netflix at what point does the whole rotten structure collapse?
[00:19:21.160 --> 00:19:23.720]   Tim you lost your lawsuit just go away
[00:19:23.720 --> 00:19:29.080]   Just just go away. It was a it was a good try. It made sense. You failed didn't work out the way you want to do that
[00:19:29.080 --> 00:19:31.160]   This is actually okay last thing
[00:19:31.160 --> 00:19:32.760]   And profits
[00:19:32.760 --> 00:19:36.600]   This is though exactly what uh elan has been doing all along which was
[00:19:36.600 --> 00:19:44.040]   In effect dividing a wedge saying things that w there's one group that's going to go. Yeah elan and another group go
[00:19:45.000 --> 00:19:49.720]   And uh, and I think that that's elan's overall strategy
[00:19:49.720 --> 00:19:57.800]   Uh, is to and that's what twitter frankly. That's how twitter made it for so long. Yeah is is generating that kind of outrage
[00:19:57.800 --> 00:19:59.480]   so
[00:19:59.480 --> 00:20:02.440]   Maybe he's just following the jet or playbook
[00:20:02.440 --> 00:20:07.160]   I think it's a great engagement strategy and more people are talking about right twitter and what's on twitter
[00:20:07.160 --> 00:20:09.640]   Then certainly since trump was removed from the platform
[00:20:09.720 --> 00:20:14.840]   But I don't see how it's a business model is the problem like if there is a theory out there
[00:20:14.840 --> 00:20:16.920]   And I think it's true. He didn't want to buy them
[00:20:16.920 --> 00:20:21.640]   He kind of got forced into buy them and he has a lot of people whispering her into his ears about
[00:20:21.640 --> 00:20:27.240]   free speech and restoring all the people who got banned because they were you know transphobic or racist or whatever
[00:20:27.240 --> 00:20:33.480]   And you know saying no no it's good because free speech and that's all true. But like what is the business plan?
[00:20:33.480 --> 00:20:36.040]   What is the business model here? I don't think he ever had one
[00:20:36.360 --> 00:20:42.200]   I think that maybe he figured he could just kind of slide in and make some pronouncements and use his mitas touch
[00:20:42.200 --> 00:20:47.480]   And it would all work out and that didn't happen and so like I don't know what the end game is here
[00:20:47.480 --> 00:20:51.960]   It has he finally just embraced the fact that it's all about just trolling and engagement
[00:20:51.960 --> 00:20:57.880]   And he's not really worried about it because he's got several dozen other billions in the bank that aren't related to the billions
[00:20:57.880 --> 00:21:01.480]   He spent on twitter. I don't know he did lose a hundred billion dollars this year
[00:21:01.480 --> 00:21:05.400]   Which is it's amazing. Anybody had enough money to lose a hundred billion dollars and still remain
[00:21:05.800 --> 00:21:09.320]   Yeah, hate to see it in the richest list uh apple
[00:21:09.320 --> 00:21:15.000]   You know way pre-responded tim cookin interview with cbs this morning earlier this month
[00:21:15.000 --> 00:21:20.120]   Uh was asked whether there was a risk twitter could be removed from the app store but before all of this
[00:21:20.120 --> 00:21:28.200]   He said twitter would be continued to be distributed according to the new york times and praised its commitment to moderate abusive to moderate abusive content
[00:21:28.200 --> 00:21:31.320]   Quote, I don't think anyone wants hate speech on their platform
[00:21:31.400 --> 00:21:35.720]   So I'm counting on them to continue to do that very moderate mr. Cook
[00:21:35.720 --> 00:21:38.600]   the final tweet
[00:21:38.600 --> 00:21:44.360]   I certain this is for me line. I certainly hope it does not come to that but yes if there is no other choice
[00:21:44.360 --> 00:21:47.000]   I will make an alternative phone
[00:21:47.000 --> 00:21:53.000]   That's worked out for so many people bravo bravo jeevan jesica jeff bezos couldn't even do it
[00:21:53.000 --> 00:21:58.680]   But bravo man just go go to tai i'm going to take on apple build a better iphone
[00:21:58.760 --> 00:22:03.080]   So they're build a better better operating system. I'm sure that'll oh that's easy
[00:22:03.080 --> 00:22:08.920]   I keep kind of know that this absurd and this is just uh just to stir up the pot
[00:22:08.920 --> 00:22:13.720]   Scott. I that's all I can think of it. I'm all i'm all i'm saying is that every single week
[00:22:13.720 --> 00:22:15.000]   I
[00:22:15.000 --> 00:22:21.720]   I stray farther and further and further away from the conclusion that oh he's just a quirky guy who's not used to push back
[00:22:21.720 --> 00:22:24.760]   And he's he's oh he's an open my open mouth in an open spirit
[00:22:25.080 --> 00:22:31.080]   I am now I am now starting to think that maybe he really does have some delusions here that are going
[00:22:31.080 --> 00:22:34.120]   That's going to get a lot worse for it gets better. He's i'm just i'm just
[00:22:34.120 --> 00:22:35.880]   I'm just a little like a little like a little like a little like a little like a
[00:22:35.880 --> 00:22:39.240]   That what you're saying he's going he's going a little bit. Yeah a little bit. Yeah
[00:22:39.240 --> 00:22:42.840]   That's sad only without the musical talent
[00:22:42.840 --> 00:22:45.000]   Yeah
[00:22:45.000 --> 00:22:46.360]   um
[00:22:46.360 --> 00:22:51.640]   China china is the big story to some degree uh and apple's getting quite a bit of heat
[00:22:52.520 --> 00:22:58.520]   Uh, I'm wondering well, let's take a break and then we'll come back and i'm wondering what you think i'm going to give you time to to ponder
[00:22:58.520 --> 00:23:08.200]   Uh about apple's pushing 16.1.1 on the iphone with a special feature just for chinese made iphones that turns
[00:23:08.200 --> 00:23:14.280]   Airdrop off airdrop to everyone off after 10 minutes right before
[00:23:14.280 --> 00:23:17.480]   These big chinese protests
[00:23:18.760 --> 00:23:22.520]   It says is it a smoking gun or is it a coincidence but first
[00:23:22.520 --> 00:23:27.400]   I feel like I feel like
