;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[00:10:04.360 --> 00:10:08.600]   Yeah, and so I did I got anything over 30 minutes. You'll notice no difference
[00:10:08.600 --> 00:10:14.080]   Yeah, like at 30 minutes the M the Mac mini will keep going because like it'll keep peak frequency because it's cooling
[00:10:14.080 --> 00:10:16.680]   It's just it's not much more voluminous and that much better cooling, right?
[00:10:16.680 --> 00:10:20.480]   But after like like are you doing anything that's gonna take peak load for 30 minutes?
[00:10:20.480 --> 00:10:26.880]   It is possible. I guess they could put do you know Bloomberg saying them besides 32 GPUs
[00:10:26.880 --> 00:10:32.600]   They will have more RAM and they might even put in two
[00:10:32.600 --> 00:10:35.800]   chips or dual core in other words
[00:10:36.520 --> 00:10:41.320]   So that would be another way that you could beef this up without getting a new generation chip in there
[00:10:41.320 --> 00:10:47.200]   It would also be a way you could add more thunderboard thunderbird thunderbolt ports
[00:10:47.200 --> 00:10:51.440]   That big flame decal
[00:10:51.440 --> 00:10:54.520]   It kind of is a bet didn't they?
[00:10:54.520 --> 00:11:00.440]   Chips all this is a report from somewhere I don't know
[00:11:00.440 --> 00:11:04.720]   I'm I guess german, but
[00:11:05.680 --> 00:11:09.320]   Apple ready's Mac book pro. This is back in May though. That's the problem
[00:11:09.320 --> 00:11:16.400]   And Mac bear revamps so I don't know this may all be it's pretty clear that they must have been
[00:11:16.400 --> 00:11:21.640]   Making it although supply chain rumors now say they're gonna start making it in a month or two
[00:11:21.640 --> 00:11:23.840]   Yeah
[00:11:23.840 --> 00:11:30.120]   Maybe because he did a bunch of reports that he's pushed back in time and it's hard to tell up because like when when anybody writes
[00:11:30.120 --> 00:11:33.520]   About something they're writing about the echoes of decisions Apple made months ago that yeah
[00:11:33.520 --> 00:11:37.320]   And it's hard to tell it's imminent but like you did a watch report yesterday on the same stuff
[00:11:37.320 --> 00:11:40.080]   You reported on three months ago, but said it's next year instead of this year
[00:11:40.080 --> 00:11:43.480]   Yeah, and this is the same sort of like the the next Mac book air
[00:11:43.480 --> 00:11:48.680]   It's gonna be a redesign with them too, but when does that come out the end of this year beginning of next year that stuff's all malleable
[00:11:48.680 --> 00:11:53.520]   Apple's current M1 max use an Intel component the USB re timer
[00:11:53.520 --> 00:12:00.600]   That could be one of the many little chips that are in short supply that could be holding this up to I would do you think it's a chip shortage?
[00:12:00.600 --> 00:12:02.600]   That's really the issue
[00:12:02.920 --> 00:12:07.640]   Because I know they have all the M1's they know yeah, yeah, yeah trailing edge node stuff
[00:12:07.640 --> 00:12:10.320]   That's like not forget five nanometer. That's like ninety nanometer
[00:12:10.320 --> 00:12:17.000]   Right, that's all the old you know battleship chips that they put into do every other thing that Apple's not doing and those are in in hard supply
[00:12:17.000 --> 00:12:21.180]   Yeah, what one of the when the problems there is that that's the the
[00:12:21.180 --> 00:12:25.360]   Though the workhorse chips that use the old-fashioned fab technology
[00:12:25.360 --> 00:12:27.920]   It's not very those machines aren't very profitable
[00:12:27.920 --> 00:12:33.080]   So when chip fabs get an opportunity to make more use of their factory floor space
[00:12:33.080 --> 00:12:37.520]   They tend to like shut that stuff out and sell those that machinery off to other makers
[00:12:37.520 --> 00:12:41.000]   And so rather instead of this instead of the technology for manufacturing
[00:12:41.000 --> 00:12:45.280]   I stuff becoming more accessible and more prevalent it that doesn't necessarily scale
[00:12:45.280 --> 00:12:51.020]   Year to year to year because again, you're you're not you're making now you're making chips for microwave ovens
[00:12:51.020 --> 00:12:54.400]   Not making the chips for for for for back ends of TVs
[00:12:54.520 --> 00:12:58.860]   So yeah, they're the chip shortage effects a much much broader pipeline than you think
[00:12:58.860 --> 00:13:05.240]   So there's there's the with a heavy heart portion of the show
[00:13:05.240 --> 00:13:11.840]   No new hardware oh man though. Oh, you they were so angry who?
[00:13:11.840 --> 00:13:18.920]   That we didn't get them out like there were some people who watched WWC and they felt like they'd been promised new MacBook Pro
[00:13:18.920 --> 00:13:22.120]   Yeah, and they also felt that because Apple put an M1 chip in the iPad
[00:13:22.120 --> 00:13:26.480]   They were being promised Mac OS on the iPad and Apple broke that promise to them
[00:13:26.480 --> 00:13:32.720]   And so there were those two those two harpoons of anger just coursing through a very small percentage of nerd souls all weekend
[00:13:32.720 --> 00:13:35.760]   small percentage because
[00:13:35.760 --> 00:13:42.880]   Every reasonable person knows in fact German has now started putting it as a disclaimer in a lot of his articles that the timeline may vary
[00:13:42.880 --> 00:13:48.480]   You know that you can you can just as you say you can tell people what Apple's working on
[00:13:48.480 --> 00:13:52.240]   But there's no way of knowing what apples you're not a treasure biggest
[00:13:52.240 --> 00:13:53.120]   Yeah, yeah
[00:13:53.120 --> 00:13:59.360]   That this is why at least until the end of the year if there's a piece of technology that you're considering buying and
[00:13:59.360 --> 00:14:04.880]   The seller gives you like a really generous return policy like Apple does just pre-order it
[00:14:04.880 --> 00:14:10.680]   Just pre-order it to get your first door to get that part of that first shipment in and if you don't like it return it
[00:14:10.680 --> 00:14:12.680]   Or if you decide that okay, this isn't really the right time
[00:14:12.680 --> 00:14:17.520]   Return it because it's possible that if you need something in November or December
[00:14:17.520 --> 00:14:21.000]   You're just not gonna be able to get your hands on it even if it's been out for three four months, okay
[00:14:21.000 --> 00:14:26.560]   So we're phenomena with like I don't know just say like nerds in general
[00:14:26.560 --> 00:14:31.240]   But there are some people who they are desperately angry that Apple doesn't put out something when they're ready to buy
[00:14:31.240 --> 00:14:35.240]   And then the moment they buy it if Apple announces a new version they get even angrier
[00:14:35.240 --> 00:14:39.920]   Like they want stuff to only be available and they want to buy it and they don't want Apple to ever put out anything new because that
[00:14:39.920 --> 00:14:46.840]   invalidates what they bought and like the advice I keep giving is just wait as long as you possibly can before you buy by when you
[00:14:46.840 --> 00:14:53.760]   Absolutely need to buy get the best thing you can buy and then just enjoy the stuffing out of it because it will always be something next
[00:14:53.760 --> 00:15:00.200]   So you can't you can't do this mental warfare on yourself. Yeah, I'll also try to do the math on what your how much you're how much
[00:15:00.200 --> 00:15:06.480]   I benefited from having this M1 M1 MacBook for the past what now seven eight nine months
[00:15:06.480 --> 00:15:11.560]   Versus what I would have had to what I would have had to put up with if I had if I had to now wait a year
[00:15:11.560 --> 00:15:12.760]   for a MacBook Pro
[00:15:12.760 --> 00:15:19.840]   I mean I I would have bet money on Apple at least announcing and a new evolutions new evolutions of M1 based MacBooks
[00:15:19.840 --> 00:15:25.800]   Excuse me Apple silicon based Macintosh is at WWDC. I was absolutely prepared to be oh gosh
[00:15:25.800 --> 00:15:29.560]   I could have had an SD card slot on my MacBook if I had waited until June
[00:15:29.560 --> 00:15:35.760]   But that but then you you would have waited and now you're gonna be you would have been waiting another what now three probably
[00:15:35.760 --> 00:15:38.960]   That's probably a topic for a later part in the show
[00:15:38.960 --> 00:15:44.960]   But at some point at least a couple of months later Apple's gonna announce this thing and they're probably gonna ship it even later than that
[00:15:44.960 --> 00:15:50.680]   Yeah, that's you know, so good everybody relax is fine. You're gonna get great stuff
[00:15:50.680 --> 00:15:56.840]   There's three really nice m1s out there right now. They're a good choice
[00:15:56.840 --> 00:16:02.640]   Leo knows whenever he buys a new version comes out something that's inevitable
[00:16:02.640 --> 00:16:05.280]   and and I guess
[00:16:05.280 --> 00:16:07.600]   Fall right at this point
[00:16:08.480 --> 00:16:14.060]   Before anything any new hardware. I mean traditionally it's October like traditionally October is the big Mac event
[00:16:14.060 --> 00:16:15.520]   September's phone
[00:16:15.520 --> 00:16:22.120]   October's these year. Yeah, but they did so they did phones in October and Macs in November last year because the world is you know
[00:16:22.120 --> 00:16:27.120]   Upside down right now. It's not possible because I was short as little events chip shortages are real
[00:16:27.120 --> 00:16:28.240]   They can also do it anytime
[00:16:28.240 --> 00:16:31.900]   Yeah, they could decide like it's July and we want to make another episode of the Apple event series
[00:16:31.900 --> 00:16:38.160]   The only compelling argument for that is people do make laptop purchases or at least plan for laptop purchases
[00:16:38.360 --> 00:16:39.340]   for
[00:16:39.340 --> 00:16:44.440]   Fall semesters for students right about now. You don't want to wait too long for them
[00:16:44.440 --> 00:16:46.880]   And one's probably fine for that like these are the
[00:16:46.880 --> 00:16:52.840]   BFE expensive. Yeah, yeah, it's also not using it's also using the old display panel technology
[00:16:52.840 --> 00:16:57.080]   So there are fewer problems with getting your hold of everything you need to build that thing. Yeah
[00:16:57.080 --> 00:17:00.880]   Actually, I think the Mac book here is pretty much the perfect computer
[00:17:00.880 --> 00:17:05.640]   Just buy it. I think you're wrong. Yeah, it's fine for a Mac
[00:17:05.880 --> 00:17:08.960]   You're getting a you're getting a lot of stuff for not a whole lot of money
[00:17:08.960 --> 00:17:10.480]   and
[00:17:10.480 --> 00:17:16.840]   You'll you'll gonna have a hard time convincing someone who spent that much a little bit more on an iPad Pro that you know
[00:17:16.840 --> 00:17:18.840]   That you're unhappy with this
[00:17:18.840 --> 00:17:25.880]   Bottom bottom of the list Mac purchase that nonetheless very very beefy processor does everything you want to do
[00:17:25.880 --> 00:17:31.720]   You attach one Thunderbolt cable to your desktop and suddenly you've got hard drives. You've got you got hard drives
[00:17:31.720 --> 00:17:35.200]   You got a screen and they asked they actually all work natively
[00:17:35.520 --> 00:17:39.820]   Like the way that you expect a computer to work as opposed to the same thing when you plug the same thing into a
[00:17:39.820 --> 00:17:45.360]   Into an iPad Pro. I still love mine, but yeah, that's that's a thing. Yeah, I got a fun. I got a
[00:17:45.360 --> 00:17:48.240]   Anchor $250 thunderbolt
[00:17:48.240 --> 00:17:51.120]   three doc
[00:17:51.120 --> 00:17:54.920]   And I just put it next because they have this giant monitor
[00:17:54.920 --> 00:17:59.840]   I thought well be kind of nice if I could use that's why I was good to many and yeah, you just docked the Mac book pro
[00:17:59.840 --> 00:18:05.120]   It's pretty functionally very almost identical to the mini. I've got I've got this right now
[00:18:05.120 --> 00:18:08.800]   The my my M1 Mac book is the most most powerful Mac. I've gotten the house
[00:18:08.800 --> 00:18:13.800]   And so right now it's plugged into a 250 dollar cal digit dock again hard drives
[00:18:13.800 --> 00:18:16.320]   I'm ripping movies. I'm doing everything that I need to do
[00:18:16.320 --> 00:18:23.680]   And actually I have to remind myself to undock it so I can exercise the battery once a month or so because it's just my
[00:18:23.680 --> 00:18:29.320]   It's just my my my M1 Mac mini right now. I wonder if I over bought complain
[00:18:29.320 --> 00:18:33.520]   Do you think I overbought because I spent 250 bucks on this anchor, but it's a
[00:18:34.160 --> 00:18:36.080]   thunderbolt three
[00:18:36.080 --> 00:18:41.080]   And it has of course a ton of ports. Yeah, it's nice. I mean I
[00:18:41.080 --> 00:18:48.720]   I feel like this way I could basically make the Mac book be a desktop with this edition of this little thing and
[00:18:48.720 --> 00:18:53.880]   Mine started yelling at me the other day like last week I started saying you haven't been taking this back off powers
[00:18:53.880 --> 00:18:57.880]   We're only gonna charge it to 60% because obviously not moving it around. That's the new thing
[00:18:57.880 --> 00:19:02.200]   I think that's smart. I had to unplug it for a while to get it to yeah, never take me anywhere
[00:19:03.520 --> 00:19:09.240]   I mean, but like look at the world. I mean like read the room at book pro this thing has a ethernet port
[00:19:09.240 --> 00:19:15.560]   Gigabit ethernet port which I which is good. So when I dock I'm now in hardwired. It's got HDMI
[00:19:15.560 --> 00:19:17.520]   So it's just it's connected to my monitor
[00:19:17.520 --> 00:19:22.400]   I do have to you know do some shenanigans with a monitor to switch it over to a different port
[00:19:22.400 --> 00:19:26.880]   But that's all yeah, and I and I have a mouse and keyboard and it's nice
[00:19:28.840 --> 00:19:35.720]   And it's a perfectly device independent standard. So if your needs change you'll be able to use one other devices the next
[00:19:35.720 --> 00:19:42.080]   This morning somebody said oh, yeah, we're gonna review a thunderbolt dock for the the iPad pro and I thought oh
[00:19:42.080 --> 00:19:50.160]   So I connected the new M1 iPad pro to it works too. It doesn't go full screen because it's a four by three
[00:19:50.160 --> 00:19:54.520]   So it the aspect ratio is wrong, but it looks pretty nice
[00:19:55.080 --> 00:19:58.720]   It works and the keyboard in the mouse appear you had an Apple magic
[00:19:58.720 --> 00:20:01.480]   mouse in a
[00:20:01.480 --> 00:20:07.760]   One of the Matthias keyboards paired up just fine. It's kind of wild. It does but it does give you
[00:20:07.760 --> 00:20:13.280]   Like a big I did that like my very first day because of course I've got this I got the thunderbolt dock
[00:20:13.280 --> 00:20:15.280]   So you gotta try it and
[00:20:15.280 --> 00:20:19.920]   A lot of it is like the agony in the SEC because you're like oh my god
[00:20:19.920 --> 00:20:26.400]   I can't believe this it really is like a desktop and because and the end it actually works nice as a mouse based or a crack
[00:20:26.400 --> 00:20:29.160]   Pad based interface. I'm very very happy with it. I could use that way
[00:20:29.160 --> 00:20:32.240]   So oh wow yes and look my my my my hard drives again
[00:20:32.240 --> 00:20:37.480]   I've got like three different volumes like mounted mounted on the desktop here my Macbook like hey while they're all showing up to the iPad
[00:20:37.480 --> 00:20:41.120]   And that's when like the agony part comes like oh, that's right
[00:20:41.120 --> 00:20:44.840]   I have to deal with the files app and I copy files, but it's not gonna
[00:20:45.200 --> 00:20:52.160]   It's not gonna there's no eject there is no eject button like safe eject button in the interface. So I'm just gonna have to like
[00:20:52.160 --> 00:20:58.440]   I'm gonna have to like go through all this stuff to make sure that this like eight terabyte hard drive is not gonna get smoked
[00:20:58.440 --> 00:21:05.240]   With its directories or anything like that that it's like you see where all the complaints are coming from where my god
[00:21:05.240 --> 00:21:06.400]   This is great great hardware
[00:21:06.400 --> 00:21:11.440]   But if you could just put like one more intern on this project of the files app
[00:21:11.440 --> 00:21:16.320]   I know you got two interns working on it and you gave them like half the whole summer to work on it
[00:21:16.320 --> 00:21:19.440]   I'm sorry. I'm being I'm being I'm sorry. I realize I was being like a jerk
[00:21:19.440 --> 00:21:19.960]   I'm sorry
[00:21:19.960 --> 00:21:25.600]   I'm just saying that your the files app has a lot of potential that was we were excited about when it first came out
[00:21:25.600 --> 00:21:27.600]   But at this point I should have
[00:21:27.600 --> 00:21:33.400]   Essentially a version of the finder that's appropriate for the iPad and I don't have anything close to that right now. Yeah
[00:21:33.400 --> 00:21:37.320]   Yeah, I'm gonna stick with the Macbook not the iPad the iPad's really an iPad
[00:21:37.320 --> 00:21:41.720]   It's a nice it's a nice add it's a nice value add but it doesn't exploit the
[00:21:41.720 --> 00:21:45.320]   Potential if it weren't for if it weren't for the way that the iPad handles files
[00:21:45.320 --> 00:21:52.040]   I think that it would at least be the discussion of well if you've got less than a thousand dollars to spend on an
[00:21:52.040 --> 00:21:54.160]   Apple branded desktop
[00:21:54.160 --> 00:21:57.000]   Maybe you could even consider getting
[00:21:57.000 --> 00:22:03.080]   When the smaller iPad pro with thunderbolt and even dock it to your desktop for a lot for a lot of people
[00:22:03.080 --> 00:22:07.440]   This would be a perfectly adequate solution, but without the ability to simply hey
[00:22:07.440 --> 00:22:12.400]   I've got something on a flash drive that someone gave me or I'm something a file that I've downloaded from someplace
[00:22:12.400 --> 00:22:15.740]   I need to move it from here to here. That's not a really good option
[00:22:15.740 --> 00:22:20.120]   It'd be really in it when see one of the things I really interested in is the
[00:22:20.120 --> 00:22:25.040]   It used to be called sidecar this is coming in iOS 15 the ability yes
[00:22:25.040 --> 00:22:31.080]   Yeah, then it kind of might make sense because you can drag a file from your desktop to your iPad
[00:22:31.720 --> 00:22:36.960]   Universal control yeah, I really like that. I think that's if it works. That's gonna be unbelievable
[00:22:36.960 --> 00:22:41.640]   That's super the the that does presume that you have more than one computer
[00:22:41.640 --> 00:22:48.920]   Which is which again? I think most the most appropriate use of an iPad is as an accessory as your super mobile right alternative
[00:22:48.920 --> 00:22:54.360]   Something as you have but that's not what happens. I'd show you've seen the new Apple. Yeah, exactly and here again
[00:22:54.360 --> 00:23:00.600]   As well now though, so you have both sides. Yeah, but it's it's like it's it's disappointing because
[00:23:00.920 --> 00:23:06.260]   Those of us who really really are not only like maybe not not just early adopters of the iPad
